filename, _oqmd_delta_e, _oqmd_spacegroup 
ID-5816200_OQMD-EnID-1441994.poscar,-2.2927,P21/m
ID-4081989_OQMD-EnID-31135.poscar,-2.8317,C2/m
ID-4501032_OQMD-EnID-3586.poscar,-2.8188,C2/c
ID-4802337_OQMD-EnID-646676.poscar,-2.4333,C2
ID-5456574_OQMD-EnID-37438.poscar,-2.8355,I4/mmm
ID-5731494_OQMD-EnID-1344128.poscar,-2.7652,P41212
ID-6037733_OQMD-EnID-1739437.poscar,-2.8303,Pmmn
ID-4110945_OQMD-EnID-298666.poscar,0.1443,I4/mmm
ID-4128915_OQMD-EnID-309204.poscar,0.2996,Fm-3m
ID-4152111_OQMD-EnID-321116.poscar,0.1669,P63/mmc
ID-4168497_OQMD-EnID-345602.poscar,0.1864,Pm-3m
ID-4786506_OQMD-EnID-7133.poscar,-2.3197,P42/nmc
ID-4892463_OQMD-EnID-360246.poscar,-1.4675,P4/mmm
ID-5632386_OQMD-EnID-1281161.poscar,-2.3421,Fd-3m
ID-5632387_OQMD-EnID-1281404.poscar,-2.3418,Fd-3m
ID-4062819_OQMD-EnID-6924.poscar,-1.3639,Fm-3m
ID-4075416_OQMD-EnID-2921.poscar,-2.155,Pm-3m
ID-4377675_OQMD-EnID-305021.poscar,-1.121,Pm-3m
ID-4498725_OQMD-EnID-326105.poscar,-1.6987,R-3m
ID-4510953_OQMD-EnID-336563.poscar,-0.7708,P4/mmm
ID-4789419_OQMD-EnID-614640.poscar,-1.3314,Pmmm
ID-5491989_OQMD-EnID-1104207.poscar,-1.3655,Fm-3m
ID-5571789_OQMD-EnID-1223499.poscar,-1.3964,F-43m
ID-5575789_OQMD-EnID-1230470.poscar,-1.6033,P-6m2
ID-5895638_OQMD-EnID-1520396.poscar,-1.3732,P63/mmc
ID-4076313_OQMD-EnID-10057.poscar,-2.6915,P42/mnm
ID-4868655_OQMD-EnID-43810.poscar,-2.719,I41
ID-5597955_OQMD-EnID-1239659.poscar,-2.4703,Fd-3m
ID-5811187_OQMD-EnID-1440803.poscar,-2.4082,P-3m1
ID-5811562_OQMD-EnID-1440465.poscar,-2.5236,Fm-3m
ID-5813191_OQMD-EnID-1439728.poscar,-2.6895,Pnnm
ID-5813508_OQMD-EnID-1442558.poscar,-2.4088,P63mc
ID-5813520_OQMD-EnID-1442801.poscar,-2.3974,Pn-3m
ID-5816825_OQMD-EnID-1439744.poscar,-2.523,Pa-3
ID-5817195_OQMD-EnID-1441200.poscar,-2.6562,Pbcn
ID-5817274_OQMD-EnID-1441033.poscar,-2.7186,P21/c
ID-5946992_OQMD-EnID-1589754.poscar,0.1062,Fd-3m
ID-6042869_OQMD-EnID-1745295.poscar,-2.6914,Pnnm
ID-6054355_OQMD-EnID-1757722.poscar,-2.366,I41/amd
ID-4114266_OQMD-EnID-300032.poscar,-1.4288,I4/mmm
ID-4132953_OQMD-EnID-310574.poscar,-1.3466,Fm-3m
ID-4148640_OQMD-EnID-319746.poscar,-1.4283,Cmcm
ID-4166067_OQMD-EnID-344232.poscar,-1.073,Pm-3m
ID-5726334_OQMD-EnID-1338392.poscar,-1.4738,Cm
ID-5736509_OQMD-EnID-1343159.poscar,-1.6557,P2/c
ID-5577431_OQMD-EnID-1233956.poscar,-1.2003,P42/mnm
ID-5597958_OQMD-EnID-1239660.poscar,0.6179,Fd-3m
ID-5954335_OQMD-EnID-1591985.poscar,0.9143,Fd-3m
ID-4308729_OQMD-EnID-354917.poscar,-1.5691,Pm-3m
ID-4812483_OQMD-EnID-428034.poscar,-2.332,R-3c
ID-4838625_OQMD-EnID-678200.poscar,-2.3244,R-3
ID-5744377_OQMD-EnID-1361024.poscar,-2.3931,Cm
ID-5816200_OQMD-EnID-1441994.poscar,-2.2927,P21/m
ID-4081989_OQMD-EnID-31135.poscar,-2.8317,C2/m
ID-4501032_OQMD-EnID-3586.poscar,-2.8188,C2/c
ID-4802337_OQMD-EnID-646676.poscar,-2.4333,C2
ID-5456574_OQMD-EnID-37438.poscar,-2.8355,I4/mmm
ID-5731494_OQMD-EnID-1344128.poscar,-2.7652,P41212
ID-6037733_OQMD-EnID-1739437.poscar,-2.8303,Pmmn
ID-4110945_OQMD-EnID-298666.poscar,0.1443,I4/mmm
ID-4128915_OQMD-EnID-309204.poscar,0.2996,Fm-3m
ID-4152111_OQMD-EnID-321116.poscar,0.1669,P63/mmc
ID-4168497_OQMD-EnID-345602.poscar,0.1864,Pm-3m
ID-4786506_OQMD-EnID-7133.poscar,-2.3197,P42/nmc
ID-4892463_OQMD-EnID-360246.poscar,-1.4675,P4/mmm
ID-5632386_OQMD-EnID-1281161.poscar,-2.3421,Fd-3m
ID-5632387_OQMD-EnID-1281404.poscar,-2.3418,Fd-3m
ID-4062819_OQMD-EnID-6924.poscar,-1.3639,Fm-3m
ID-4075416_OQMD-EnID-2921.poscar,-2.155,Pm-3m
ID-4377675_OQMD-EnID-305021.poscar,-1.121,Pm-3m
ID-4498725_OQMD-EnID-326105.poscar,-1.6987,R-3m
ID-4510953_OQMD-EnID-336563.poscar,-0.7708,P4/mmm
ID-4789419_OQMD-EnID-614640.poscar,-1.3314,Pmmm
ID-5491989_OQMD-EnID-1104207.poscar,-1.3655,Fm-3m
ID-5571789_OQMD-EnID-1223499.poscar,-1.3964,F-43m
ID-5575789_OQMD-EnID-1230470.poscar,-1.6033,P-6m2
ID-5895638_OQMD-EnID-1520396.poscar,-1.3732,P63/mmc
ID-4076313_OQMD-EnID-10057.poscar,-2.6915,P42/mnm
ID-4868655_OQMD-EnID-43810.poscar,-2.719,I41
ID-5597955_OQMD-EnID-1239659.poscar,-2.4703,Fd-3m
ID-5811187_OQMD-EnID-1440803.poscar,-2.4082,P-3m1
ID-5811562_OQMD-EnID-1440465.poscar,-2.5236,Fm-3m
ID-5813191_OQMD-EnID-1439728.poscar,-2.6895,Pnnm
ID-5813508_OQMD-EnID-1442558.poscar,-2.4088,P63mc
ID-5813520_OQMD-EnID-1442801.poscar,-2.3974,Pn-3m
ID-5816825_OQMD-EnID-1439744.poscar,-2.523,Pa-3
ID-5817195_OQMD-EnID-1441200.poscar,-2.6562,Pbcn
ID-5817274_OQMD-EnID-1441033.poscar,-2.7186,P21/c
ID-5946992_OQMD-EnID-1589754.poscar,0.1062,Fd-3m
ID-6042869_OQMD-EnID-1745295.poscar,-2.6914,Pnnm
ID-6054355_OQMD-EnID-1757722.poscar,-2.366,I41/amd
ID-4114266_OQMD-EnID-300032.poscar,-1.4288,I4/mmm
ID-4132953_OQMD-EnID-310574.poscar,-1.3466,Fm-3m
ID-4148640_OQMD-EnID-319746.poscar,-1.4283,Cmcm
ID-4166067_OQMD-EnID-344232.poscar,-1.073,Pm-3m
ID-5726334_OQMD-EnID-1338392.poscar,-1.4738,Cm
ID-5736509_OQMD-EnID-1343159.poscar,-1.6557,P2/c
ID-5577431_OQMD-EnID-1233956.poscar,-1.2003,P42/mnm
ID-5597958_OQMD-EnID-1239660.poscar,0.6179,Fd-3m
ID-5954335_OQMD-EnID-1591985.poscar,0.9143,Fd-3m
ID-4308729_OQMD-EnID-354917.poscar,-1.5691,Pm-3m
ID-4812483_OQMD-EnID-428034.poscar,-2.332,R-3c
ID-4838625_OQMD-EnID-678200.poscar,-2.3244,R-3
ID-5744377_OQMD-EnID-1361024.poscar,-2.3931,Cm
ID-5816200_OQMD-EnID-1441994.poscar,-2.2927,P21/m
ID-4081989_OQMD-EnID-31135.poscar,-2.8317,C2/m
ID-4501032_OQMD-EnID-3586.poscar,-2.8188,C2/c
ID-4802337_OQMD-EnID-646676.poscar,-2.4333,C2
ID-5456574_OQMD-EnID-37438.poscar,-2.8355,I4/mmm
ID-5731494_OQMD-EnID-1344128.poscar,-2.7652,P41212
ID-6037733_OQMD-EnID-1739437.poscar,-2.8303,Pmmn
ID-4110945_OQMD-EnID-298666.poscar,0.1443,I4/mmm
ID-4128915_OQMD-EnID-309204.poscar,0.2996,Fm-3m
ID-4152111_OQMD-EnID-321116.poscar,0.1669,P63/mmc
ID-4168497_OQMD-EnID-345602.poscar,0.1864,Pm-3m
ID-4786506_OQMD-EnID-7133.poscar,-2.3197,P42/nmc
ID-4892463_OQMD-EnID-360246.poscar,-1.4675,P4/mmm
ID-5632386_OQMD-EnID-1281161.poscar,-2.3421,Fd-3m
ID-5632387_OQMD-EnID-1281404.poscar,-2.3418,Fd-3m
ID-4062819_OQMD-EnID-6924.poscar,-1.3639,Fm-3m
ID-4075416_OQMD-EnID-2921.poscar,-2.155,Pm-3m
ID-4377675_OQMD-EnID-305021.poscar,-1.121,Pm-3m
ID-4498725_OQMD-EnID-326105.poscar,-1.6987,R-3m
ID-4510953_OQMD-EnID-336563.poscar,-0.7708,P4/mmm
ID-4789419_OQMD-EnID-614640.poscar,-1.3314,Pmmm
ID-5491989_OQMD-EnID-1104207.poscar,-1.3655,Fm-3m
ID-5571789_OQMD-EnID-1223499.poscar,-1.3964,F-43m
ID-5575789_OQMD-EnID-1230470.poscar,-1.6033,P-6m2
ID-5895638_OQMD-EnID-1520396.poscar,-1.3732,P63/mmc
ID-4076313_OQMD-EnID-10057.poscar,-2.6915,P42/mnm
ID-4868655_OQMD-EnID-43810.poscar,-2.719,I41
ID-5597955_OQMD-EnID-1239659.poscar,-2.4703,Fd-3m
ID-5811187_OQMD-EnID-1440803.poscar,-2.4082,P-3m1
ID-5811562_OQMD-EnID-1440465.poscar,-2.5236,Fm-3m
ID-5813191_OQMD-EnID-1439728.poscar,-2.6895,Pnnm
ID-5813508_OQMD-EnID-1442558.poscar,-2.4088,P63mc
ID-5813520_OQMD-EnID-1442801.poscar,-2.3974,Pn-3m
ID-5816825_OQMD-EnID-1439744.poscar,-2.523,Pa-3
ID-5817195_OQMD-EnID-1441200.poscar,-2.6562,Pbcn
ID-5817274_OQMD-EnID-1441033.poscar,-2.7186,P21/c
ID-5946992_OQMD-EnID-1589754.poscar,0.1062,Fd-3m
ID-6042869_OQMD-EnID-1745295.poscar,-2.6914,Pnnm
ID-6054355_OQMD-EnID-1757722.poscar,-2.366,I41/amd
ID-4114266_OQMD-EnID-300032.poscar,-1.4288,I4/mmm
ID-4132953_OQMD-EnID-310574.poscar,-1.3466,Fm-3m
ID-4148640_OQMD-EnID-319746.poscar,-1.4283,Cmcm
ID-4166067_OQMD-EnID-344232.poscar,-1.073,Pm-3m
ID-5726334_OQMD-EnID-1338392.poscar,-1.4738,Cm
ID-5736509_OQMD-EnID-1343159.poscar,-1.6557,P2/c
ID-5577431_OQMD-EnID-1233956.poscar,-1.2003,P42/mnm
ID-5597958_OQMD-EnID-1239660.poscar,0.6179,Fd-3m
ID-5954335_OQMD-EnID-1591985.poscar,0.9143,Fd-3m
ID-4308729_OQMD-EnID-354917.poscar,-1.5691,Pm-3m
ID-4812483_OQMD-EnID-428034.poscar,-2.332,R-3c
ID-4838625_OQMD-EnID-678200.poscar,-2.3244,R-3
ID-5744377_OQMD-EnID-1361024.poscar,-2.3931,Cm
ID-5816200_OQMD-EnID-1441994.poscar,-2.2927,P21/m
ID-4081989_OQMD-EnID-31135.poscar,-2.8317,C2/m
ID-4501032_OQMD-EnID-3586.poscar,-2.8188,C2/c
ID-4802337_OQMD-EnID-646676.poscar,-2.4333,C2
ID-5456574_OQMD-EnID-37438.poscar,-2.8355,I4/mmm
ID-5731494_OQMD-EnID-1344128.poscar,-2.7652,P41212
ID-6037733_OQMD-EnID-1739437.poscar,-2.8303,Pmmn
ID-4110945_OQMD-EnID-298666.poscar,0.1443,I4/mmm
ID-4128915_OQMD-EnID-309204.poscar,0.2996,Fm-3m
ID-4152111_OQMD-EnID-321116.poscar,0.1669,P63/mmc
ID-4168497_OQMD-EnID-345602.poscar,0.1864,Pm-3m
ID-4786506_OQMD-EnID-7133.poscar,-2.3197,P42/nmc
ID-4892463_OQMD-EnID-360246.poscar,-1.4675,P4/mmm
ID-5632386_OQMD-EnID-1281161.poscar,-2.3421,Fd-3m
ID-5632387_OQMD-EnID-1281404.poscar,-2.3418,Fd-3m
