filename, _oqmd_delta_e, _oqmd_spacegroup 
ID-4840875_OQMD-EnID-678221.poscar,-3.1181,R-3
ID-4900485_OQMD-EnID-694425.poscar,-2.8965,Cm
ID-4900842_OQMD-EnID-694426.poscar,-3.0102,P1
ID-4117227_OQMD-EnID-301277.poscar,0.0632,I4/mmm
ID-4155369_OQMD-EnID-322407.poscar,0.1591,P63/mmc
ID-4792737_OQMD-EnID-311819.poscar,0.3365,Fm-3m
ID-4796790_OQMD-EnID-346893.poscar,0.1395,Pm-3m
ID-5777962_OQMD-EnID-1367455.poscar,-1.4756,R-3c
ID-4900866_OQMD-EnID-694467.poscar,-2.719,P1
ID-4900956_OQMD-EnID-694468.poscar,-2.7207,P1
ID-5122281_OQMD-EnID-825075.poscar,-2.7921,P1
ID-5122983_OQMD-EnID-825074.poscar,-2.7715,P1
ID-4886352_OQMD-EnID-358087.poscar,-2.3265,P4/mmm
ID-5632309_OQMD-EnID-1281173.poscar,-3.5351,Fd-3m
ID-5632310_OQMD-EnID-1281207.poscar,-3.5357,Fd-3m
ID-6005528_OQMD-EnID-1603225.poscar,1.0244,P6/mmm
ID-4474236_OQMD-EnID-306338.poscar,-1.7224,Pm-3m
ID-4502439_OQMD-EnID-327422.poscar,-2.3134,R-3m
ID-4514508_OQMD-EnID-337880.poscar,-1.3806,P4/mmm
ID-5493303_OQMD-EnID-1105523.poscar,-2.2531,Fm-3m
ID-5571085_OQMD-EnID-1222794.poscar,-2.3952,F-43m
ID-5573044_OQMD-EnID-1226279.poscar,-2.4847,P63mc
ID-5575104_OQMD-EnID-1229765.poscar,-2.4413,P-6m2
ID-4074405_OQMD-EnID-22054.poscar,-3.786,P42/nmc
ID-4095564_OQMD-EnID-5299.poscar,-3.8391,P21/c
ID-4104255_OQMD-EnID-15012.poscar,-3.7005,Pnma
ID-4803180_OQMD-EnID-647078.poscar,-3.7539,Fm-3m
ID-4855866_OQMD-EnID-12774.poscar,-3.8161,Pbca
ID-5597311_OQMD-EnID-1238862.poscar,-3.5874,Fd-3m
ID-5731459_OQMD-EnID-1343299.poscar,-3.7371,I4/m
ID-5731671_OQMD-EnID-1343510.poscar,-3.6037,P-3m1
ID-5731843_OQMD-EnID-1343988.poscar,-3.8138,P42/mnm
ID-5758978_OQMD-EnID-1367153.poscar,-3.847,I41/amd
ID-5811784_OQMD-EnID-1440813.poscar,-3.7476,C2/m
ID-5817171_OQMD-EnID-1441199.poscar,-3.817,Pbcn
ID-5817629_OQMD-EnID-1443407.poscar,-3.8143,Pca21
ID-5947069_OQMD-EnID-1589784.poscar,-0.2216,Fd-3m
ID-4117353_OQMD-EnID-301323.poscar,-1.9202,I4/mmm
ID-4137378_OQMD-EnID-311865.poscar,-1.9186,Fm-3m
ID-4155237_OQMD-EnID-322361.poscar,-2.0065,P63/mmc
ID-4170807_OQMD-EnID-346847.poscar,-1.8571,Pm-3m
ID-4857600_OQMD-EnID-690789.poscar,-2.4763,C2/m
ID-4906110_OQMD-EnID-694983.poscar,-2.3787,P1
ID-4906233_OQMD-EnID-694984.poscar,-2.349,C2
ID-5122290_OQMD-EnID-825026.poscar,-2.5484,P1
ID-5123100_OQMD-EnID-825003.poscar,-2.6899,P1
ID-5726309_OQMD-EnID-1338387.poscar,-1.7821,C2/m
ID-5732874_OQMD-EnID-1343153.poscar,-2.1238,P2/c
ID-5577225_OQMD-EnID-1233251.poscar,-1.8267,P42/mnm
ID-5597317_OQMD-EnID-1238863.poscar,-0.2079,Fd-3m
ID-5962626_OQMD-EnID-1594257.poscar,0.9238,Fd-3m
ID-4293309_OQMD-EnID-352758.poscar,-2.3398,Pm-3m
ID-4811961_OQMD-EnID-427329.poscar,-3.1184,R-3c
ID-4840875_OQMD-EnID-678221.poscar,-3.1181,R-3
ID-4900485_OQMD-EnID-694425.poscar,-2.8965,Cm
ID-4900842_OQMD-EnID-694426.poscar,-3.0102,P1
ID-4117227_OQMD-EnID-301277.poscar,0.0632,I4/mmm
ID-4155369_OQMD-EnID-322407.poscar,0.1591,P63/mmc
ID-4792737_OQMD-EnID-311819.poscar,0.3365,Fm-3m
ID-4796790_OQMD-EnID-346893.poscar,0.1395,Pm-3m
ID-5777962_OQMD-EnID-1367455.poscar,-1.4756,R-3c
ID-4900866_OQMD-EnID-694467.poscar,-2.719,P1
ID-4900956_OQMD-EnID-694468.poscar,-2.7207,P1
ID-5122281_OQMD-EnID-825075.poscar,-2.7921,P1
ID-5122983_OQMD-EnID-825074.poscar,-2.7715,P1
ID-4886352_OQMD-EnID-358087.poscar,-2.3265,P4/mmm
ID-5632309_OQMD-EnID-1281173.poscar,-3.5351,Fd-3m
ID-5632310_OQMD-EnID-1281207.poscar,-3.5357,Fd-3m
ID-6005528_OQMD-EnID-1603225.poscar,1.0244,P6/mmm
ID-4474236_OQMD-EnID-306338.poscar,-1.7224,Pm-3m
ID-4502439_OQMD-EnID-327422.poscar,-2.3134,R-3m
ID-4514508_OQMD-EnID-337880.poscar,-1.3806,P4/mmm
ID-5493303_OQMD-EnID-1105523.poscar,-2.2531,Fm-3m
ID-5571085_OQMD-EnID-1222794.poscar,-2.3952,F-43m
ID-5573044_OQMD-EnID-1226279.poscar,-2.4847,P63mc
ID-5575104_OQMD-EnID-1229765.poscar,-2.4413,P-6m2
ID-4074405_OQMD-EnID-22054.poscar,-3.786,P42/nmc
ID-4095564_OQMD-EnID-5299.poscar,-3.8391,P21/c
ID-4104255_OQMD-EnID-15012.poscar,-3.7005,Pnma
ID-4803180_OQMD-EnID-647078.poscar,-3.7539,Fm-3m
ID-4855866_OQMD-EnID-12774.poscar,-3.8161,Pbca
ID-5597311_OQMD-EnID-1238862.poscar,-3.5874,Fd-3m
ID-5731459_OQMD-EnID-1343299.poscar,-3.7371,I4/m
ID-5731671_OQMD-EnID-1343510.poscar,-3.6037,P-3m1
ID-5731843_OQMD-EnID-1343988.poscar,-3.8138,P42/mnm
ID-5758978_OQMD-EnID-1367153.poscar,-3.847,I41/amd
ID-5811784_OQMD-EnID-1440813.poscar,-3.7476,C2/m
ID-5817171_OQMD-EnID-1441199.poscar,-3.817,Pbcn
ID-5817629_OQMD-EnID-1443407.poscar,-3.8143,Pca21
ID-5947069_OQMD-EnID-1589784.poscar,-0.2216,Fd-3m
ID-4117353_OQMD-EnID-301323.poscar,-1.9202,I4/mmm
ID-4137378_OQMD-EnID-311865.poscar,-1.9186,Fm-3m
ID-4155237_OQMD-EnID-322361.poscar,-2.0065,P63/mmc
ID-4170807_OQMD-EnID-346847.poscar,-1.8571,Pm-3m
ID-4857600_OQMD-EnID-690789.poscar,-2.4763,C2/m
ID-4906110_OQMD-EnID-694983.poscar,-2.3787,P1
ID-4906233_OQMD-EnID-694984.poscar,-2.349,C2
ID-5122290_OQMD-EnID-825026.poscar,-2.5484,P1
ID-5123100_OQMD-EnID-825003.poscar,-2.6899,P1
ID-5726309_OQMD-EnID-1338387.poscar,-1.7821,C2/m
ID-5732874_OQMD-EnID-1343153.poscar,-2.1238,P2/c
ID-5577225_OQMD-EnID-1233251.poscar,-1.8267,P42/mnm
ID-5597317_OQMD-EnID-1238863.poscar,-0.2079,Fd-3m
ID-5962626_OQMD-EnID-1594257.poscar,0.9238,Fd-3m
ID-4293309_OQMD-EnID-352758.poscar,-2.3398,Pm-3m
ID-4811961_OQMD-EnID-427329.poscar,-3.1184,R-3c
ID-4840875_OQMD-EnID-678221.poscar,-3.1181,R-3
ID-4900485_OQMD-EnID-694425.poscar,-2.8965,Cm
ID-4900842_OQMD-EnID-694426.poscar,-3.0102,P1
ID-4117227_OQMD-EnID-301277.poscar,0.0632,I4/mmm
ID-4155369_OQMD-EnID-322407.poscar,0.1591,P63/mmc
ID-4792737_OQMD-EnID-311819.poscar,0.3365,Fm-3m
ID-4796790_OQMD-EnID-346893.poscar,0.1395,Pm-3m
ID-5777962_OQMD-EnID-1367455.poscar,-1.4756,R-3c
ID-4900866_OQMD-EnID-694467.poscar,-2.719,P1
ID-4900956_OQMD-EnID-694468.poscar,-2.7207,P1
ID-5122281_OQMD-EnID-825075.poscar,-2.7921,P1
ID-5122983_OQMD-EnID-825074.poscar,-2.7715,P1
ID-4886352_OQMD-EnID-358087.poscar,-2.3265,P4/mmm
ID-5632309_OQMD-EnID-1281173.poscar,-3.5351,Fd-3m
ID-5632310_OQMD-EnID-1281207.poscar,-3.5357,Fd-3m
ID-6005528_OQMD-EnID-1603225.poscar,1.0244,P6/mmm
ID-4474236_OQMD-EnID-306338.poscar,-1.7224,Pm-3m
ID-4502439_OQMD-EnID-327422.poscar,-2.3134,R-3m
ID-4514508_OQMD-EnID-337880.poscar,-1.3806,P4/mmm
ID-5493303_OQMD-EnID-1105523.poscar,-2.2531,Fm-3m
ID-5571085_OQMD-EnID-1222794.poscar,-2.3952,F-43m
ID-5573044_OQMD-EnID-1226279.poscar,-2.4847,P63mc
ID-5575104_OQMD-EnID-1229765.poscar,-2.4413,P-6m2
ID-4074405_OQMD-EnID-22054.poscar,-3.786,P42/nmc
ID-4095564_OQMD-EnID-5299.poscar,-3.8391,P21/c
ID-4104255_OQMD-EnID-15012.poscar,-3.7005,Pnma
ID-4803180_OQMD-EnID-647078.poscar,-3.7539,Fm-3m
ID-4855866_OQMD-EnID-12774.poscar,-3.8161,Pbca
ID-5597311_OQMD-EnID-1238862.poscar,-3.5874,Fd-3m
ID-5731459_OQMD-EnID-1343299.poscar,-3.7371,I4/m
ID-5731671_OQMD-EnID-1343510.poscar,-3.6037,P-3m1
ID-5731843_OQMD-EnID-1343988.poscar,-3.8138,P42/mnm
ID-5758978_OQMD-EnID-1367153.poscar,-3.847,I41/amd
ID-5811784_OQMD-EnID-1440813.poscar,-3.7476,C2/m
ID-5817171_OQMD-EnID-1441199.poscar,-3.817,Pbcn
ID-5817629_OQMD-EnID-1443407.poscar,-3.8143,Pca21
ID-5947069_OQMD-EnID-1589784.poscar,-0.2216,Fd-3m
ID-4117353_OQMD-EnID-301323.poscar,-1.9202,I4/mmm
ID-4137378_OQMD-EnID-311865.poscar,-1.9186,Fm-3m
ID-4155237_OQMD-EnID-322361.poscar,-2.0065,P63/mmc
ID-4170807_OQMD-EnID-346847.poscar,-1.8571,Pm-3m
ID-4857600_OQMD-EnID-690789.poscar,-2.4763,C2/m
ID-4906110_OQMD-EnID-694983.poscar,-2.3787,P1
ID-4906233_OQMD-EnID-694984.poscar,-2.349,C2
ID-5122290_OQMD-EnID-825026.poscar,-2.5484,P1
ID-5123100_OQMD-EnID-825003.poscar,-2.6899,P1
ID-5726309_OQMD-EnID-1338387.poscar,-1.7821,C2/m
ID-5732874_OQMD-EnID-1343153.poscar,-2.1238,P2/c
ID-5577225_OQMD-EnID-1233251.poscar,-1.8267,P42/mnm
ID-5597317_OQMD-EnID-1238863.poscar,-0.2079,Fd-3m
ID-5962626_OQMD-EnID-1594257.poscar,0.9238,Fd-3m
ID-4293309_OQMD-EnID-352758.poscar,-2.3398,Pm-3m
ID-4811961_OQMD-EnID-427329.poscar,-3.1184,R-3c
ID-4840875_OQMD-EnID-678221.poscar,-3.1181,R-3
ID-4900485_OQMD-EnID-694425.poscar,-2.8965,Cm
ID-4900842_OQMD-EnID-694426.poscar,-3.0102,P1
ID-4117227_OQMD-EnID-301277.poscar,0.0632,I4/mmm
ID-4155369_OQMD-EnID-322407.poscar,0.1591,P63/mmc
ID-4792737_OQMD-EnID-311819.poscar,0.3365,Fm-3m
ID-4796790_OQMD-EnID-346893.poscar,0.1395,Pm-3m
ID-5777962_OQMD-EnID-1367455.poscar,-1.4756,R-3c
ID-4900866_OQMD-EnID-694467.poscar,-2.719,P1
ID-4900956_OQMD-EnID-694468.poscar,-2.7207,P1
ID-5122281_OQMD-EnID-825075.poscar,-2.7921,P1
ID-5122983_OQMD-EnID-825074.poscar,-2.7715,P1
ID-4886352_OQMD-EnID-358087.poscar,-2.3265,P4/mmm
ID-5632309_OQMD-EnID-1281173.poscar,-3.5351,Fd-3m
ID-5632310_OQMD-EnID-1281207.poscar,-3.5357,Fd-3m
ID-6005528_OQMD-EnID-1603225.poscar,1.0244,P6/mmm
