filename, _oqmd_delta_e, _oqmd_spacegroup 
ID-5912586_OQMD-EnID-1441993.poscar,-3.6561,P21/m
ID-6058379_OQMD-EnID-1758786.poscar,-3.6945,Pnma
ID-5729031_OQMD-EnID-1338400.poscar,-1.6634,Cm
ID-5732879_OQMD-EnID-1343167.poscar,-1.6791,P2/c
ID-4957389_OQMD-EnID-711616.poscar,-1.9908,P4/mmm
ID-4889796_OQMD-EnID-359202.poscar,-3.0552,P4/mmm
ID-4062729_OQMD-EnID-11516.poscar,-3.104,Fm-3m
ID-4487784_OQMD-EnID-307716.poscar,-2.5334,Pm-3m
ID-4508100_OQMD-EnID-328800.poscar,-3.1042,R-3m
ID-4518321_OQMD-EnID-339258.poscar,-2.1626,P4/mmm
ID-5494675_OQMD-EnID-1106901.poscar,-3.1065,Fm-3m
ID-5571954_OQMD-EnID-1223664.poscar,-2.9769,F-43m
ID-5575953_OQMD-EnID-1230636.poscar,-2.9108,P-6m2
ID-5816565_OQMD-EnID-1443143.poscar,-3.061,C2/m
ID-5596312_OQMD-EnID-1237614.poscar,-1.1496,Fd-3m
ID-5949003_OQMD-EnID-1590558.poscar,0.3859,Fd-3m
ID-4111485_OQMD-EnID-298885.poscar,-0.2486,I4/mmm
ID-4129461_OQMD-EnID-309426.poscar,0.1749,Fm-3m
ID-4162104_OQMD-EnID-325125.poscar,-0.9481,P63/mmc
ID-4798992_OQMD-EnID-349611.poscar,-0.0689,Pm-3m
ID-6005456_OQMD-EnID-1603178.poscar,0.7488,P6/mmm
ID-4977606_OQMD-EnID-711619.poscar,-2.323,P1
ID-4957428_OQMD-EnID-711614.poscar,-2.7983,I41/amd
ID-5577493_OQMD-EnID-1234122.poscar,-2.8353,P42/mnm
ID-5596320_OQMD-EnID-1237615.poscar,-2.5307,Fd-3m
ID-5759493_OQMD-EnID-1368651.poscar,-3.1605,C2/m
ID-5946950_OQMD-EnID-1589735.poscar,-0.6339,Fd-3m
ID-4812570_OQMD-EnID-428200.poscar,-2.473,R-3c
ID-4124274_OQMD-EnID-304041.poscar,-1.5628,I4/mmm
ID-4144140_OQMD-EnID-314583.poscar,-1.4718,Fm-3m
ID-4149183_OQMD-EnID-319968.poscar,-1.5535,P63/mmc
ID-4166481_OQMD-EnID-344454.poscar,-1.4338,Pm-3m
ID-4956972_OQMD-EnID-711615.poscar,-1.4406,Pm-3m
ID-4958718_OQMD-EnID-711618.poscar,-2.1293,C2/m
ID-4082874_OQMD-EnID-6306.poscar,-3.7926,I213
ID-4092879_OQMD-EnID-20289.poscar,-3.677,P-3m1
ID-4304607_OQMD-EnID-353873.poscar,-2.8696,Pm-3m
ID-4508916_OQMD-EnID-20299.poscar,-3.7344,C2/m
ID-4841196_OQMD-EnID-678218.poscar,-3.7692,R-3
ID-4996740_OQMD-EnID-4555.poscar,-3.8074,Ia-3
ID-5629036_OQMD-EnID-1277448.poscar,-3.5387,Ia-3d
ID-5731426_OQMD-EnID-1344009.poscar,-3.6764,Fddd
ID-5731439_OQMD-EnID-1343260.poscar,-3.6764,Fddd
ID-5812948_OQMD-EnID-1442702.poscar,-3.6334,P321
ID-5816060_OQMD-EnID-1440283.poscar,-3.7664,R-3c
ID-5816218_OQMD-EnID-1440968.poscar,-3.7664,C2/c
ID-5816230_OQMD-EnID-1441686.poscar,-3.6684,Cmcm
ID-5816704_OQMD-EnID-1443968.poscar,-3.6967,P1
ID-5912586_OQMD-EnID-1441993.poscar,-3.6561,P21/m
ID-6058379_OQMD-EnID-1758786.poscar,-3.6945,Pnma
ID-5729031_OQMD-EnID-1338400.poscar,-1.6634,Cm
ID-5732879_OQMD-EnID-1343167.poscar,-1.6791,P2/c
ID-4957389_OQMD-EnID-711616.poscar,-1.9908,P4/mmm
ID-4889796_OQMD-EnID-359202.poscar,-3.0552,P4/mmm
ID-4062729_OQMD-EnID-11516.poscar,-3.104,Fm-3m
ID-4487784_OQMD-EnID-307716.poscar,-2.5334,Pm-3m
ID-4508100_OQMD-EnID-328800.poscar,-3.1042,R-3m
ID-4518321_OQMD-EnID-339258.poscar,-2.1626,P4/mmm
ID-5494675_OQMD-EnID-1106901.poscar,-3.1065,Fm-3m
ID-5571954_OQMD-EnID-1223664.poscar,-2.9769,F-43m
ID-5575953_OQMD-EnID-1230636.poscar,-2.9108,P-6m2
ID-5816565_OQMD-EnID-1443143.poscar,-3.061,C2/m
ID-5596312_OQMD-EnID-1237614.poscar,-1.1496,Fd-3m
ID-5949003_OQMD-EnID-1590558.poscar,0.3859,Fd-3m
ID-4111485_OQMD-EnID-298885.poscar,-0.2486,I4/mmm
ID-4129461_OQMD-EnID-309426.poscar,0.1749,Fm-3m
ID-4162104_OQMD-EnID-325125.poscar,-0.9481,P63/mmc
ID-4798992_OQMD-EnID-349611.poscar,-0.0689,Pm-3m
ID-6005456_OQMD-EnID-1603178.poscar,0.7488,P6/mmm
ID-4977606_OQMD-EnID-711619.poscar,-2.323,P1
ID-4957428_OQMD-EnID-711614.poscar,-2.7983,I41/amd
ID-5577493_OQMD-EnID-1234122.poscar,-2.8353,P42/mnm
ID-5596320_OQMD-EnID-1237615.poscar,-2.5307,Fd-3m
ID-5759493_OQMD-EnID-1368651.poscar,-3.1605,C2/m
ID-5946950_OQMD-EnID-1589735.poscar,-0.6339,Fd-3m
ID-4812570_OQMD-EnID-428200.poscar,-2.473,R-3c
ID-4124274_OQMD-EnID-304041.poscar,-1.5628,I4/mmm
ID-4144140_OQMD-EnID-314583.poscar,-1.4718,Fm-3m
ID-4149183_OQMD-EnID-319968.poscar,-1.5535,P63/mmc
ID-4166481_OQMD-EnID-344454.poscar,-1.4338,Pm-3m
ID-4956972_OQMD-EnID-711615.poscar,-1.4406,Pm-3m
ID-4958718_OQMD-EnID-711618.poscar,-2.1293,C2/m
ID-4082874_OQMD-EnID-6306.poscar,-3.7926,I213
ID-4092879_OQMD-EnID-20289.poscar,-3.677,P-3m1
ID-4304607_OQMD-EnID-353873.poscar,-2.8696,Pm-3m
ID-4508916_OQMD-EnID-20299.poscar,-3.7344,C2/m
ID-4841196_OQMD-EnID-678218.poscar,-3.7692,R-3
ID-4996740_OQMD-EnID-4555.poscar,-3.8074,Ia-3
ID-5629036_OQMD-EnID-1277448.poscar,-3.5387,Ia-3d
ID-5731426_OQMD-EnID-1344009.poscar,-3.6764,Fddd
ID-5731439_OQMD-EnID-1343260.poscar,-3.6764,Fddd
ID-5812948_OQMD-EnID-1442702.poscar,-3.6334,P321
ID-5816060_OQMD-EnID-1440283.poscar,-3.7664,R-3c
ID-5816218_OQMD-EnID-1440968.poscar,-3.7664,C2/c
ID-5816230_OQMD-EnID-1441686.poscar,-3.6684,Cmcm
ID-5816704_OQMD-EnID-1443968.poscar,-3.6967,P1
ID-5912586_OQMD-EnID-1441993.poscar,-3.6561,P21/m
ID-6058379_OQMD-EnID-1758786.poscar,-3.6945,Pnma
ID-5729031_OQMD-EnID-1338400.poscar,-1.6634,Cm
ID-5732879_OQMD-EnID-1343167.poscar,-1.6791,P2/c
ID-4957389_OQMD-EnID-711616.poscar,-1.9908,P4/mmm
ID-4889796_OQMD-EnID-359202.poscar,-3.0552,P4/mmm
ID-4062729_OQMD-EnID-11516.poscar,-3.104,Fm-3m
ID-4487784_OQMD-EnID-307716.poscar,-2.5334,Pm-3m
ID-4508100_OQMD-EnID-328800.poscar,-3.1042,R-3m
ID-4518321_OQMD-EnID-339258.poscar,-2.1626,P4/mmm
ID-5494675_OQMD-EnID-1106901.poscar,-3.1065,Fm-3m
ID-5571954_OQMD-EnID-1223664.poscar,-2.9769,F-43m
ID-5575953_OQMD-EnID-1230636.poscar,-2.9108,P-6m2
ID-5816565_OQMD-EnID-1443143.poscar,-3.061,C2/m
ID-5596312_OQMD-EnID-1237614.poscar,-1.1496,Fd-3m
ID-5949003_OQMD-EnID-1590558.poscar,0.3859,Fd-3m
ID-4111485_OQMD-EnID-298885.poscar,-0.2486,I4/mmm
ID-4129461_OQMD-EnID-309426.poscar,0.1749,Fm-3m
ID-4162104_OQMD-EnID-325125.poscar,-0.9481,P63/mmc
ID-4798992_OQMD-EnID-349611.poscar,-0.0689,Pm-3m
ID-6005456_OQMD-EnID-1603178.poscar,0.7488,P6/mmm
ID-4977606_OQMD-EnID-711619.poscar,-2.323,P1
ID-4957428_OQMD-EnID-711614.poscar,-2.7983,I41/amd
ID-5577493_OQMD-EnID-1234122.poscar,-2.8353,P42/mnm
ID-5596320_OQMD-EnID-1237615.poscar,-2.5307,Fd-3m
ID-5759493_OQMD-EnID-1368651.poscar,-3.1605,C2/m
ID-5946950_OQMD-EnID-1589735.poscar,-0.6339,Fd-3m
ID-4812570_OQMD-EnID-428200.poscar,-2.473,R-3c
ID-4124274_OQMD-EnID-304041.poscar,-1.5628,I4/mmm
ID-4144140_OQMD-EnID-314583.poscar,-1.4718,Fm-3m
ID-4149183_OQMD-EnID-319968.poscar,-1.5535,P63/mmc
ID-4166481_OQMD-EnID-344454.poscar,-1.4338,Pm-3m
ID-4956972_OQMD-EnID-711615.poscar,-1.4406,Pm-3m
ID-4958718_OQMD-EnID-711618.poscar,-2.1293,C2/m
ID-4082874_OQMD-EnID-6306.poscar,-3.7926,I213
ID-4092879_OQMD-EnID-20289.poscar,-3.677,P-3m1
ID-4304607_OQMD-EnID-353873.poscar,-2.8696,Pm-3m
ID-4508916_OQMD-EnID-20299.poscar,-3.7344,C2/m
ID-4841196_OQMD-EnID-678218.poscar,-3.7692,R-3
ID-4996740_OQMD-EnID-4555.poscar,-3.8074,Ia-3
ID-5629036_OQMD-EnID-1277448.poscar,-3.5387,Ia-3d
ID-5731426_OQMD-EnID-1344009.poscar,-3.6764,Fddd
ID-5731439_OQMD-EnID-1343260.poscar,-3.6764,Fddd
ID-5812948_OQMD-EnID-1442702.poscar,-3.6334,P321
ID-5816060_OQMD-EnID-1440283.poscar,-3.7664,R-3c
ID-5816218_OQMD-EnID-1440968.poscar,-3.7664,C2/c
ID-5816230_OQMD-EnID-1441686.poscar,-3.6684,Cmcm
ID-5816704_OQMD-EnID-1443968.poscar,-3.6967,P1
ID-5912586_OQMD-EnID-1441993.poscar,-3.6561,P21/m
ID-6058379_OQMD-EnID-1758786.poscar,-3.6945,Pnma
ID-5729031_OQMD-EnID-1338400.poscar,-1.6634,Cm
ID-5732879_OQMD-EnID-1343167.poscar,-1.6791,P2/c
ID-4957389_OQMD-EnID-711616.poscar,-1.9908,P4/mmm
ID-4889796_OQMD-EnID-359202.poscar,-3.0552,P4/mmm
