filename, _oqmd_delta_e, _oqmd_spacegroup 
ID-5598700_OQMD-EnID-1240661.poscar,-1.0716,Fd-3m
ID-5763656_OQMD-EnID-1376884.poscar,-2.5449,C2/c
ID-5947068_OQMD-EnID-1589782.poscar,-1.2422,Fd-3m
ID-4812648_OQMD-EnID-428218.poscar,-2.546,R-3c
ID-4110822_OQMD-EnID-298606.poscar,-1.0491,I4/mmm
ID-4128762_OQMD-EnID-309144.poscar,-0.9236,Fm-3m
ID-4152438_OQMD-EnID-321238.poscar,-1.1668,P63/mmc
ID-4168731_OQMD-EnID-345724.poscar,-1.076,Pm-3m
ID-4281177_OQMD-EnID-351354.poscar,-2.1229,Pm-3m
ID-4841184_OQMD-EnID-678206.poscar,-2.4764,R-3
ID-4998690_OQMD-EnID-5391.poscar,-2.4758,Ia-3
ID-5081793_OQMD-EnID-5431.poscar,-2.475,I213
ID-5812522_OQMD-EnID-1440418.poscar,-2.5136,P-3m1
ID-5812858_OQMD-EnID-1441910.poscar,-2.5607,C2/m
ID-5812954_OQMD-EnID-1442711.poscar,-2.3817,Pm
ID-5813307_OQMD-EnID-1444198.poscar,-2.3702,P-62m
ID-5816061_OQMD-EnID-1440285.poscar,-2.4704,R-3c
ID-5912567_OQMD-EnID-1440965.poscar,-2.4695,C2/c
ID-4882203_OQMD-EnID-356683.poscar,-2.5627,P4/mmm
ID-4062741_OQMD-EnID-19509.poscar,-3.5083,Fm-3m
ID-4376925_OQMD-EnID-304988.poscar,-3.1532,Pm-3m
ID-4498647_OQMD-EnID-326072.poscar,-3.508,R-3m
ID-4510857_OQMD-EnID-336530.poscar,-2.9239,P4/mmm
ID-5491956_OQMD-EnID-1104174.poscar,-3.5084,Fm-3m
ID-5571972_OQMD-EnID-1223682.poscar,-3.2592,F-43m
ID-5575971_OQMD-EnID-1230654.poscar,-3.3022,P-6m2
ID-6033238_OQMD-EnID-1733407.poscar,-3.2064,P4/nmm
ID-6045572_OQMD-EnID-1749385.poscar,-3.4001,P63/mmc
ID-5598698_OQMD-EnID-1240660.poscar,-1.7903,Fd-3m
ID-5962284_OQMD-EnID-1594107.poscar,0.297,Fd-3m
ID-4133271_OQMD-EnID-310696.poscar,-0.0356,Fm-3m
ID-4148487_OQMD-EnID-319686.poscar,-1.3099,P63/mmc
ID-4790937_OQMD-EnID-300154.poscar,-0.369,I4/mmm
ID-4794510_OQMD-EnID-344172.poscar,-0.2491,Pm-3m
ID-6005734_OQMD-EnID-1603223.poscar,0.4507,P6/mmm
ID-5577506_OQMD-EnID-1234140.poscar,-2.4041,P42/mnm
ID-5598700_OQMD-EnID-1240661.poscar,-1.0716,Fd-3m
ID-5763656_OQMD-EnID-1376884.poscar,-2.5449,C2/c
ID-5947068_OQMD-EnID-1589782.poscar,-1.2422,Fd-3m
ID-4812648_OQMD-EnID-428218.poscar,-2.546,R-3c
ID-4110822_OQMD-EnID-298606.poscar,-1.0491,I4/mmm
ID-4128762_OQMD-EnID-309144.poscar,-0.9236,Fm-3m
ID-4152438_OQMD-EnID-321238.poscar,-1.1668,P63/mmc
ID-4168731_OQMD-EnID-345724.poscar,-1.076,Pm-3m
ID-4281177_OQMD-EnID-351354.poscar,-2.1229,Pm-3m
ID-4841184_OQMD-EnID-678206.poscar,-2.4764,R-3
ID-4998690_OQMD-EnID-5391.poscar,-2.4758,Ia-3
ID-5081793_OQMD-EnID-5431.poscar,-2.475,I213
ID-5812522_OQMD-EnID-1440418.poscar,-2.5136,P-3m1
ID-5812858_OQMD-EnID-1441910.poscar,-2.5607,C2/m
ID-5812954_OQMD-EnID-1442711.poscar,-2.3817,Pm
ID-5813307_OQMD-EnID-1444198.poscar,-2.3702,P-62m
ID-5816061_OQMD-EnID-1440285.poscar,-2.4704,R-3c
ID-5912567_OQMD-EnID-1440965.poscar,-2.4695,C2/c
ID-4882203_OQMD-EnID-356683.poscar,-2.5627,P4/mmm
ID-4062741_OQMD-EnID-19509.poscar,-3.5083,Fm-3m
ID-4376925_OQMD-EnID-304988.poscar,-3.1532,Pm-3m
ID-4498647_OQMD-EnID-326072.poscar,-3.508,R-3m
ID-4510857_OQMD-EnID-336530.poscar,-2.9239,P4/mmm
ID-5491956_OQMD-EnID-1104174.poscar,-3.5084,Fm-3m
ID-5571972_OQMD-EnID-1223682.poscar,-3.2592,F-43m
ID-5575971_OQMD-EnID-1230654.poscar,-3.3022,P-6m2
ID-6033238_OQMD-EnID-1733407.poscar,-3.2064,P4/nmm
ID-6045572_OQMD-EnID-1749385.poscar,-3.4001,P63/mmc
ID-5598698_OQMD-EnID-1240660.poscar,-1.7903,Fd-3m
ID-5962284_OQMD-EnID-1594107.poscar,0.297,Fd-3m
ID-4133271_OQMD-EnID-310696.poscar,-0.0356,Fm-3m
ID-4148487_OQMD-EnID-319686.poscar,-1.3099,P63/mmc
ID-4790937_OQMD-EnID-300154.poscar,-0.369,I4/mmm
ID-4794510_OQMD-EnID-344172.poscar,-0.2491,Pm-3m
ID-6005734_OQMD-EnID-1603223.poscar,0.4507,P6/mmm
ID-5577506_OQMD-EnID-1234140.poscar,-2.4041,P42/mnm
ID-5598700_OQMD-EnID-1240661.poscar,-1.0716,Fd-3m
ID-5763656_OQMD-EnID-1376884.poscar,-2.5449,C2/c
ID-5947068_OQMD-EnID-1589782.poscar,-1.2422,Fd-3m
ID-4812648_OQMD-EnID-428218.poscar,-2.546,R-3c
ID-4110822_OQMD-EnID-298606.poscar,-1.0491,I4/mmm
ID-4128762_OQMD-EnID-309144.poscar,-0.9236,Fm-3m
ID-4152438_OQMD-EnID-321238.poscar,-1.1668,P63/mmc
ID-4168731_OQMD-EnID-345724.poscar,-1.076,Pm-3m
ID-4281177_OQMD-EnID-351354.poscar,-2.1229,Pm-3m
ID-4841184_OQMD-EnID-678206.poscar,-2.4764,R-3
ID-4998690_OQMD-EnID-5391.poscar,-2.4758,Ia-3
ID-5081793_OQMD-EnID-5431.poscar,-2.475,I213
ID-5812522_OQMD-EnID-1440418.poscar,-2.5136,P-3m1
ID-5812858_OQMD-EnID-1441910.poscar,-2.5607,C2/m
ID-5812954_OQMD-EnID-1442711.poscar,-2.3817,Pm
ID-5813307_OQMD-EnID-1444198.poscar,-2.3702,P-62m
ID-5816061_OQMD-EnID-1440285.poscar,-2.4704,R-3c
ID-5912567_OQMD-EnID-1440965.poscar,-2.4695,C2/c
ID-4882203_OQMD-EnID-356683.poscar,-2.5627,P4/mmm
