filename, _oqmd_delta_e, _oqmd_spacegroup 
ID-5814027_OQMD-EnID-1443731.poscar,-0.1856,P21/m
ID-5817402_OQMD-EnID-1442021.poscar,-0.0841,P43212
ID-5817736_OQMD-EnID-1443249.poscar,-0.0561,Pmma
ID-5841183_OQMD-EnID-1473708.poscar,0.0245,Fdd2
ID-5842898_OQMD-EnID-1472992.poscar,-0.1242,Pnma
ID-5956349_OQMD-EnID-1592438.poscar,0.7555,Fd-3m
ID-4788927_OQMD-EnID-596685.poscar,-0.1878,Fdd2
ID-4801290_OQMD-EnID-584892.poscar,-0.0267,Pn-3m
ID-4811280_OQMD-EnID-425493.poscar,-0.0829,R-3c
ID-4877799_OQMD-EnID-692331.poscar,0.3511,Pm-3m
ID-6018248_OQMD-EnID-1720219.poscar,0.2762,P4mm
ID-4077756_OQMD-EnID-5037.poscar,-0.1644,P-31m
ID-4114608_OQMD-EnID-300174.poscar,0.1264,I4/mmm
ID-4133319_OQMD-EnID-310716.poscar,0.1363,Fm-3m
ID-4156365_OQMD-EnID-322808.poscar,0.1031,P63/mmc
ID-4171629_OQMD-EnID-347294.poscar,0.1578,Pm-3m
ID-4788930_OQMD-EnID-596693.poscar,-0.2412,P21/c
ID-4789386_OQMD-EnID-638387.poscar,-0.2412,P21/c
ID-4879941_OQMD-EnID-692339.poscar,0.0907,P4/mmm
ID-6005167_OQMD-EnID-1603202.poscar,0.4299,P6/mmm
ID-4062105_OQMD-EnID-6628.poscar,-0.0038,F-43m
ID-4080837_OQMD-EnID-8207.poscar,-0.2646,P21/c
ID-4082289_OQMD-EnID-5376.poscar,-0.263,C2/c
ID-4082535_OQMD-EnID-5373.poscar,-0.2633,C2/c
ID-4468848_OQMD-EnID-305782.poscar,0.1185,Pm-3m
ID-4500756_OQMD-EnID-326866.poscar,-0.1707,R-3m
ID-4512960_OQMD-EnID-337324.poscar,0.4086,P4/mmm
ID-4784016_OQMD-EnID-31162.poscar,-0.2605,I41/a
ID-5492745_OQMD-EnID-1104967.poscar,-0.1742,Fm-3m
ID-5569271_OQMD-EnID-1218249.poscar,-0.007,F-43m
ID-5573351_OQMD-EnID-1227929.poscar,-0.0191,P-6m2
ID-5756077_OQMD-EnID-1371732.poscar,-0.3148,P42/mmc
ID-6040015_OQMD-EnID-1741841.poscar,-0.0035,P63mc
ID-6042269_OQMD-EnID-1743110.poscar,-0.1265,P4/nmm
ID-6044180_OQMD-EnID-1745279.poscar,-0.131,Cmca
ID-5947018_OQMD-EnID-1589760.poscar,0.9349,Fd-3m
ID-4118490_OQMD-EnID-301724.poscar,0.8092,I4/mmm
ID-4138404_OQMD-EnID-312266.poscar,0.9566,Fm-3m
ID-4152486_OQMD-EnID-321258.poscar,1.0212,P63/mmc
ID-4168770_OQMD-EnID-345744.poscar,1.128,Pm-3m
ID-5726045_OQMD-EnID-1338380.poscar,0.1048,Cm
ID-5732108_OQMD-EnID-1343146.poscar,-0.0816,P2/c
ID-5802007_OQMD-EnID-1376304.poscar,-0.1688,P1
ID-4065351_OQMD-EnID-3889.poscar,-0.1181,P-3m1
ID-4075065_OQMD-EnID-5968.poscar,-0.2337,Pn-3m
ID-4810542_OQMD-EnID-644343.poscar,-0.2338,Pn-3m
ID-5576617_OQMD-EnID-1231415.poscar,-0.1264,P42/mnm
ID-5601599_OQMD-EnID-1241357.poscar,-0.1044,Fd-3m
ID-5731350_OQMD-EnID-1343286.poscar,-0.1374,P212121
ID-5731392_OQMD-EnID-1343446.poscar,-0.1572,P21
ID-5731784_OQMD-EnID-1343673.poscar,-0.1695,P21/c
ID-5811558_OQMD-EnID-1440459.poscar,0.0289,Fm-3m
ID-5811663_OQMD-EnID-1442904.poscar,0.3458,F-43m
ID-5811778_OQMD-EnID-1440764.poscar,0.0297,R-3m
ID-5813584_OQMD-EnID-1442281.poscar,0.1564,P63/mmc
ID-5814027_OQMD-EnID-1443731.poscar,-0.1856,P21/m
ID-5817402_OQMD-EnID-1442021.poscar,-0.0841,P43212
ID-5817736_OQMD-EnID-1443249.poscar,-0.0561,Pmma
ID-5841183_OQMD-EnID-1473708.poscar,0.0245,Fdd2
ID-5842898_OQMD-EnID-1472992.poscar,-0.1242,Pnma
ID-5956349_OQMD-EnID-1592438.poscar,0.7555,Fd-3m
ID-4788927_OQMD-EnID-596685.poscar,-0.1878,Fdd2
ID-4801290_OQMD-EnID-584892.poscar,-0.0267,Pn-3m
ID-4811280_OQMD-EnID-425493.poscar,-0.0829,R-3c
ID-4877799_OQMD-EnID-692331.poscar,0.3511,Pm-3m
ID-6018248_OQMD-EnID-1720219.poscar,0.2762,P4mm
ID-4077756_OQMD-EnID-5037.poscar,-0.1644,P-31m
ID-4114608_OQMD-EnID-300174.poscar,0.1264,I4/mmm
ID-4133319_OQMD-EnID-310716.poscar,0.1363,Fm-3m
ID-4156365_OQMD-EnID-322808.poscar,0.1031,P63/mmc
ID-4171629_OQMD-EnID-347294.poscar,0.1578,Pm-3m
ID-4788930_OQMD-EnID-596693.poscar,-0.2412,P21/c
ID-4789386_OQMD-EnID-638387.poscar,-0.2412,P21/c
ID-4879941_OQMD-EnID-692339.poscar,0.0907,P4/mmm
ID-6005167_OQMD-EnID-1603202.poscar,0.4299,P6/mmm
ID-4062105_OQMD-EnID-6628.poscar,-0.0038,F-43m
ID-4080837_OQMD-EnID-8207.poscar,-0.2646,P21/c
ID-4082289_OQMD-EnID-5376.poscar,-0.263,C2/c
ID-4082535_OQMD-EnID-5373.poscar,-0.2633,C2/c
ID-4468848_OQMD-EnID-305782.poscar,0.1185,Pm-3m
ID-4500756_OQMD-EnID-326866.poscar,-0.1707,R-3m
ID-4512960_OQMD-EnID-337324.poscar,0.4086,P4/mmm
ID-4784016_OQMD-EnID-31162.poscar,-0.2605,I41/a
ID-5492745_OQMD-EnID-1104967.poscar,-0.1742,Fm-3m
ID-5569271_OQMD-EnID-1218249.poscar,-0.007,F-43m
ID-5573351_OQMD-EnID-1227929.poscar,-0.0191,P-6m2
ID-5756077_OQMD-EnID-1371732.poscar,-0.3148,P42/mmc
ID-6040015_OQMD-EnID-1741841.poscar,-0.0035,P63mc
ID-6042269_OQMD-EnID-1743110.poscar,-0.1265,P4/nmm
ID-6044180_OQMD-EnID-1745279.poscar,-0.131,Cmca
ID-5947018_OQMD-EnID-1589760.poscar,0.9349,Fd-3m
ID-4118490_OQMD-EnID-301724.poscar,0.8092,I4/mmm
ID-4138404_OQMD-EnID-312266.poscar,0.9566,Fm-3m
ID-4152486_OQMD-EnID-321258.poscar,1.0212,P63/mmc
ID-4168770_OQMD-EnID-345744.poscar,1.128,Pm-3m
ID-5726045_OQMD-EnID-1338380.poscar,0.1048,Cm
ID-5732108_OQMD-EnID-1343146.poscar,-0.0816,P2/c
ID-5802007_OQMD-EnID-1376304.poscar,-0.1688,P1
ID-4065351_OQMD-EnID-3889.poscar,-0.1181,P-3m1
ID-4075065_OQMD-EnID-5968.poscar,-0.2337,Pn-3m
ID-4810542_OQMD-EnID-644343.poscar,-0.2338,Pn-3m
ID-5576617_OQMD-EnID-1231415.poscar,-0.1264,P42/mnm
ID-5601599_OQMD-EnID-1241357.poscar,-0.1044,Fd-3m
ID-5731350_OQMD-EnID-1343286.poscar,-0.1374,P212121
ID-5731392_OQMD-EnID-1343446.poscar,-0.1572,P21
ID-5731784_OQMD-EnID-1343673.poscar,-0.1695,P21/c
ID-5811558_OQMD-EnID-1440459.poscar,0.0289,Fm-3m
ID-5811663_OQMD-EnID-1442904.poscar,0.3458,F-43m
ID-5811778_OQMD-EnID-1440764.poscar,0.0297,R-3m
ID-5813584_OQMD-EnID-1442281.poscar,0.1564,P63/mmc
ID-5814027_OQMD-EnID-1443731.poscar,-0.1856,P21/m
ID-5817402_OQMD-EnID-1442021.poscar,-0.0841,P43212
ID-5817736_OQMD-EnID-1443249.poscar,-0.0561,Pmma
ID-5841183_OQMD-EnID-1473708.poscar,0.0245,Fdd2
ID-5842898_OQMD-EnID-1472992.poscar,-0.1242,Pnma
ID-5956349_OQMD-EnID-1592438.poscar,0.7555,Fd-3m
ID-4788927_OQMD-EnID-596685.poscar,-0.1878,Fdd2
ID-4801290_OQMD-EnID-584892.poscar,-0.0267,Pn-3m
ID-4811280_OQMD-EnID-425493.poscar,-0.0829,R-3c
ID-4877799_OQMD-EnID-692331.poscar,0.3511,Pm-3m
ID-6018248_OQMD-EnID-1720219.poscar,0.2762,P4mm
ID-4077756_OQMD-EnID-5037.poscar,-0.1644,P-31m
ID-4114608_OQMD-EnID-300174.poscar,0.1264,I4/mmm
ID-4133319_OQMD-EnID-310716.poscar,0.1363,Fm-3m
ID-4156365_OQMD-EnID-322808.poscar,0.1031,P63/mmc
ID-4171629_OQMD-EnID-347294.poscar,0.1578,Pm-3m
ID-4788930_OQMD-EnID-596693.poscar,-0.2412,P21/c
ID-4789386_OQMD-EnID-638387.poscar,-0.2412,P21/c
ID-4879941_OQMD-EnID-692339.poscar,0.0907,P4/mmm
ID-6005167_OQMD-EnID-1603202.poscar,0.4299,P6/mmm
ID-4062105_OQMD-EnID-6628.poscar,-0.0038,F-43m
ID-4080837_OQMD-EnID-8207.poscar,-0.2646,P21/c
ID-4082289_OQMD-EnID-5376.poscar,-0.263,C2/c
ID-4082535_OQMD-EnID-5373.poscar,-0.2633,C2/c
ID-4468848_OQMD-EnID-305782.poscar,0.1185,Pm-3m
ID-4500756_OQMD-EnID-326866.poscar,-0.1707,R-3m
ID-4512960_OQMD-EnID-337324.poscar,0.4086,P4/mmm
ID-4784016_OQMD-EnID-31162.poscar,-0.2605,I41/a
ID-5492745_OQMD-EnID-1104967.poscar,-0.1742,Fm-3m
ID-5569271_OQMD-EnID-1218249.poscar,-0.007,F-43m
ID-5573351_OQMD-EnID-1227929.poscar,-0.0191,P-6m2
ID-5756077_OQMD-EnID-1371732.poscar,-0.3148,P42/mmc
ID-6040015_OQMD-EnID-1741841.poscar,-0.0035,P63mc
ID-6042269_OQMD-EnID-1743110.poscar,-0.1265,P4/nmm
ID-6044180_OQMD-EnID-1745279.poscar,-0.131,Cmca
ID-5947018_OQMD-EnID-1589760.poscar,0.9349,Fd-3m
ID-4118490_OQMD-EnID-301724.poscar,0.8092,I4/mmm
ID-4138404_OQMD-EnID-312266.poscar,0.9566,Fm-3m
ID-4152486_OQMD-EnID-321258.poscar,1.0212,P63/mmc
ID-4168770_OQMD-EnID-345744.poscar,1.128,Pm-3m
ID-5726045_OQMD-EnID-1338380.poscar,0.1048,Cm
ID-5732108_OQMD-EnID-1343146.poscar,-0.0816,P2/c
ID-5802007_OQMD-EnID-1376304.poscar,-0.1688,P1
ID-4065351_OQMD-EnID-3889.poscar,-0.1181,P-3m1
ID-4075065_OQMD-EnID-5968.poscar,-0.2337,Pn-3m
ID-4810542_OQMD-EnID-644343.poscar,-0.2338,Pn-3m
ID-5576617_OQMD-EnID-1231415.poscar,-0.1264,P42/mnm
ID-5601599_OQMD-EnID-1241357.poscar,-0.1044,Fd-3m
ID-5731350_OQMD-EnID-1343286.poscar,-0.1374,P212121
ID-5731392_OQMD-EnID-1343446.poscar,-0.1572,P21
ID-5731784_OQMD-EnID-1343673.poscar,-0.1695,P21/c
ID-5811558_OQMD-EnID-1440459.poscar,0.0289,Fm-3m
ID-5811663_OQMD-EnID-1442904.poscar,0.3458,F-43m
ID-5811778_OQMD-EnID-1440764.poscar,0.0297,R-3m
ID-5813584_OQMD-EnID-1442281.poscar,0.1564,P63/mmc
ID-5814027_OQMD-EnID-1443731.poscar,-0.1856,P21/m
ID-5817402_OQMD-EnID-1442021.poscar,-0.0841,P43212
ID-5817736_OQMD-EnID-1443249.poscar,-0.0561,Pmma
ID-5841183_OQMD-EnID-1473708.poscar,0.0245,Fdd2
ID-5842898_OQMD-EnID-1472992.poscar,-0.1242,Pnma
ID-5956349_OQMD-EnID-1592438.poscar,0.7555,Fd-3m
ID-4788927_OQMD-EnID-596685.poscar,-0.1878,Fdd2
ID-4801290_OQMD-EnID-584892.poscar,-0.0267,Pn-3m
ID-4811280_OQMD-EnID-425493.poscar,-0.0829,R-3c
ID-4877799_OQMD-EnID-692331.poscar,0.3511,Pm-3m
ID-6018248_OQMD-EnID-1720219.poscar,0.2762,P4mm
ID-4077756_OQMD-EnID-5037.poscar,-0.1644,P-31m
ID-4114608_OQMD-EnID-300174.poscar,0.1264,I4/mmm
ID-4133319_OQMD-EnID-310716.poscar,0.1363,Fm-3m
ID-4156365_OQMD-EnID-322808.poscar,0.1031,P63/mmc
ID-4171629_OQMD-EnID-347294.poscar,0.1578,Pm-3m
ID-4788930_OQMD-EnID-596693.poscar,-0.2412,P21/c
ID-4789386_OQMD-EnID-638387.poscar,-0.2412,P21/c
ID-4879941_OQMD-EnID-692339.poscar,0.0907,P4/mmm
ID-6005167_OQMD-EnID-1603202.poscar,0.4299,P6/mmm
