filename, _oqmd_delta_e, _oqmd_spacegroup 
ID-4164093_OQMD-EnID-343096.poscar,-0.8329,Pm-3m
ID-5634815_OQMD-EnID-1283687.poscar,-0.5161,Fd-3m
ID-5462035_OQMD-EnID-1054911.poscar,-1.5487,P1
ID-4880151_OQMD-EnID-355416.poscar,-1.276,P4/mmm
ID-6004538_OQMD-EnID-1603164.poscar,0.0976,P6/mmm
ID-5351063_OQMD-EnID-1023346.poscar,-1.3689,Cmmm
ID-5495135_OQMD-EnID-1103547.poscar,-1.5192,P-1
ID-4077438_OQMD-EnID-4780.poscar,-1.6208,P63/mmc
ID-4437078_OQMD-EnID-305632.poscar,-1.1839,Pm-3m
ID-4512540_OQMD-EnID-337174.poscar,-1.2036,P4/mmm
ID-4877397_OQMD-EnID-4534.poscar,-1.4627,P63/mmc
ID-5492595_OQMD-EnID-1104817.poscar,-1.1433,Fm-3m
ID-5571488_OQMD-EnID-1223198.poscar,-0.9443,F-43m
ID-5575503_OQMD-EnID-1230169.poscar,-1.3138,P-6m2
ID-5577832_OQMD-EnID-1235030.poscar,-1.1411,R-3m
ID-5766077_OQMD-EnID-1243921.poscar,-1.1714,P63/mmc
ID-5766079_OQMD-EnID-1243922.poscar,-1.4687,P63/mmc
ID-4065060_OQMD-EnID-30681.poscar,-0.2535,Fm-3m
ID-4073058_OQMD-EnID-22225.poscar,-1.1922,Pnnm
ID-5595884_OQMD-EnID-1237168.poscar,0.6035,Fd-3m
ID-5946923_OQMD-EnID-1589722.poscar,-0.1169,Fd-3m
ID-4065996_OQMD-EnID-22226.poscar,-0.919,Imm2
ID-4108302_OQMD-EnID-297542.poscar,0.2401,I4/mmm
ID-4126047_OQMD-EnID-308068.poscar,0.4732,Fm-3m
ID-4151715_OQMD-EnID-320964.poscar,0.0893,P63/mmc
ID-4795635_OQMD-EnID-345450.poscar,0.3019,Pm-3m
ID-6004101_OQMD-EnID-1602793.poscar,0.6908,P6/mmm
ID-4064766_OQMD-EnID-4179.poscar,-1.9787,Fm-3m
ID-4092534_OQMD-EnID-18939.poscar,-1.9796,R-3m
ID-5577321_OQMD-EnID-1233655.poscar,-1.9205,P42/mnm
ID-5595888_OQMD-EnID-1237169.poscar,-1.706,Fd-3m
ID-5731335_OQMD-EnID-1343249.poscar,-1.6893,Pn-3m
ID-5811747_OQMD-EnID-1440137.poscar,-1.7915,P-3m1
ID-5816885_OQMD-EnID-1439855.poscar,-1.8921,Pnma
ID-5816959_OQMD-EnID-1440614.poscar,-1.6714,Pna21
ID-5817585_OQMD-EnID-1443012.poscar,-1.6436,C2221
ID-5817877_OQMD-EnID-1444351.poscar,-1.8332,Cmc21
ID-5817910_OQMD-EnID-1444152.poscar,-0.695,I41/amd
ID-5840231_OQMD-EnID-1473305.poscar,-1.9189,P21
ID-5911732_OQMD-EnID-1473260.poscar,-1.8256,Fdd2
ID-5912757_OQMD-EnID-1472904.poscar,-1.9792,P21/c
ID-5912767_OQMD-EnID-1473962.poscar,-1.893,P212121
ID-5946028_OQMD-EnID-1589358.poscar,-0.3148,Fd-3m
ID-4309677_OQMD-EnID-350087.poscar,-0.3199,Pm-3m
ID-4811964_OQMD-EnID-427733.poscar,-0.5125,R-3c
ID-4113885_OQMD-EnID-299880.poscar,-0.6805,I4/mmm
ID-4132575_OQMD-EnID-310422.poscar,-0.6713,Fm-3m
ID-4145832_OQMD-EnID-318610.poscar,-1.1732,P63/mmc
ID-4164093_OQMD-EnID-343096.poscar,-0.8329,Pm-3m
ID-5634815_OQMD-EnID-1283687.poscar,-0.5161,Fd-3m
ID-5462035_OQMD-EnID-1054911.poscar,-1.5487,P1
ID-4880151_OQMD-EnID-355416.poscar,-1.276,P4/mmm
ID-6004538_OQMD-EnID-1603164.poscar,0.0976,P6/mmm
ID-5351063_OQMD-EnID-1023346.poscar,-1.3689,Cmmm
ID-5495135_OQMD-EnID-1103547.poscar,-1.5192,P-1
ID-4077438_OQMD-EnID-4780.poscar,-1.6208,P63/mmc
ID-4437078_OQMD-EnID-305632.poscar,-1.1839,Pm-3m
ID-4512540_OQMD-EnID-337174.poscar,-1.2036,P4/mmm
ID-4877397_OQMD-EnID-4534.poscar,-1.4627,P63/mmc
ID-5492595_OQMD-EnID-1104817.poscar,-1.1433,Fm-3m
ID-5571488_OQMD-EnID-1223198.poscar,-0.9443,F-43m
ID-5575503_OQMD-EnID-1230169.poscar,-1.3138,P-6m2
ID-5577832_OQMD-EnID-1235030.poscar,-1.1411,R-3m
ID-5766077_OQMD-EnID-1243921.poscar,-1.1714,P63/mmc
ID-5766079_OQMD-EnID-1243922.poscar,-1.4687,P63/mmc
ID-4065060_OQMD-EnID-30681.poscar,-0.2535,Fm-3m
ID-4073058_OQMD-EnID-22225.poscar,-1.1922,Pnnm
ID-5595884_OQMD-EnID-1237168.poscar,0.6035,Fd-3m
ID-5946923_OQMD-EnID-1589722.poscar,-0.1169,Fd-3m
ID-4065996_OQMD-EnID-22226.poscar,-0.919,Imm2
ID-4108302_OQMD-EnID-297542.poscar,0.2401,I4/mmm
ID-4126047_OQMD-EnID-308068.poscar,0.4732,Fm-3m
ID-4151715_OQMD-EnID-320964.poscar,0.0893,P63/mmc
ID-4795635_OQMD-EnID-345450.poscar,0.3019,Pm-3m
ID-6004101_OQMD-EnID-1602793.poscar,0.6908,P6/mmm
ID-4064766_OQMD-EnID-4179.poscar,-1.9787,Fm-3m
ID-4092534_OQMD-EnID-18939.poscar,-1.9796,R-3m
ID-5577321_OQMD-EnID-1233655.poscar,-1.9205,P42/mnm
ID-5595888_OQMD-EnID-1237169.poscar,-1.706,Fd-3m
ID-5731335_OQMD-EnID-1343249.poscar,-1.6893,Pn-3m
ID-5811747_OQMD-EnID-1440137.poscar,-1.7915,P-3m1
ID-5816885_OQMD-EnID-1439855.poscar,-1.8921,Pnma
ID-5816959_OQMD-EnID-1440614.poscar,-1.6714,Pna21
ID-5817585_OQMD-EnID-1443012.poscar,-1.6436,C2221
ID-5817877_OQMD-EnID-1444351.poscar,-1.8332,Cmc21
ID-5817910_OQMD-EnID-1444152.poscar,-0.695,I41/amd
ID-5840231_OQMD-EnID-1473305.poscar,-1.9189,P21
ID-5911732_OQMD-EnID-1473260.poscar,-1.8256,Fdd2
ID-5912757_OQMD-EnID-1472904.poscar,-1.9792,P21/c
ID-5912767_OQMD-EnID-1473962.poscar,-1.893,P212121
ID-5946028_OQMD-EnID-1589358.poscar,-0.3148,Fd-3m
ID-4309677_OQMD-EnID-350087.poscar,-0.3199,Pm-3m
ID-4811964_OQMD-EnID-427733.poscar,-0.5125,R-3c
ID-4113885_OQMD-EnID-299880.poscar,-0.6805,I4/mmm
ID-4132575_OQMD-EnID-310422.poscar,-0.6713,Fm-3m
ID-4145832_OQMD-EnID-318610.poscar,-1.1732,P63/mmc
ID-4164093_OQMD-EnID-343096.poscar,-0.8329,Pm-3m
ID-5634815_OQMD-EnID-1283687.poscar,-0.5161,Fd-3m
ID-5462035_OQMD-EnID-1054911.poscar,-1.5487,P1
ID-4880151_OQMD-EnID-355416.poscar,-1.276,P4/mmm
ID-6004538_OQMD-EnID-1603164.poscar,0.0976,P6/mmm
ID-5351063_OQMD-EnID-1023346.poscar,-1.3689,Cmmm
ID-5495135_OQMD-EnID-1103547.poscar,-1.5192,P-1
ID-4077438_OQMD-EnID-4780.poscar,-1.6208,P63/mmc
ID-4437078_OQMD-EnID-305632.poscar,-1.1839,Pm-3m
ID-4512540_OQMD-EnID-337174.poscar,-1.2036,P4/mmm
ID-4877397_OQMD-EnID-4534.poscar,-1.4627,P63/mmc
ID-5492595_OQMD-EnID-1104817.poscar,-1.1433,Fm-3m
ID-5571488_OQMD-EnID-1223198.poscar,-0.9443,F-43m
ID-5575503_OQMD-EnID-1230169.poscar,-1.3138,P-6m2
ID-5577832_OQMD-EnID-1235030.poscar,-1.1411,R-3m
ID-5766077_OQMD-EnID-1243921.poscar,-1.1714,P63/mmc
ID-5766079_OQMD-EnID-1243922.poscar,-1.4687,P63/mmc
ID-4065060_OQMD-EnID-30681.poscar,-0.2535,Fm-3m
ID-4073058_OQMD-EnID-22225.poscar,-1.1922,Pnnm
ID-5595884_OQMD-EnID-1237168.poscar,0.6035,Fd-3m
ID-5946923_OQMD-EnID-1589722.poscar,-0.1169,Fd-3m
ID-4065996_OQMD-EnID-22226.poscar,-0.919,Imm2
ID-4108302_OQMD-EnID-297542.poscar,0.2401,I4/mmm
ID-4126047_OQMD-EnID-308068.poscar,0.4732,Fm-3m
ID-4151715_OQMD-EnID-320964.poscar,0.0893,P63/mmc
ID-4795635_OQMD-EnID-345450.poscar,0.3019,Pm-3m
ID-6004101_OQMD-EnID-1602793.poscar,0.6908,P6/mmm
ID-4064766_OQMD-EnID-4179.poscar,-1.9787,Fm-3m
ID-4092534_OQMD-EnID-18939.poscar,-1.9796,R-3m
ID-5577321_OQMD-EnID-1233655.poscar,-1.9205,P42/mnm
ID-5595888_OQMD-EnID-1237169.poscar,-1.706,Fd-3m
ID-5731335_OQMD-EnID-1343249.poscar,-1.6893,Pn-3m
ID-5811747_OQMD-EnID-1440137.poscar,-1.7915,P-3m1
ID-5816885_OQMD-EnID-1439855.poscar,-1.8921,Pnma
ID-5816959_OQMD-EnID-1440614.poscar,-1.6714,Pna21
ID-5817585_OQMD-EnID-1443012.poscar,-1.6436,C2221
ID-5817877_OQMD-EnID-1444351.poscar,-1.8332,Cmc21
ID-5817910_OQMD-EnID-1444152.poscar,-0.695,I41/amd
ID-5840231_OQMD-EnID-1473305.poscar,-1.9189,P21
ID-5911732_OQMD-EnID-1473260.poscar,-1.8256,Fdd2
ID-5912757_OQMD-EnID-1472904.poscar,-1.9792,P21/c
ID-5912767_OQMD-EnID-1473962.poscar,-1.893,P212121
ID-5946028_OQMD-EnID-1589358.poscar,-0.3148,Fd-3m
ID-4309677_OQMD-EnID-350087.poscar,-0.3199,Pm-3m
ID-4811964_OQMD-EnID-427733.poscar,-0.5125,R-3c
ID-4113885_OQMD-EnID-299880.poscar,-0.6805,I4/mmm
ID-4132575_OQMD-EnID-310422.poscar,-0.6713,Fm-3m
ID-4145832_OQMD-EnID-318610.poscar,-1.1732,P63/mmc
ID-4164093_OQMD-EnID-343096.poscar,-0.8329,Pm-3m
ID-5634815_OQMD-EnID-1283687.poscar,-0.5161,Fd-3m
ID-5462035_OQMD-EnID-1054911.poscar,-1.5487,P1
ID-4880151_OQMD-EnID-355416.poscar,-1.276,P4/mmm
ID-6004538_OQMD-EnID-1603164.poscar,0.0976,P6/mmm
ID-5351063_OQMD-EnID-1023346.poscar,-1.3689,Cmmm
ID-5495135_OQMD-EnID-1103547.poscar,-1.5192,P-1
