filename, _oqmd_delta_e, _oqmd_spacegroup 
ID-5811487_OQMD-EnID-1440141.poscar,-1.2769,P-3m1
ID-5813258_OQMD-EnID-1440195.poscar,-1.2767,P63/mmc
ID-5813271_OQMD-EnID-1440522.poscar,-1.3272,P4/nmm
ID-5816871_OQMD-EnID-1439854.poscar,-1.3686,Pnma
ID-5816931_OQMD-EnID-1440613.poscar,-1.1414,Pna21
ID-5817024_OQMD-EnID-1441103.poscar,-1.2629,Ibam
ID-5817422_OQMD-EnID-1442152.poscar,-1.3776,Ibam
ID-5817643_OQMD-EnID-1443132.poscar,-1.3118,I4/mmm
ID-5838735_OQMD-EnID-1472887.poscar,-1.3098,Fdd2
ID-5847723_OQMD-EnID-1473879.poscar,-1.4268,P21/m
ID-5895356_OQMD-EnID-1520422.poscar,-1.342,C2/m
ID-5947297_OQMD-EnID-1589880.poscar,-0.0451,Fd-3m
ID-4336731_OQMD-EnID-353976.poscar,0.039,Pm-3m
ID-4812528_OQMD-EnID-427994.poscar,-0.4507,R-3c
ID-4834263_OQMD-EnID-681142.poscar,-0.4834,P4mm
ID-4845906_OQMD-EnID-678193.poscar,-0.5253,R-3m
ID-4862529_OQMD-EnID-682762.poscar,-0.8952,Pnma
ID-5190783_OQMD-EnID-826417.poscar,-0.1375,R-3c
ID-4137141_OQMD-EnID-311785.poscar,-0.503,Fm-3m
ID-4148145_OQMD-EnID-319548.poscar,-0.8677,P63/mmc
ID-4165713_OQMD-EnID-344034.poscar,-0.5095,Pm-3m
ID-4791051_OQMD-EnID-301243.poscar,-0.5013,I4/mmm
ID-5765912_OQMD-EnID-1414387.poscar,-1.0574,Pm-3m
ID-5787444_OQMD-EnID-1428089.poscar,-1.0574,Pm-3m
ID-4889895_OQMD-EnID-359305.poscar,-1.0681,P4/mmm
ID-4095207_OQMD-EnID-4776.poscar,-1.3329,P-62m
ID-4474059_OQMD-EnID-306320.poscar,-0.8769,Pm-3m
ID-4502388_OQMD-EnID-327404.poscar,-0.7979,R-3m
ID-4514460_OQMD-EnID-337862.poscar,-0.8836,P4/mmm
ID-5493285_OQMD-EnID-1105505.poscar,-0.7959,Fm-3m
ID-5571749_OQMD-EnID-1223459.poscar,-0.6166,F-43m
ID-5575750_OQMD-EnID-1230430.poscar,-0.8767,P-6m2
ID-5755743_OQMD-EnID-1243125.poscar,-0.7922,P63/mmc
ID-5755745_OQMD-EnID-1243126.poscar,-1.1003,P63/mmc
ID-4073469_OQMD-EnID-5050.poscar,-1.0425,Pnnm
ID-4095306_OQMD-EnID-5049.poscar,-1.0101,Pa-3
ID-4814217_OQMD-EnID-115587.poscar,-1.0443,Pnnm
ID-4850550_OQMD-EnID-76316.poscar,-1.0423,Pnnm
ID-5594270_OQMD-EnID-1236387.poscar,0.9509,Fd-3m
ID-5754707_OQMD-EnID-1250067.poscar,0.1699,Fm-3m
ID-5946932_OQMD-EnID-1589728.poscar,-0.1233,Fd-3m
ID-4070196_OQMD-EnID-15265.poscar,-0.8822,Imm2
ID-4110519_OQMD-EnID-298468.poscar,0.4839,I4/mmm
ID-4128426_OQMD-EnID-309006.poscar,0.588,Fm-3m
ID-4155153_OQMD-EnID-322327.poscar,0.013,P63/mmc
ID-4170756_OQMD-EnID-346813.poscar,0.449,Pm-3m
ID-4814202_OQMD-EnID-115590.poscar,-0.8752,Imm2
ID-4850553_OQMD-EnID-649601.poscar,-0.8789,Imm2
ID-6005403_OQMD-EnID-1603318.poscar,0.6062,P6/mmm
ID-4064913_OQMD-EnID-11317.poscar,-1.4286,Fm-3m
ID-5577427_OQMD-EnID-1233916.poscar,-1.3945,P42/mnm
ID-5594254_OQMD-EnID-1236388.poscar,-1.1927,Fd-3m
ID-5731178_OQMD-EnID-1343243.poscar,-1.346,R-3m
ID-5731336_OQMD-EnID-1343475.poscar,-1.1883,Pn-3m
ID-5731396_OQMD-EnID-1343375.poscar,-1.39,P21
ID-5731534_OQMD-EnID-1343376.poscar,-1.3514,R3
ID-5731591_OQMD-EnID-1343537.poscar,-1.2485,P63cm
ID-5811487_OQMD-EnID-1440141.poscar,-1.2769,P-3m1
ID-5813258_OQMD-EnID-1440195.poscar,-1.2767,P63/mmc
ID-5813271_OQMD-EnID-1440522.poscar,-1.3272,P4/nmm
ID-5816871_OQMD-EnID-1439854.poscar,-1.3686,Pnma
ID-5816931_OQMD-EnID-1440613.poscar,-1.1414,Pna21
ID-5817024_OQMD-EnID-1441103.poscar,-1.2629,Ibam
ID-5817422_OQMD-EnID-1442152.poscar,-1.3776,Ibam
ID-5817643_OQMD-EnID-1443132.poscar,-1.3118,I4/mmm
ID-5838735_OQMD-EnID-1472887.poscar,-1.3098,Fdd2
ID-5847723_OQMD-EnID-1473879.poscar,-1.4268,P21/m
ID-5895356_OQMD-EnID-1520422.poscar,-1.342,C2/m
ID-5947297_OQMD-EnID-1589880.poscar,-0.0451,Fd-3m
ID-4336731_OQMD-EnID-353976.poscar,0.039,Pm-3m
ID-4812528_OQMD-EnID-427994.poscar,-0.4507,R-3c
ID-4834263_OQMD-EnID-681142.poscar,-0.4834,P4mm
ID-4845906_OQMD-EnID-678193.poscar,-0.5253,R-3m
ID-4862529_OQMD-EnID-682762.poscar,-0.8952,Pnma
ID-5190783_OQMD-EnID-826417.poscar,-0.1375,R-3c
ID-4137141_OQMD-EnID-311785.poscar,-0.503,Fm-3m
ID-4148145_OQMD-EnID-319548.poscar,-0.8677,P63/mmc
ID-4165713_OQMD-EnID-344034.poscar,-0.5095,Pm-3m
ID-4791051_OQMD-EnID-301243.poscar,-0.5013,I4/mmm
ID-5765912_OQMD-EnID-1414387.poscar,-1.0574,Pm-3m
ID-5787444_OQMD-EnID-1428089.poscar,-1.0574,Pm-3m
ID-4889895_OQMD-EnID-359305.poscar,-1.0681,P4/mmm
ID-4095207_OQMD-EnID-4776.poscar,-1.3329,P-62m
ID-4474059_OQMD-EnID-306320.poscar,-0.8769,Pm-3m
ID-4502388_OQMD-EnID-327404.poscar,-0.7979,R-3m
ID-4514460_OQMD-EnID-337862.poscar,-0.8836,P4/mmm
ID-5493285_OQMD-EnID-1105505.poscar,-0.7959,Fm-3m
ID-5571749_OQMD-EnID-1223459.poscar,-0.6166,F-43m
ID-5575750_OQMD-EnID-1230430.poscar,-0.8767,P-6m2
ID-5755743_OQMD-EnID-1243125.poscar,-0.7922,P63/mmc
ID-5755745_OQMD-EnID-1243126.poscar,-1.1003,P63/mmc
ID-4073469_OQMD-EnID-5050.poscar,-1.0425,Pnnm
ID-4095306_OQMD-EnID-5049.poscar,-1.0101,Pa-3
ID-4814217_OQMD-EnID-115587.poscar,-1.0443,Pnnm
ID-4850550_OQMD-EnID-76316.poscar,-1.0423,Pnnm
ID-5594270_OQMD-EnID-1236387.poscar,0.9509,Fd-3m
ID-5754707_OQMD-EnID-1250067.poscar,0.1699,Fm-3m
ID-5946932_OQMD-EnID-1589728.poscar,-0.1233,Fd-3m
ID-4070196_OQMD-EnID-15265.poscar,-0.8822,Imm2
ID-4110519_OQMD-EnID-298468.poscar,0.4839,I4/mmm
ID-4128426_OQMD-EnID-309006.poscar,0.588,Fm-3m
ID-4155153_OQMD-EnID-322327.poscar,0.013,P63/mmc
ID-4170756_OQMD-EnID-346813.poscar,0.449,Pm-3m
ID-4814202_OQMD-EnID-115590.poscar,-0.8752,Imm2
ID-4850553_OQMD-EnID-649601.poscar,-0.8789,Imm2
ID-6005403_OQMD-EnID-1603318.poscar,0.6062,P6/mmm
ID-4064913_OQMD-EnID-11317.poscar,-1.4286,Fm-3m
ID-5577427_OQMD-EnID-1233916.poscar,-1.3945,P42/mnm
ID-5594254_OQMD-EnID-1236388.poscar,-1.1927,Fd-3m
ID-5731178_OQMD-EnID-1343243.poscar,-1.346,R-3m
ID-5731336_OQMD-EnID-1343475.poscar,-1.1883,Pn-3m
ID-5731396_OQMD-EnID-1343375.poscar,-1.39,P21
ID-5731534_OQMD-EnID-1343376.poscar,-1.3514,R3
ID-5731591_OQMD-EnID-1343537.poscar,-1.2485,P63cm
ID-5811487_OQMD-EnID-1440141.poscar,-1.2769,P-3m1
ID-5813258_OQMD-EnID-1440195.poscar,-1.2767,P63/mmc
ID-5813271_OQMD-EnID-1440522.poscar,-1.3272,P4/nmm
ID-5816871_OQMD-EnID-1439854.poscar,-1.3686,Pnma
ID-5816931_OQMD-EnID-1440613.poscar,-1.1414,Pna21
ID-5817024_OQMD-EnID-1441103.poscar,-1.2629,Ibam
ID-5817422_OQMD-EnID-1442152.poscar,-1.3776,Ibam
ID-5817643_OQMD-EnID-1443132.poscar,-1.3118,I4/mmm
ID-5838735_OQMD-EnID-1472887.poscar,-1.3098,Fdd2
ID-5847723_OQMD-EnID-1473879.poscar,-1.4268,P21/m
ID-5895356_OQMD-EnID-1520422.poscar,-1.342,C2/m
ID-5947297_OQMD-EnID-1589880.poscar,-0.0451,Fd-3m
ID-4336731_OQMD-EnID-353976.poscar,0.039,Pm-3m
ID-4812528_OQMD-EnID-427994.poscar,-0.4507,R-3c
ID-4834263_OQMD-EnID-681142.poscar,-0.4834,P4mm
ID-4845906_OQMD-EnID-678193.poscar,-0.5253,R-3m
ID-4862529_OQMD-EnID-682762.poscar,-0.8952,Pnma
ID-5190783_OQMD-EnID-826417.poscar,-0.1375,R-3c
ID-4137141_OQMD-EnID-311785.poscar,-0.503,Fm-3m
ID-4148145_OQMD-EnID-319548.poscar,-0.8677,P63/mmc
ID-4165713_OQMD-EnID-344034.poscar,-0.5095,Pm-3m
ID-4791051_OQMD-EnID-301243.poscar,-0.5013,I4/mmm
ID-5765912_OQMD-EnID-1414387.poscar,-1.0574,Pm-3m
ID-5787444_OQMD-EnID-1428089.poscar,-1.0574,Pm-3m
ID-4889895_OQMD-EnID-359305.poscar,-1.0681,P4/mmm
ID-4095207_OQMD-EnID-4776.poscar,-1.3329,P-62m
ID-4474059_OQMD-EnID-306320.poscar,-0.8769,Pm-3m
ID-4502388_OQMD-EnID-327404.poscar,-0.7979,R-3m
ID-4514460_OQMD-EnID-337862.poscar,-0.8836,P4/mmm
ID-5493285_OQMD-EnID-1105505.poscar,-0.7959,Fm-3m
ID-5571749_OQMD-EnID-1223459.poscar,-0.6166,F-43m
ID-5575750_OQMD-EnID-1230430.poscar,-0.8767,P-6m2
ID-5755743_OQMD-EnID-1243125.poscar,-0.7922,P63/mmc
ID-5755745_OQMD-EnID-1243126.poscar,-1.1003,P63/mmc
ID-4073469_OQMD-EnID-5050.poscar,-1.0425,Pnnm
ID-4095306_OQMD-EnID-5049.poscar,-1.0101,Pa-3
ID-4814217_OQMD-EnID-115587.poscar,-1.0443,Pnnm
ID-4850550_OQMD-EnID-76316.poscar,-1.0423,Pnnm
ID-5594270_OQMD-EnID-1236387.poscar,0.9509,Fd-3m
ID-5754707_OQMD-EnID-1250067.poscar,0.1699,Fm-3m
ID-5946932_OQMD-EnID-1589728.poscar,-0.1233,Fd-3m
ID-4070196_OQMD-EnID-15265.poscar,-0.8822,Imm2
ID-4110519_OQMD-EnID-298468.poscar,0.4839,I4/mmm
ID-4128426_OQMD-EnID-309006.poscar,0.588,Fm-3m
ID-4155153_OQMD-EnID-322327.poscar,0.013,P63/mmc
ID-4170756_OQMD-EnID-346813.poscar,0.449,Pm-3m
ID-4814202_OQMD-EnID-115590.poscar,-0.8752,Imm2
ID-4850553_OQMD-EnID-649601.poscar,-0.8789,Imm2
ID-6005403_OQMD-EnID-1603318.poscar,0.6062,P6/mmm
ID-4064913_OQMD-EnID-11317.poscar,-1.4286,Fm-3m
ID-5577427_OQMD-EnID-1233916.poscar,-1.3945,P42/mnm
ID-5594254_OQMD-EnID-1236388.poscar,-1.1927,Fd-3m
ID-5731178_OQMD-EnID-1343243.poscar,-1.346,R-3m
ID-5731336_OQMD-EnID-1343475.poscar,-1.1883,Pn-3m
ID-5731396_OQMD-EnID-1343375.poscar,-1.39,P21
ID-5731534_OQMD-EnID-1343376.poscar,-1.3514,R3
ID-5731591_OQMD-EnID-1343537.poscar,-1.2485,P63cm
ID-5811487_OQMD-EnID-1440141.poscar,-1.2769,P-3m1
ID-5813258_OQMD-EnID-1440195.poscar,-1.2767,P63/mmc
ID-5813271_OQMD-EnID-1440522.poscar,-1.3272,P4/nmm
ID-5816871_OQMD-EnID-1439854.poscar,-1.3686,Pnma
ID-5816931_OQMD-EnID-1440613.poscar,-1.1414,Pna21
ID-5817024_OQMD-EnID-1441103.poscar,-1.2629,Ibam
ID-5817422_OQMD-EnID-1442152.poscar,-1.3776,Ibam
ID-5817643_OQMD-EnID-1443132.poscar,-1.3118,I4/mmm
ID-5838735_OQMD-EnID-1472887.poscar,-1.3098,Fdd2
ID-5847723_OQMD-EnID-1473879.poscar,-1.4268,P21/m
ID-5895356_OQMD-EnID-1520422.poscar,-1.342,C2/m
ID-5947297_OQMD-EnID-1589880.poscar,-0.0451,Fd-3m
ID-4336731_OQMD-EnID-353976.poscar,0.039,Pm-3m
ID-4812528_OQMD-EnID-427994.poscar,-0.4507,R-3c
ID-4834263_OQMD-EnID-681142.poscar,-0.4834,P4mm
ID-4845906_OQMD-EnID-678193.poscar,-0.5253,R-3m
ID-4862529_OQMD-EnID-682762.poscar,-0.8952,Pnma
ID-5190783_OQMD-EnID-826417.poscar,-0.1375,R-3c
ID-4137141_OQMD-EnID-311785.poscar,-0.503,Fm-3m
ID-4148145_OQMD-EnID-319548.poscar,-0.8677,P63/mmc
ID-4165713_OQMD-EnID-344034.poscar,-0.5095,Pm-3m
ID-4791051_OQMD-EnID-301243.poscar,-0.5013,I4/mmm
ID-5765912_OQMD-EnID-1414387.poscar,-1.0574,Pm-3m
ID-5787444_OQMD-EnID-1428089.poscar,-1.0574,Pm-3m
ID-4889895_OQMD-EnID-359305.poscar,-1.0681,P4/mmm
