filename, _oqmd_delta_e, _oqmd_spacegroup 
ID-4164627_OQMD-EnID-343390.poscar,0.4992,Pm-3m
ID-6005526_OQMD-EnID-1603218.poscar,1.3403,P6/mmm
ID-4788615_OQMD-EnID-13263.poscar,-3.1952,R-3
ID-4065264_OQMD-EnID-5617.poscar,-2.7857,Fm-3m
ID-5577497_OQMD-EnID-1234129.poscar,-2.6169,P42/mnm
ID-5597461_OQMD-EnID-1239052.poscar,-2.2563,Fd-3m
ID-5761484_OQMD-EnID-1373994.poscar,-3.0367,C2/m
ID-5816837_OQMD-EnID-1439747.poscar,-2.7879,Pa-3
ID-5947057_OQMD-EnID-1589777.poscar,-0.6984,Fd-3m
ID-6037010_OQMD-EnID-1739233.poscar,-2.843,P21/c
ID-6040310_OQMD-EnID-1741720.poscar,-2.8155,Immm
ID-4812147_OQMD-EnID-428207.poscar,-1.9721,R-3c
ID-4879065_OQMD-EnID-671097.poscar,-3.0306,P-1
ID-4109007_OQMD-EnID-297831.poscar,-1.5542,I4/mmm
ID-4126776_OQMD-EnID-308362.poscar,-1.6312,Fm-3m
ID-4157910_OQMD-EnID-323456.poscar,-1.6055,P63/mmc
ID-4797576_OQMD-EnID-347942.poscar,-1.5499,P4/mmm
ID-4070691_OQMD-EnID-20293.poscar,-3.5038,P-3m1
ID-4082883_OQMD-EnID-6309.poscar,-3.5477,I213
ID-4285128_OQMD-EnID-351345.poscar,-2.6159,Pm-3m
ID-4508967_OQMD-EnID-20307.poscar,-3.5202,C2/m
ID-5011836_OQMD-EnID-7282.poscar,-3.5603,Ia-3
ID-5731409_OQMD-EnID-1343701.poscar,-3.427,Pnma
ID-5812949_OQMD-EnID-1442703.poscar,-3.3507,P321
ID-5813203_OQMD-EnID-1444195.poscar,-3.3484,P321
ID-5816251_OQMD-EnID-1442524.poscar,-3.0761,Pn-3m
ID-5912502_OQMD-EnID-1440985.poscar,-3.4036,Fdd2
ID-4883454_OQMD-EnID-356674.poscar,-2.8295,P4/mmm
ID-4509885_OQMD-EnID-336172.poscar,-1.7962,P4/mmm
ID-4791594_OQMD-EnID-304630.poscar,-2.0704,Pm-3m
ID-5491603_OQMD-EnID-1103816.poscar,-2.6818,Fm-3m
ID-5571961_OQMD-EnID-1223671.poscar,-2.5797,F-43m
ID-5575960_OQMD-EnID-1230643.poscar,-2.4329,P-6m2
ID-5577863_OQMD-EnID-1235061.poscar,-2.6802,R-3m
ID-5597459_OQMD-EnID-1239051.poscar,-0.6328,Fd-3m
ID-5961395_OQMD-EnID-1593725.poscar,0.9943,Fd-3m
ID-4120035_OQMD-EnID-302372.poscar,0.3704,I4/mmm
ID-4139991_OQMD-EnID-312914.poscar,0.6881,Fm-3m
ID-4146564_OQMD-EnID-318904.poscar,-0.3783,P63/mmc
ID-4164627_OQMD-EnID-343390.poscar,0.4992,Pm-3m
ID-6005526_OQMD-EnID-1603218.poscar,1.3403,P6/mmm
ID-4788615_OQMD-EnID-13263.poscar,-3.1952,R-3
ID-4065264_OQMD-EnID-5617.poscar,-2.7857,Fm-3m
ID-5577497_OQMD-EnID-1234129.poscar,-2.6169,P42/mnm
ID-5597461_OQMD-EnID-1239052.poscar,-2.2563,Fd-3m
ID-5761484_OQMD-EnID-1373994.poscar,-3.0367,C2/m
ID-5816837_OQMD-EnID-1439747.poscar,-2.7879,Pa-3
ID-5947057_OQMD-EnID-1589777.poscar,-0.6984,Fd-3m
ID-6037010_OQMD-EnID-1739233.poscar,-2.843,P21/c
ID-6040310_OQMD-EnID-1741720.poscar,-2.8155,Immm
ID-4812147_OQMD-EnID-428207.poscar,-1.9721,R-3c
ID-4879065_OQMD-EnID-671097.poscar,-3.0306,P-1
ID-4109007_OQMD-EnID-297831.poscar,-1.5542,I4/mmm
ID-4126776_OQMD-EnID-308362.poscar,-1.6312,Fm-3m
ID-4157910_OQMD-EnID-323456.poscar,-1.6055,P63/mmc
ID-4797576_OQMD-EnID-347942.poscar,-1.5499,P4/mmm
ID-4070691_OQMD-EnID-20293.poscar,-3.5038,P-3m1
ID-4082883_OQMD-EnID-6309.poscar,-3.5477,I213
ID-4285128_OQMD-EnID-351345.poscar,-2.6159,Pm-3m
ID-4508967_OQMD-EnID-20307.poscar,-3.5202,C2/m
ID-5011836_OQMD-EnID-7282.poscar,-3.5603,Ia-3
ID-5731409_OQMD-EnID-1343701.poscar,-3.427,Pnma
ID-5812949_OQMD-EnID-1442703.poscar,-3.3507,P321
ID-5813203_OQMD-EnID-1444195.poscar,-3.3484,P321
ID-5816251_OQMD-EnID-1442524.poscar,-3.0761,Pn-3m
ID-5912502_OQMD-EnID-1440985.poscar,-3.4036,Fdd2
ID-4883454_OQMD-EnID-356674.poscar,-2.8295,P4/mmm
ID-4509885_OQMD-EnID-336172.poscar,-1.7962,P4/mmm
ID-4791594_OQMD-EnID-304630.poscar,-2.0704,Pm-3m
ID-5491603_OQMD-EnID-1103816.poscar,-2.6818,Fm-3m
ID-5571961_OQMD-EnID-1223671.poscar,-2.5797,F-43m
ID-5575960_OQMD-EnID-1230643.poscar,-2.4329,P-6m2
ID-5577863_OQMD-EnID-1235061.poscar,-2.6802,R-3m
ID-5597459_OQMD-EnID-1239051.poscar,-0.6328,Fd-3m
ID-5961395_OQMD-EnID-1593725.poscar,0.9943,Fd-3m
ID-4120035_OQMD-EnID-302372.poscar,0.3704,I4/mmm
ID-4139991_OQMD-EnID-312914.poscar,0.6881,Fm-3m
ID-4146564_OQMD-EnID-318904.poscar,-0.3783,P63/mmc
ID-4164627_OQMD-EnID-343390.poscar,0.4992,Pm-3m
ID-6005526_OQMD-EnID-1603218.poscar,1.3403,P6/mmm
ID-4788615_OQMD-EnID-13263.poscar,-3.1952,R-3
ID-4065264_OQMD-EnID-5617.poscar,-2.7857,Fm-3m
ID-5577497_OQMD-EnID-1234129.poscar,-2.6169,P42/mnm
ID-5597461_OQMD-EnID-1239052.poscar,-2.2563,Fd-3m
ID-5761484_OQMD-EnID-1373994.poscar,-3.0367,C2/m
ID-5816837_OQMD-EnID-1439747.poscar,-2.7879,Pa-3
ID-5947057_OQMD-EnID-1589777.poscar,-0.6984,Fd-3m
ID-6037010_OQMD-EnID-1739233.poscar,-2.843,P21/c
ID-6040310_OQMD-EnID-1741720.poscar,-2.8155,Immm
ID-4812147_OQMD-EnID-428207.poscar,-1.9721,R-3c
ID-4879065_OQMD-EnID-671097.poscar,-3.0306,P-1
ID-4109007_OQMD-EnID-297831.poscar,-1.5542,I4/mmm
ID-4126776_OQMD-EnID-308362.poscar,-1.6312,Fm-3m
ID-4157910_OQMD-EnID-323456.poscar,-1.6055,P63/mmc
ID-4797576_OQMD-EnID-347942.poscar,-1.5499,P4/mmm
ID-4070691_OQMD-EnID-20293.poscar,-3.5038,P-3m1
ID-4082883_OQMD-EnID-6309.poscar,-3.5477,I213
ID-4285128_OQMD-EnID-351345.poscar,-2.6159,Pm-3m
ID-4508967_OQMD-EnID-20307.poscar,-3.5202,C2/m
ID-5011836_OQMD-EnID-7282.poscar,-3.5603,Ia-3
ID-5731409_OQMD-EnID-1343701.poscar,-3.427,Pnma
ID-5812949_OQMD-EnID-1442703.poscar,-3.3507,P321
ID-5813203_OQMD-EnID-1444195.poscar,-3.3484,P321
ID-5816251_OQMD-EnID-1442524.poscar,-3.0761,Pn-3m
ID-5912502_OQMD-EnID-1440985.poscar,-3.4036,Fdd2
ID-4883454_OQMD-EnID-356674.poscar,-2.8295,P4/mmm
