filename, _oqmd_delta_e, _oqmd_spacegroup 
ID-4096245_OQMD-EnID-12215.poscar,-1.2018,Pa-3
ID-5577490_OQMD-EnID-1234119.poscar,-1.2682,P42/mnm
ID-5731461_OQMD-EnID-1343635.poscar,-1.1487,I4/m
ID-5770728_OQMD-EnID-1416343.poscar,-1.0839,Fm-3m
ID-5811188_OQMD-EnID-1440804.poscar,-0.9614,C2/m
ID-5812591_OQMD-EnID-1439690.poscar,-1.0901,I41/amd
ID-5813509_OQMD-EnID-1442559.poscar,-0.9581,P3m1
ID-5813708_OQMD-EnID-1442802.poscar,-0.7603,Pn-3m
ID-5813722_OQMD-EnID-1443660.poscar,-1.2619,P2/m
ID-5813848_OQMD-EnID-1444271.poscar,-1.0075,Pmm2
ID-5815593_OQMD-EnID-1440700.poscar,-1.1939,C2/m
ID-5815813_OQMD-EnID-1443169.poscar,-0.8263,P3121
ID-5816821_OQMD-EnID-1439688.poscar,-1.0732,C2/m
ID-5816870_OQMD-EnID-1439849.poscar,-1.1658,Pnma
ID-5817030_OQMD-EnID-1441188.poscar,-1.2163,Pbcn
ID-5817068_OQMD-EnID-1441003.poscar,-1.2665,P21/c
ID-5817358_OQMD-EnID-1441672.poscar,-0.9519,P21/m
ID-5817674_OQMD-EnID-1443422.poscar,-0.9668,Fd-3m
ID-5817729_OQMD-EnID-1440315.poscar,-1.2306,P-1
ID-5947007_OQMD-EnID-1589757.poscar,1.21,Fd-3m
ID-4811412_OQMD-EnID-428197.poscar,0.0242,R-3c
ID-4108239_OQMD-EnID-297516.poscar,0.2107,I4/mmm
ID-4125987_OQMD-EnID-308041.poscar,0.2263,Fm-3m
ID-4163022_OQMD-EnID-325485.poscar,0.0855,P63/mmc
ID-4799304_OQMD-EnID-349971.poscar,0.6209,Pm-3m
ID-4857369_OQMD-EnID-690793.poscar,-0.9072,C2/m
ID-4906086_OQMD-EnID-694992.poscar,-0.8388,C2/m
ID-4906089_OQMD-EnID-694991.poscar,-0.9614,C2/c
ID-5122005_OQMD-EnID-825012.poscar,-0.9045,C2
ID-5122365_OQMD-EnID-825045.poscar,-0.8987,P1
ID-5122449_OQMD-EnID-825044.poscar,-0.9016,P1
ID-6006764_OQMD-EnID-1706090.poscar,-0.9485,R-3c
ID-6012197_OQMD-EnID-1713066.poscar,-0.9245,P4/mbm
ID-4307673_OQMD-EnID-354722.poscar,-0.1935,Pm-3m
ID-4838751_OQMD-EnID-678198.poscar,-0.9467,R-3
ID-5842519_OQMD-EnID-1472721.poscar,-0.9507,R-3c
ID-6044730_OQMD-EnID-1744304.poscar,-0.948,C2/m
ID-4092306_OQMD-EnID-26077.poscar,-0.8619,C2/c
ID-5025471_OQMD-EnID-26075.poscar,-0.8668,P-43n
ID-5726312_OQMD-EnID-1338399.poscar,-0.3797,Cm
ID-4900503_OQMD-EnID-694444.poscar,-0.8907,Cm
ID-4901175_OQMD-EnID-694443.poscar,-1.0829,P1
ID-5814368_OQMD-EnID-1444129.poscar,-0.705,C2
ID-5814447_OQMD-EnID-1443327.poscar,-1.0688,C2/m
ID-6058471_OQMD-EnID-1758936.poscar,-1.023,Pccm
ID-4892148_OQMD-EnID-360051.poscar,-0.0616,P4/mmm
ID-5632421_OQMD-EnID-1281363.poscar,-0.988,Fd-3m
ID-5632422_OQMD-EnID-1281379.poscar,-0.9845,Fd-3m
ID-5632423_OQMD-EnID-1281271.poscar,-0.986,Fd-3m
ID-4372977_OQMD-EnID-304480.poscar,0.2211,Pm-3m
ID-4497402_OQMD-EnID-325564.poscar,-0.1658,R-3m
ID-4509471_OQMD-EnID-336022.poscar,0.5554,P4/mmm
ID-5491444_OQMD-EnID-1103666.poscar,0.1535,Fm-3m
ID-5571951_OQMD-EnID-1223661.poscar,-0.2537,F-43m
ID-5575950_OQMD-EnID-1230633.poscar,-0.0478,P-6m2
ID-5770731_OQMD-EnID-1416344.poscar,0.7269,Fm-3m
ID-5955467_OQMD-EnID-1592214.poscar,1.4232,Fd-3m
ID-4125177_OQMD-EnID-304401.poscar,0.566,I4/mmm
ID-4145022_OQMD-EnID-314943.poscar,0.5594,Fm-3m
ID-4145760_OQMD-EnID-318583.poscar,0.4171,P63/mmc
ID-4793598_OQMD-EnID-343069.poscar,0.9143,Pm-3m
ID-6004990_OQMD-EnID-1603199.poscar,1.1378,P6/mmm
ID-4900845_OQMD-EnID-694485.poscar,-0.9307,P1
ID-4900899_OQMD-EnID-694486.poscar,-0.9293,P1
ID-5122437_OQMD-EnID-825101.poscar,-0.8561,P1
ID-5122527_OQMD-EnID-825103.poscar,-0.9531,P1
ID-5122671_OQMD-EnID-825102.poscar,-0.9271,P1
ID-6056845_OQMD-EnID-1753101.poscar,-0.8977,C2/m
ID-4073304_OQMD-EnID-15120.poscar,-1.2652,Pnnm
ID-4076340_OQMD-EnID-2972.poscar,-1.2664,P42/mnm
ID-4096245_OQMD-EnID-12215.poscar,-1.2018,Pa-3
ID-5577490_OQMD-EnID-1234119.poscar,-1.2682,P42/mnm
ID-5731461_OQMD-EnID-1343635.poscar,-1.1487,I4/m
ID-5770728_OQMD-EnID-1416343.poscar,-1.0839,Fm-3m
ID-5811188_OQMD-EnID-1440804.poscar,-0.9614,C2/m
ID-5812591_OQMD-EnID-1439690.poscar,-1.0901,I41/amd
ID-5813509_OQMD-EnID-1442559.poscar,-0.9581,P3m1
ID-5813708_OQMD-EnID-1442802.poscar,-0.7603,Pn-3m
ID-5813722_OQMD-EnID-1443660.poscar,-1.2619,P2/m
ID-5813848_OQMD-EnID-1444271.poscar,-1.0075,Pmm2
ID-5815593_OQMD-EnID-1440700.poscar,-1.1939,C2/m
ID-5815813_OQMD-EnID-1443169.poscar,-0.8263,P3121
ID-5816821_OQMD-EnID-1439688.poscar,-1.0732,C2/m
ID-5816870_OQMD-EnID-1439849.poscar,-1.1658,Pnma
ID-5817030_OQMD-EnID-1441188.poscar,-1.2163,Pbcn
ID-5817068_OQMD-EnID-1441003.poscar,-1.2665,P21/c
ID-5817358_OQMD-EnID-1441672.poscar,-0.9519,P21/m
ID-5817674_OQMD-EnID-1443422.poscar,-0.9668,Fd-3m
ID-5817729_OQMD-EnID-1440315.poscar,-1.2306,P-1
ID-5947007_OQMD-EnID-1589757.poscar,1.21,Fd-3m
ID-4811412_OQMD-EnID-428197.poscar,0.0242,R-3c
ID-4108239_OQMD-EnID-297516.poscar,0.2107,I4/mmm
ID-4125987_OQMD-EnID-308041.poscar,0.2263,Fm-3m
ID-4163022_OQMD-EnID-325485.poscar,0.0855,P63/mmc
ID-4799304_OQMD-EnID-349971.poscar,0.6209,Pm-3m
ID-4857369_OQMD-EnID-690793.poscar,-0.9072,C2/m
ID-4906086_OQMD-EnID-694992.poscar,-0.8388,C2/m
ID-4906089_OQMD-EnID-694991.poscar,-0.9614,C2/c
ID-5122005_OQMD-EnID-825012.poscar,-0.9045,C2
ID-5122365_OQMD-EnID-825045.poscar,-0.8987,P1
ID-5122449_OQMD-EnID-825044.poscar,-0.9016,P1
ID-6006764_OQMD-EnID-1706090.poscar,-0.9485,R-3c
ID-6012197_OQMD-EnID-1713066.poscar,-0.9245,P4/mbm
ID-4307673_OQMD-EnID-354722.poscar,-0.1935,Pm-3m
ID-4838751_OQMD-EnID-678198.poscar,-0.9467,R-3
ID-5842519_OQMD-EnID-1472721.poscar,-0.9507,R-3c
ID-6044730_OQMD-EnID-1744304.poscar,-0.948,C2/m
ID-4092306_OQMD-EnID-26077.poscar,-0.8619,C2/c
ID-5025471_OQMD-EnID-26075.poscar,-0.8668,P-43n
ID-5726312_OQMD-EnID-1338399.poscar,-0.3797,Cm
ID-4900503_OQMD-EnID-694444.poscar,-0.8907,Cm
ID-4901175_OQMD-EnID-694443.poscar,-1.0829,P1
ID-5814368_OQMD-EnID-1444129.poscar,-0.705,C2
ID-5814447_OQMD-EnID-1443327.poscar,-1.0688,C2/m
ID-6058471_OQMD-EnID-1758936.poscar,-1.023,Pccm
ID-4892148_OQMD-EnID-360051.poscar,-0.0616,P4/mmm
ID-5632421_OQMD-EnID-1281363.poscar,-0.988,Fd-3m
ID-5632422_OQMD-EnID-1281379.poscar,-0.9845,Fd-3m
ID-5632423_OQMD-EnID-1281271.poscar,-0.986,Fd-3m
ID-4372977_OQMD-EnID-304480.poscar,0.2211,Pm-3m
ID-4497402_OQMD-EnID-325564.poscar,-0.1658,R-3m
ID-4509471_OQMD-EnID-336022.poscar,0.5554,P4/mmm
ID-5491444_OQMD-EnID-1103666.poscar,0.1535,Fm-3m
ID-5571951_OQMD-EnID-1223661.poscar,-0.2537,F-43m
ID-5575950_OQMD-EnID-1230633.poscar,-0.0478,P-6m2
ID-5770731_OQMD-EnID-1416344.poscar,0.7269,Fm-3m
ID-5955467_OQMD-EnID-1592214.poscar,1.4232,Fd-3m
ID-4125177_OQMD-EnID-304401.poscar,0.566,I4/mmm
ID-4145022_OQMD-EnID-314943.poscar,0.5594,Fm-3m
ID-4145760_OQMD-EnID-318583.poscar,0.4171,P63/mmc
ID-4793598_OQMD-EnID-343069.poscar,0.9143,Pm-3m
ID-6004990_OQMD-EnID-1603199.poscar,1.1378,P6/mmm
ID-4900845_OQMD-EnID-694485.poscar,-0.9307,P1
ID-4900899_OQMD-EnID-694486.poscar,-0.9293,P1
ID-5122437_OQMD-EnID-825101.poscar,-0.8561,P1
ID-5122527_OQMD-EnID-825103.poscar,-0.9531,P1
ID-5122671_OQMD-EnID-825102.poscar,-0.9271,P1
ID-6056845_OQMD-EnID-1753101.poscar,-0.8977,C2/m
ID-4073304_OQMD-EnID-15120.poscar,-1.2652,Pnnm
ID-4076340_OQMD-EnID-2972.poscar,-1.2664,P42/mnm
ID-4096245_OQMD-EnID-12215.poscar,-1.2018,Pa-3
ID-5577490_OQMD-EnID-1234119.poscar,-1.2682,P42/mnm
ID-5731461_OQMD-EnID-1343635.poscar,-1.1487,I4/m
ID-5770728_OQMD-EnID-1416343.poscar,-1.0839,Fm-3m
ID-5811188_OQMD-EnID-1440804.poscar,-0.9614,C2/m
ID-5812591_OQMD-EnID-1439690.poscar,-1.0901,I41/amd
ID-5813509_OQMD-EnID-1442559.poscar,-0.9581,P3m1
ID-5813708_OQMD-EnID-1442802.poscar,-0.7603,Pn-3m
ID-5813722_OQMD-EnID-1443660.poscar,-1.2619,P2/m
ID-5813848_OQMD-EnID-1444271.poscar,-1.0075,Pmm2
ID-5815593_OQMD-EnID-1440700.poscar,-1.1939,C2/m
ID-5815813_OQMD-EnID-1443169.poscar,-0.8263,P3121
ID-5816821_OQMD-EnID-1439688.poscar,-1.0732,C2/m
ID-5816870_OQMD-EnID-1439849.poscar,-1.1658,Pnma
ID-5817030_OQMD-EnID-1441188.poscar,-1.2163,Pbcn
ID-5817068_OQMD-EnID-1441003.poscar,-1.2665,P21/c
ID-5817358_OQMD-EnID-1441672.poscar,-0.9519,P21/m
ID-5817674_OQMD-EnID-1443422.poscar,-0.9668,Fd-3m
ID-5817729_OQMD-EnID-1440315.poscar,-1.2306,P-1
ID-5947007_OQMD-EnID-1589757.poscar,1.21,Fd-3m
ID-4811412_OQMD-EnID-428197.poscar,0.0242,R-3c
ID-4108239_OQMD-EnID-297516.poscar,0.2107,I4/mmm
ID-4125987_OQMD-EnID-308041.poscar,0.2263,Fm-3m
ID-4163022_OQMD-EnID-325485.poscar,0.0855,P63/mmc
ID-4799304_OQMD-EnID-349971.poscar,0.6209,Pm-3m
ID-4857369_OQMD-EnID-690793.poscar,-0.9072,C2/m
ID-4906086_OQMD-EnID-694992.poscar,-0.8388,C2/m
ID-4906089_OQMD-EnID-694991.poscar,-0.9614,C2/c
ID-5122005_OQMD-EnID-825012.poscar,-0.9045,C2
ID-5122365_OQMD-EnID-825045.poscar,-0.8987,P1
ID-5122449_OQMD-EnID-825044.poscar,-0.9016,P1
ID-6006764_OQMD-EnID-1706090.poscar,-0.9485,R-3c
ID-6012197_OQMD-EnID-1713066.poscar,-0.9245,P4/mbm
ID-4307673_OQMD-EnID-354722.poscar,-0.1935,Pm-3m
ID-4838751_OQMD-EnID-678198.poscar,-0.9467,R-3
ID-5842519_OQMD-EnID-1472721.poscar,-0.9507,R-3c
ID-6044730_OQMD-EnID-1744304.poscar,-0.948,C2/m
ID-4092306_OQMD-EnID-26077.poscar,-0.8619,C2/c
ID-5025471_OQMD-EnID-26075.poscar,-0.8668,P-43n
ID-5726312_OQMD-EnID-1338399.poscar,-0.3797,Cm
ID-4900503_OQMD-EnID-694444.poscar,-0.8907,Cm
ID-4901175_OQMD-EnID-694443.poscar,-1.0829,P1
ID-5814368_OQMD-EnID-1444129.poscar,-0.705,C2
ID-5814447_OQMD-EnID-1443327.poscar,-1.0688,C2/m
ID-6058471_OQMD-EnID-1758936.poscar,-1.023,Pccm
ID-4892148_OQMD-EnID-360051.poscar,-0.0616,P4/mmm
ID-5632421_OQMD-EnID-1281363.poscar,-0.988,Fd-3m
ID-5632422_OQMD-EnID-1281379.poscar,-0.9845,Fd-3m
ID-5632423_OQMD-EnID-1281271.poscar,-0.986,Fd-3m
ID-4372977_OQMD-EnID-304480.poscar,0.2211,Pm-3m
ID-4497402_OQMD-EnID-325564.poscar,-0.1658,R-3m
ID-4509471_OQMD-EnID-336022.poscar,0.5554,P4/mmm
ID-5491444_OQMD-EnID-1103666.poscar,0.1535,Fm-3m
ID-5571951_OQMD-EnID-1223661.poscar,-0.2537,F-43m
ID-5575950_OQMD-EnID-1230633.poscar,-0.0478,P-6m2
ID-5770731_OQMD-EnID-1416344.poscar,0.7269,Fm-3m
ID-5955467_OQMD-EnID-1592214.poscar,1.4232,Fd-3m
ID-4125177_OQMD-EnID-304401.poscar,0.566,I4/mmm
ID-4145022_OQMD-EnID-314943.poscar,0.5594,Fm-3m
ID-4145760_OQMD-EnID-318583.poscar,0.4171,P63/mmc
ID-4793598_OQMD-EnID-343069.poscar,0.9143,Pm-3m
ID-6004990_OQMD-EnID-1603199.poscar,1.1378,P6/mmm
ID-4900845_OQMD-EnID-694485.poscar,-0.9307,P1
ID-4900899_OQMD-EnID-694486.poscar,-0.9293,P1
ID-5122437_OQMD-EnID-825101.poscar,-0.8561,P1
ID-5122527_OQMD-EnID-825103.poscar,-0.9531,P1
ID-5122671_OQMD-EnID-825102.poscar,-0.9271,P1
ID-6056845_OQMD-EnID-1753101.poscar,-0.8977,C2/m
ID-4073304_OQMD-EnID-15120.poscar,-1.2652,Pnnm
ID-4076340_OQMD-EnID-2972.poscar,-1.2664,P42/mnm
ID-4096245_OQMD-EnID-12215.poscar,-1.2018,Pa-3
ID-5577490_OQMD-EnID-1234119.poscar,-1.2682,P42/mnm
ID-5731461_OQMD-EnID-1343635.poscar,-1.1487,I4/m
ID-5770728_OQMD-EnID-1416343.poscar,-1.0839,Fm-3m
ID-5811188_OQMD-EnID-1440804.poscar,-0.9614,C2/m
ID-5812591_OQMD-EnID-1439690.poscar,-1.0901,I41/amd
ID-5813509_OQMD-EnID-1442559.poscar,-0.9581,P3m1
ID-5813708_OQMD-EnID-1442802.poscar,-0.7603,Pn-3m
ID-5813722_OQMD-EnID-1443660.poscar,-1.2619,P2/m
ID-5813848_OQMD-EnID-1444271.poscar,-1.0075,Pmm2
ID-5815593_OQMD-EnID-1440700.poscar,-1.1939,C2/m
ID-5815813_OQMD-EnID-1443169.poscar,-0.8263,P3121
ID-5816821_OQMD-EnID-1439688.poscar,-1.0732,C2/m
ID-5816870_OQMD-EnID-1439849.poscar,-1.1658,Pnma
ID-5817030_OQMD-EnID-1441188.poscar,-1.2163,Pbcn
ID-5817068_OQMD-EnID-1441003.poscar,-1.2665,P21/c
ID-5817358_OQMD-EnID-1441672.poscar,-0.9519,P21/m
ID-5817674_OQMD-EnID-1443422.poscar,-0.9668,Fd-3m
ID-5817729_OQMD-EnID-1440315.poscar,-1.2306,P-1
ID-5947007_OQMD-EnID-1589757.poscar,1.21,Fd-3m
ID-4811412_OQMD-EnID-428197.poscar,0.0242,R-3c
ID-4108239_OQMD-EnID-297516.poscar,0.2107,I4/mmm
ID-4125987_OQMD-EnID-308041.poscar,0.2263,Fm-3m
ID-4163022_OQMD-EnID-325485.poscar,0.0855,P63/mmc
ID-4799304_OQMD-EnID-349971.poscar,0.6209,Pm-3m
ID-4857369_OQMD-EnID-690793.poscar,-0.9072,C2/m
ID-4906086_OQMD-EnID-694992.poscar,-0.8388,C2/m
ID-4906089_OQMD-EnID-694991.poscar,-0.9614,C2/c
ID-5122005_OQMD-EnID-825012.poscar,-0.9045,C2
ID-5122365_OQMD-EnID-825045.poscar,-0.8987,P1
ID-5122449_OQMD-EnID-825044.poscar,-0.9016,P1
ID-6006764_OQMD-EnID-1706090.poscar,-0.9485,R-3c
ID-6012197_OQMD-EnID-1713066.poscar,-0.9245,P4/mbm
ID-4307673_OQMD-EnID-354722.poscar,-0.1935,Pm-3m
ID-4838751_OQMD-EnID-678198.poscar,-0.9467,R-3
ID-5842519_OQMD-EnID-1472721.poscar,-0.9507,R-3c
ID-6044730_OQMD-EnID-1744304.poscar,-0.948,C2/m
ID-4092306_OQMD-EnID-26077.poscar,-0.8619,C2/c
ID-5025471_OQMD-EnID-26075.poscar,-0.8668,P-43n
ID-5726312_OQMD-EnID-1338399.poscar,-0.3797,Cm
ID-4900503_OQMD-EnID-694444.poscar,-0.8907,Cm
ID-4901175_OQMD-EnID-694443.poscar,-1.0829,P1
ID-5814368_OQMD-EnID-1444129.poscar,-0.705,C2
ID-5814447_OQMD-EnID-1443327.poscar,-1.0688,C2/m
ID-6058471_OQMD-EnID-1758936.poscar,-1.023,Pccm
ID-4892148_OQMD-EnID-360051.poscar,-0.0616,P4/mmm
ID-5632421_OQMD-EnID-1281363.poscar,-0.988,Fd-3m
ID-5632422_OQMD-EnID-1281379.poscar,-0.9845,Fd-3m
ID-5632423_OQMD-EnID-1281271.poscar,-0.986,Fd-3m
