filename, _oqmd_delta_e, _oqmd_spacegroup 
ID-4133484_OQMD-EnID-310777.poscar,0.472,Fm-3m
ID-4162407_OQMD-EnID-325247.poscar,0.4588,P63/mmc
ID-4175946_OQMD-EnID-349733.poscar,0.5153,Pm-3m
ID-5726044_OQMD-EnID-1338382.poscar,-0.0743,Cm
ID-5732110_OQMD-EnID-1343148.poscar,-0.349,P-1
ID-5758706_OQMD-EnID-1376973.poscar,-0.4256,P2/m
ID-5576875_OQMD-EnID-1232251.poscar,-0.5253,P42/mnm
ID-5597889_OQMD-EnID-1239577.poscar,-0.2425,Fd-3m
ID-5956706_OQMD-EnID-1592514.poscar,0.3056,Fd-3m
ID-4277658_OQMD-EnID-350802.poscar,-0.3008,Pm-3m
ID-5232024_OQMD-EnID-426329.poscar,-0.7142,R-3c
ID-5628192_OQMD-EnID-1276751.poscar,-0.6792,Pnma
ID-4124571_OQMD-EnID-304163.poscar,-0.0805,I4/mmm
ID-4144425_OQMD-EnID-314705.poscar,0.045,Fm-3m
ID-4152636_OQMD-EnID-321319.poscar,-0.0278,P63/mmc
ID-4168887_OQMD-EnID-345805.poscar,-0.0386,Pm-3m
ID-4880802_OQMD-EnID-356131.poscar,-0.6332,P4/mmm
ID-5632275_OQMD-EnID-1281160.poscar,-0.4662,Fd-3m
ID-6005168_OQMD-EnID-1603203.poscar,0.2928,P6/mmm
ID-4062780_OQMD-EnID-4707.poscar,-1.2362,Fm-3m
ID-4066488_OQMD-EnID-20482.poscar,-1.226,P63mc
ID-4488294_OQMD-EnID-307773.poscar,-0.843,Pm-3m
ID-4508253_OQMD-EnID-328857.poscar,-1.235,R-3m
ID-4518474_OQMD-EnID-339315.poscar,-0.563,P4/mmm
ID-5494732_OQMD-EnID-1106958.poscar,-1.2396,Fm-3m
ID-5570106_OQMD-EnID-1219086.poscar,-1.2206,F-43m
ID-5574159_OQMD-EnID-1228765.poscar,-1.0859,P-6m2
ID-5629138_OQMD-EnID-1277580.poscar,-1.2143,I-42d
ID-5731755_OQMD-EnID-1343384.poscar,-0.9334,P4/nmm
ID-5731762_OQMD-EnID-1343958.poscar,-1.0236,Cmcm
ID-5731769_OQMD-EnID-1343411.poscar,-1.0372,P42/mmc
ID-5731876_OQMD-EnID-1343558.poscar,-1.2392,P3121
ID-5731923_OQMD-EnID-1343408.poscar,-1.2392,Pnma
ID-5811495_OQMD-EnID-1442024.poscar,-1.2382,Immm
ID-5811512_OQMD-EnID-1443175.poscar,-1.2357,I4/mmm
ID-5811981_OQMD-EnID-1444342.poscar,-1.2369,C2/m
ID-5811984_OQMD-EnID-1444445.poscar,-1.2369,P-1
ID-5812261_OQMD-EnID-1441943.poscar,-1.2309,C2/c
ID-5812262_OQMD-EnID-1442011.poscar,-1.2376,C2/m
ID-5812453_OQMD-EnID-1442283.poscar,-1.2392,Pmmn
ID-5812742_OQMD-EnID-1443824.poscar,-1.2338,P63/mmc
ID-5813801_OQMD-EnID-1443481.poscar,-1.2397,P3221
ID-5815187_OQMD-EnID-1441813.poscar,-1.2393,Pbcm
ID-5815269_OQMD-EnID-1443089.poscar,-1.2166,Pca21
ID-5815281_OQMD-EnID-1443344.poscar,-0.9638,Cmc21
ID-5815428_OQMD-EnID-1444125.poscar,0.312,Fd-3m
ID-5816696_OQMD-EnID-1443147.poscar,-1.2363,C2/m
ID-5817857_OQMD-EnID-1443991.poscar,-1.1744,Pm-3n
ID-5837045_OQMD-EnID-1474278.poscar,-1.2395,R3m
ID-5840273_OQMD-EnID-1473397.poscar,-1.1321,R3m
ID-4095453_OQMD-EnID-6693.poscar,-0.8133,Pa-3
ID-5597888_OQMD-EnID-1239576.poscar,0.232,Fd-3m
ID-5947019_OQMD-EnID-1589761.poscar,0.4209,Fd-3m
ID-4114752_OQMD-EnID-300235.poscar,0.3506,I4/mmm
ID-4133484_OQMD-EnID-310777.poscar,0.472,Fm-3m
ID-4162407_OQMD-EnID-325247.poscar,0.4588,P63/mmc
ID-4175946_OQMD-EnID-349733.poscar,0.5153,Pm-3m
ID-5726044_OQMD-EnID-1338382.poscar,-0.0743,Cm
ID-5732110_OQMD-EnID-1343148.poscar,-0.349,P-1
ID-5758706_OQMD-EnID-1376973.poscar,-0.4256,P2/m
ID-5576875_OQMD-EnID-1232251.poscar,-0.5253,P42/mnm
ID-5597889_OQMD-EnID-1239577.poscar,-0.2425,Fd-3m
ID-5956706_OQMD-EnID-1592514.poscar,0.3056,Fd-3m
ID-4277658_OQMD-EnID-350802.poscar,-0.3008,Pm-3m
ID-5232024_OQMD-EnID-426329.poscar,-0.7142,R-3c
ID-5628192_OQMD-EnID-1276751.poscar,-0.6792,Pnma
ID-4124571_OQMD-EnID-304163.poscar,-0.0805,I4/mmm
ID-4144425_OQMD-EnID-314705.poscar,0.045,Fm-3m
ID-4152636_OQMD-EnID-321319.poscar,-0.0278,P63/mmc
ID-4168887_OQMD-EnID-345805.poscar,-0.0386,Pm-3m
ID-4880802_OQMD-EnID-356131.poscar,-0.6332,P4/mmm
ID-5632275_OQMD-EnID-1281160.poscar,-0.4662,Fd-3m
ID-6005168_OQMD-EnID-1603203.poscar,0.2928,P6/mmm
ID-4062780_OQMD-EnID-4707.poscar,-1.2362,Fm-3m
ID-4066488_OQMD-EnID-20482.poscar,-1.226,P63mc
ID-4488294_OQMD-EnID-307773.poscar,-0.843,Pm-3m
ID-4508253_OQMD-EnID-328857.poscar,-1.235,R-3m
ID-4518474_OQMD-EnID-339315.poscar,-0.563,P4/mmm
ID-5494732_OQMD-EnID-1106958.poscar,-1.2396,Fm-3m
ID-5570106_OQMD-EnID-1219086.poscar,-1.2206,F-43m
ID-5574159_OQMD-EnID-1228765.poscar,-1.0859,P-6m2
ID-5629138_OQMD-EnID-1277580.poscar,-1.2143,I-42d
ID-5731755_OQMD-EnID-1343384.poscar,-0.9334,P4/nmm
ID-5731762_OQMD-EnID-1343958.poscar,-1.0236,Cmcm
ID-5731769_OQMD-EnID-1343411.poscar,-1.0372,P42/mmc
ID-5731876_OQMD-EnID-1343558.poscar,-1.2392,P3121
ID-5731923_OQMD-EnID-1343408.poscar,-1.2392,Pnma
ID-5811495_OQMD-EnID-1442024.poscar,-1.2382,Immm
ID-5811512_OQMD-EnID-1443175.poscar,-1.2357,I4/mmm
ID-5811981_OQMD-EnID-1444342.poscar,-1.2369,C2/m
ID-5811984_OQMD-EnID-1444445.poscar,-1.2369,P-1
ID-5812261_OQMD-EnID-1441943.poscar,-1.2309,C2/c
ID-5812262_OQMD-EnID-1442011.poscar,-1.2376,C2/m
ID-5812453_OQMD-EnID-1442283.poscar,-1.2392,Pmmn
ID-5812742_OQMD-EnID-1443824.poscar,-1.2338,P63/mmc
ID-5813801_OQMD-EnID-1443481.poscar,-1.2397,P3221
ID-5815187_OQMD-EnID-1441813.poscar,-1.2393,Pbcm
ID-5815269_OQMD-EnID-1443089.poscar,-1.2166,Pca21
ID-5815281_OQMD-EnID-1443344.poscar,-0.9638,Cmc21
ID-5815428_OQMD-EnID-1444125.poscar,0.312,Fd-3m
ID-5816696_OQMD-EnID-1443147.poscar,-1.2363,C2/m
ID-5817857_OQMD-EnID-1443991.poscar,-1.1744,Pm-3n
ID-5837045_OQMD-EnID-1474278.poscar,-1.2395,R3m
ID-5840273_OQMD-EnID-1473397.poscar,-1.1321,R3m
ID-4095453_OQMD-EnID-6693.poscar,-0.8133,Pa-3
ID-5597888_OQMD-EnID-1239576.poscar,0.232,Fd-3m
ID-5947019_OQMD-EnID-1589761.poscar,0.4209,Fd-3m
ID-4114752_OQMD-EnID-300235.poscar,0.3506,I4/mmm
ID-4133484_OQMD-EnID-310777.poscar,0.472,Fm-3m
ID-4162407_OQMD-EnID-325247.poscar,0.4588,P63/mmc
ID-4175946_OQMD-EnID-349733.poscar,0.5153,Pm-3m
ID-5726044_OQMD-EnID-1338382.poscar,-0.0743,Cm
ID-5732110_OQMD-EnID-1343148.poscar,-0.349,P-1
ID-5758706_OQMD-EnID-1376973.poscar,-0.4256,P2/m
ID-5576875_OQMD-EnID-1232251.poscar,-0.5253,P42/mnm
ID-5597889_OQMD-EnID-1239577.poscar,-0.2425,Fd-3m
ID-5956706_OQMD-EnID-1592514.poscar,0.3056,Fd-3m
ID-4277658_OQMD-EnID-350802.poscar,-0.3008,Pm-3m
ID-5232024_OQMD-EnID-426329.poscar,-0.7142,R-3c
ID-5628192_OQMD-EnID-1276751.poscar,-0.6792,Pnma
ID-4124571_OQMD-EnID-304163.poscar,-0.0805,I4/mmm
ID-4144425_OQMD-EnID-314705.poscar,0.045,Fm-3m
ID-4152636_OQMD-EnID-321319.poscar,-0.0278,P63/mmc
ID-4168887_OQMD-EnID-345805.poscar,-0.0386,Pm-3m
ID-4880802_OQMD-EnID-356131.poscar,-0.6332,P4/mmm
ID-5632275_OQMD-EnID-1281160.poscar,-0.4662,Fd-3m
ID-6005168_OQMD-EnID-1603203.poscar,0.2928,P6/mmm
ID-4062780_OQMD-EnID-4707.poscar,-1.2362,Fm-3m
ID-4066488_OQMD-EnID-20482.poscar,-1.226,P63mc
ID-4488294_OQMD-EnID-307773.poscar,-0.843,Pm-3m
ID-4508253_OQMD-EnID-328857.poscar,-1.235,R-3m
ID-4518474_OQMD-EnID-339315.poscar,-0.563,P4/mmm
ID-5494732_OQMD-EnID-1106958.poscar,-1.2396,Fm-3m
ID-5570106_OQMD-EnID-1219086.poscar,-1.2206,F-43m
ID-5574159_OQMD-EnID-1228765.poscar,-1.0859,P-6m2
ID-5629138_OQMD-EnID-1277580.poscar,-1.2143,I-42d
ID-5731755_OQMD-EnID-1343384.poscar,-0.9334,P4/nmm
ID-5731762_OQMD-EnID-1343958.poscar,-1.0236,Cmcm
ID-5731769_OQMD-EnID-1343411.poscar,-1.0372,P42/mmc
ID-5731876_OQMD-EnID-1343558.poscar,-1.2392,P3121
ID-5731923_OQMD-EnID-1343408.poscar,-1.2392,Pnma
ID-5811495_OQMD-EnID-1442024.poscar,-1.2382,Immm
ID-5811512_OQMD-EnID-1443175.poscar,-1.2357,I4/mmm
ID-5811981_OQMD-EnID-1444342.poscar,-1.2369,C2/m
ID-5811984_OQMD-EnID-1444445.poscar,-1.2369,P-1
ID-5812261_OQMD-EnID-1441943.poscar,-1.2309,C2/c
ID-5812262_OQMD-EnID-1442011.poscar,-1.2376,C2/m
ID-5812453_OQMD-EnID-1442283.poscar,-1.2392,Pmmn
ID-5812742_OQMD-EnID-1443824.poscar,-1.2338,P63/mmc
ID-5813801_OQMD-EnID-1443481.poscar,-1.2397,P3221
ID-5815187_OQMD-EnID-1441813.poscar,-1.2393,Pbcm
ID-5815269_OQMD-EnID-1443089.poscar,-1.2166,Pca21
ID-5815281_OQMD-EnID-1443344.poscar,-0.9638,Cmc21
ID-5815428_OQMD-EnID-1444125.poscar,0.312,Fd-3m
ID-5816696_OQMD-EnID-1443147.poscar,-1.2363,C2/m
ID-5817857_OQMD-EnID-1443991.poscar,-1.1744,Pm-3n
ID-5837045_OQMD-EnID-1474278.poscar,-1.2395,R3m
ID-5840273_OQMD-EnID-1473397.poscar,-1.1321,R3m
ID-4095453_OQMD-EnID-6693.poscar,-0.8133,Pa-3
ID-5597888_OQMD-EnID-1239576.poscar,0.232,Fd-3m
ID-5947019_OQMD-EnID-1589761.poscar,0.4209,Fd-3m
ID-4114752_OQMD-EnID-300235.poscar,0.3506,I4/mmm
ID-4133484_OQMD-EnID-310777.poscar,0.472,Fm-3m
ID-4162407_OQMD-EnID-325247.poscar,0.4588,P63/mmc
ID-4175946_OQMD-EnID-349733.poscar,0.5153,Pm-3m
ID-5726044_OQMD-EnID-1338382.poscar,-0.0743,Cm
ID-5732110_OQMD-EnID-1343148.poscar,-0.349,P-1
ID-5758706_OQMD-EnID-1376973.poscar,-0.4256,P2/m
ID-5576875_OQMD-EnID-1232251.poscar,-0.5253,P42/mnm
ID-5597889_OQMD-EnID-1239577.poscar,-0.2425,Fd-3m
ID-5956706_OQMD-EnID-1592514.poscar,0.3056,Fd-3m
ID-4277658_OQMD-EnID-350802.poscar,-0.3008,Pm-3m
ID-5232024_OQMD-EnID-426329.poscar,-0.7142,R-3c
ID-5628192_OQMD-EnID-1276751.poscar,-0.6792,Pnma
ID-4124571_OQMD-EnID-304163.poscar,-0.0805,I4/mmm
ID-4144425_OQMD-EnID-314705.poscar,0.045,Fm-3m
ID-4152636_OQMD-EnID-321319.poscar,-0.0278,P63/mmc
ID-4168887_OQMD-EnID-345805.poscar,-0.0386,Pm-3m
ID-4880802_OQMD-EnID-356131.poscar,-0.6332,P4/mmm
ID-5632275_OQMD-EnID-1281160.poscar,-0.4662,Fd-3m
ID-6005168_OQMD-EnID-1603203.poscar,0.2928,P6/mmm
