filename, _oqmd_delta_e, _oqmd_spacegroup 
ID-4499589_OQMD-EnID-326438.poscar,-0.1942,R-3m
ID-4511871_OQMD-EnID-336896.poscar,0.5059,P4/mmm
ID-5492320_OQMD-EnID-1104539.poscar,-0.204,Fm-3m
ID-5571943_OQMD-EnID-1223653.poscar,-0.0527,F-43m
ID-5575942_OQMD-EnID-1230625.poscar,-0.0217,P-6m2
ID-5731100_OQMD-EnID-1343202.poscar,-0.5976,P42/m
ID-5731145_OQMD-EnID-1343501.poscar,-0.5977,P42/m
ID-5731741_OQMD-EnID-1343848.poscar,-0.6306,P-1
ID-5731824_OQMD-EnID-1343394.poscar,-0.1822,Cmcm
ID-5815280_OQMD-EnID-1443264.poscar,-0.6348,P21/c
ID-5816360_OQMD-EnID-1443145.poscar,-0.2914,C2/m
ID-5837111_OQMD-EnID-1472901.poscar,-0.0896,Pmmn
ID-5837574_OQMD-EnID-1473352.poscar,-0.1841,P4/nmm
ID-5839804_OQMD-EnID-1474158.poscar,-0.1723,R3m
ID-6047341_OQMD-EnID-1753351.poscar,-0.2505,Cmca
ID-4076412_OQMD-EnID-13990.poscar,-0.2938,Pn-3m
ID-5610247_OQMD-EnID-1241562.poscar,0.1286,Fd-3m
ID-5956059_OQMD-EnID-1592362.poscar,1.0417,Fd-3m
ID-4123536_OQMD-EnID-303773.poscar,0.4396,I4/mmm
ID-4143435_OQMD-EnID-314315.poscar,0.3851,Fm-3m
ID-4150290_OQMD-EnID-320416.poscar,0.2232,Pm
ID-4167240_OQMD-EnID-344902.poscar,0.4711,Pm-3m
ID-6005166_OQMD-EnID-1603201.poscar,0.6866,P6/mmm
ID-4900560_OQMD-EnID-694477.poscar,-0.3084,P1
ID-4900599_OQMD-EnID-694478.poscar,-0.3055,P1
ID-5122071_OQMD-EnID-825089.poscar,-0.272,P1
ID-5122089_OQMD-EnID-825090.poscar,-0.2931,P1
ID-5122251_OQMD-EnID-825091.poscar,-0.3215,P1
ID-5577482_OQMD-EnID-1234111.poscar,-0.5421,P42/mnm
ID-5610269_OQMD-EnID-1241563.poscar,0.0032,Fd-3m
ID-5632078_OQMD-EnID-1280951.poscar,-0.252,Pa-3
ID-5731069_OQMD-EnID-1343363.poscar,-0.578,P21/c
ID-5731270_OQMD-EnID-1343253.poscar,-0.3696,Pbca
ID-5731274_OQMD-EnID-1343503.poscar,-0.5498,Pbcn
ID-5731325_OQMD-EnID-1344049.poscar,-0.5966,C2/m
ID-5744670_OQMD-EnID-1361061.poscar,0.0671,Fm-3m
ID-5745874_OQMD-EnID-1361129.poscar,0.0144,R-3m
ID-5763757_OQMD-EnID-1375928.poscar,-0.6009,P63mc
ID-5811489_OQMD-EnID-1440173.poscar,-0.578,P-3m1
ID-5811790_OQMD-EnID-1441341.poscar,0.2956,I4/mmm
ID-5811830_OQMD-EnID-1444251.poscar,-0.0869,P2/m
ID-5812012_OQMD-EnID-1443932.poscar,-0.1299,Cmmm
ID-5813025_OQMD-EnID-1439711.poscar,-0.5883,Pnnm
ID-5813418_OQMD-EnID-1441152.poscar,0.391,P4/nmm
ID-5813511_OQMD-EnID-1442563.poscar,-0.5894,P3m1
ID-5813514_OQMD-EnID-1442052.poscar,0.143,Cmcm
ID-5813522_OQMD-EnID-1442806.poscar,0.0226,Pn-3m
ID-5813557_OQMD-EnID-1441829.poscar,0.1751,P63/mmc
ID-5813753_OQMD-EnID-1443192.poscar,0.0959,Cmcm
ID-5816875_OQMD-EnID-1439858.poscar,-0.5838,Pnma
ID-5817177_OQMD-EnID-1441461.poscar,-0.5013,P1
ID-5817199_OQMD-EnID-1440296.poscar,-0.6004,P-1
ID-5817289_OQMD-EnID-1441614.poscar,-0.554,P212121
ID-5817304_OQMD-EnID-1441638.poscar,-0.5485,P41212
ID-5817417_OQMD-EnID-1441669.poscar,-0.4397,P21/m
ID-5817922_OQMD-EnID-1444378.poscar,-0.5746,I4/m
ID-5947010_OQMD-EnID-1589759.poscar,1.1867,Fd-3m
ID-4812534_OQMD-EnID-428189.poscar,-0.3676,R-3c
ID-4112556_OQMD-EnID-299332.poscar,0.6812,I4/mmm
ID-4131060_OQMD-EnID-309874.poscar,0.7177,Fm-3m
ID-4161408_OQMD-EnID-324857.poscar,0.6086,P63/mmc
ID-4798716_OQMD-EnID-349343.poscar,0.9616,Pm-3m
ID-4857573_OQMD-EnID-690790.poscar,-0.3165,C2/m
ID-4905849_OQMD-EnID-694986.poscar,-0.0398,C2
ID-4905891_OQMD-EnID-694985.poscar,-0.2012,C2
ID-5121978_OQMD-EnID-825008.poscar,-0.3234,C2
ID-5122035_OQMD-EnID-825036.poscar,-0.2159,P1
ID-5122041_OQMD-EnID-825037.poscar,-0.1962,P1
ID-4294329_OQMD-EnID-353254.poscar,0.2067,Pm-3m
ID-5511188_OQMD-EnID-1110209.poscar,-0.6273,P1
ID-5800380_OQMD-EnID-1373937.poscar,-0.6444,Cmmm
ID-5815359_OQMD-EnID-1444569.poscar,-0.6413,Cmmm
ID-6035887_OQMD-EnID-1739257.poscar,-0.49,Pm
ID-6035894_OQMD-EnID-1739272.poscar,-0.5308,C2/c
ID-6041250_OQMD-EnID-1741062.poscar,-0.4754,C2/m
ID-5728840_OQMD-EnID-1338395.poscar,-0.1497,C2/m
ID-5736407_OQMD-EnID-1343162.poscar,-0.3845,P2/c
ID-5801782_OQMD-EnID-1376430.poscar,-0.344,P1
ID-4900383_OQMD-EnID-694436.poscar,-0.272,Cm
ID-4900494_OQMD-EnID-694435.poscar,-0.3114,P1
ID-4887756_OQMD-EnID-358583.poscar,-0.0509,P4/mmm
ID-4062345_OQMD-EnID-5611.poscar,0.1629,P4/mmm
ID-4062927_OQMD-EnID-7540.poscar,-0.196,I4/mmm
ID-4064544_OQMD-EnID-13989.poscar,-0.2038,Fm-3m
ID-4067757_OQMD-EnID-4684.poscar,-0.6494,P42/mmc
ID-4384482_OQMD-EnID-305354.poscar,0.1629,Pm-3m
ID-4499589_OQMD-EnID-326438.poscar,-0.1942,R-3m
ID-4511871_OQMD-EnID-336896.poscar,0.5059,P4/mmm
ID-5492320_OQMD-EnID-1104539.poscar,-0.204,Fm-3m
ID-5571943_OQMD-EnID-1223653.poscar,-0.0527,F-43m
ID-5575942_OQMD-EnID-1230625.poscar,-0.0217,P-6m2
ID-5731100_OQMD-EnID-1343202.poscar,-0.5976,P42/m
ID-5731145_OQMD-EnID-1343501.poscar,-0.5977,P42/m
ID-5731741_OQMD-EnID-1343848.poscar,-0.6306,P-1
ID-5731824_OQMD-EnID-1343394.poscar,-0.1822,Cmcm
ID-5815280_OQMD-EnID-1443264.poscar,-0.6348,P21/c
ID-5816360_OQMD-EnID-1443145.poscar,-0.2914,C2/m
ID-5837111_OQMD-EnID-1472901.poscar,-0.0896,Pmmn
ID-5837574_OQMD-EnID-1473352.poscar,-0.1841,P4/nmm
ID-5839804_OQMD-EnID-1474158.poscar,-0.1723,R3m
ID-6047341_OQMD-EnID-1753351.poscar,-0.2505,Cmca
ID-4076412_OQMD-EnID-13990.poscar,-0.2938,Pn-3m
ID-5610247_OQMD-EnID-1241562.poscar,0.1286,Fd-3m
ID-5956059_OQMD-EnID-1592362.poscar,1.0417,Fd-3m
ID-4123536_OQMD-EnID-303773.poscar,0.4396,I4/mmm
ID-4143435_OQMD-EnID-314315.poscar,0.3851,Fm-3m
ID-4150290_OQMD-EnID-320416.poscar,0.2232,Pm
ID-4167240_OQMD-EnID-344902.poscar,0.4711,Pm-3m
ID-6005166_OQMD-EnID-1603201.poscar,0.6866,P6/mmm
ID-4900560_OQMD-EnID-694477.poscar,-0.3084,P1
ID-4900599_OQMD-EnID-694478.poscar,-0.3055,P1
ID-5122071_OQMD-EnID-825089.poscar,-0.272,P1
ID-5122089_OQMD-EnID-825090.poscar,-0.2931,P1
ID-5122251_OQMD-EnID-825091.poscar,-0.3215,P1
ID-5577482_OQMD-EnID-1234111.poscar,-0.5421,P42/mnm
ID-5610269_OQMD-EnID-1241563.poscar,0.0032,Fd-3m
ID-5632078_OQMD-EnID-1280951.poscar,-0.252,Pa-3
ID-5731069_OQMD-EnID-1343363.poscar,-0.578,P21/c
ID-5731270_OQMD-EnID-1343253.poscar,-0.3696,Pbca
ID-5731274_OQMD-EnID-1343503.poscar,-0.5498,Pbcn
ID-5731325_OQMD-EnID-1344049.poscar,-0.5966,C2/m
ID-5744670_OQMD-EnID-1361061.poscar,0.0671,Fm-3m
ID-5745874_OQMD-EnID-1361129.poscar,0.0144,R-3m
ID-5763757_OQMD-EnID-1375928.poscar,-0.6009,P63mc
ID-5811489_OQMD-EnID-1440173.poscar,-0.578,P-3m1
ID-5811790_OQMD-EnID-1441341.poscar,0.2956,I4/mmm
ID-5811830_OQMD-EnID-1444251.poscar,-0.0869,P2/m
ID-5812012_OQMD-EnID-1443932.poscar,-0.1299,Cmmm
ID-5813025_OQMD-EnID-1439711.poscar,-0.5883,Pnnm
ID-5813418_OQMD-EnID-1441152.poscar,0.391,P4/nmm
ID-5813511_OQMD-EnID-1442563.poscar,-0.5894,P3m1
ID-5813514_OQMD-EnID-1442052.poscar,0.143,Cmcm
ID-5813522_OQMD-EnID-1442806.poscar,0.0226,Pn-3m
ID-5813557_OQMD-EnID-1441829.poscar,0.1751,P63/mmc
ID-5813753_OQMD-EnID-1443192.poscar,0.0959,Cmcm
ID-5816875_OQMD-EnID-1439858.poscar,-0.5838,Pnma
ID-5817177_OQMD-EnID-1441461.poscar,-0.5013,P1
ID-5817199_OQMD-EnID-1440296.poscar,-0.6004,P-1
ID-5817289_OQMD-EnID-1441614.poscar,-0.554,P212121
ID-5817304_OQMD-EnID-1441638.poscar,-0.5485,P41212
ID-5817417_OQMD-EnID-1441669.poscar,-0.4397,P21/m
ID-5817922_OQMD-EnID-1444378.poscar,-0.5746,I4/m
ID-5947010_OQMD-EnID-1589759.poscar,1.1867,Fd-3m
ID-4812534_OQMD-EnID-428189.poscar,-0.3676,R-3c
ID-4112556_OQMD-EnID-299332.poscar,0.6812,I4/mmm
ID-4131060_OQMD-EnID-309874.poscar,0.7177,Fm-3m
ID-4161408_OQMD-EnID-324857.poscar,0.6086,P63/mmc
ID-4798716_OQMD-EnID-349343.poscar,0.9616,Pm-3m
ID-4857573_OQMD-EnID-690790.poscar,-0.3165,C2/m
ID-4905849_OQMD-EnID-694986.poscar,-0.0398,C2
ID-4905891_OQMD-EnID-694985.poscar,-0.2012,C2
ID-5121978_OQMD-EnID-825008.poscar,-0.3234,C2
ID-5122035_OQMD-EnID-825036.poscar,-0.2159,P1
ID-5122041_OQMD-EnID-825037.poscar,-0.1962,P1
ID-4294329_OQMD-EnID-353254.poscar,0.2067,Pm-3m
ID-5511188_OQMD-EnID-1110209.poscar,-0.6273,P1
ID-5800380_OQMD-EnID-1373937.poscar,-0.6444,Cmmm
ID-5815359_OQMD-EnID-1444569.poscar,-0.6413,Cmmm
ID-6035887_OQMD-EnID-1739257.poscar,-0.49,Pm
ID-6035894_OQMD-EnID-1739272.poscar,-0.5308,C2/c
ID-6041250_OQMD-EnID-1741062.poscar,-0.4754,C2/m
ID-5728840_OQMD-EnID-1338395.poscar,-0.1497,C2/m
ID-5736407_OQMD-EnID-1343162.poscar,-0.3845,P2/c
ID-5801782_OQMD-EnID-1376430.poscar,-0.344,P1
ID-4900383_OQMD-EnID-694436.poscar,-0.272,Cm
ID-4900494_OQMD-EnID-694435.poscar,-0.3114,P1
ID-4887756_OQMD-EnID-358583.poscar,-0.0509,P4/mmm
ID-4062345_OQMD-EnID-5611.poscar,0.1629,P4/mmm
ID-4062927_OQMD-EnID-7540.poscar,-0.196,I4/mmm
ID-4064544_OQMD-EnID-13989.poscar,-0.2038,Fm-3m
ID-4067757_OQMD-EnID-4684.poscar,-0.6494,P42/mmc
ID-4384482_OQMD-EnID-305354.poscar,0.1629,Pm-3m
ID-4499589_OQMD-EnID-326438.poscar,-0.1942,R-3m
ID-4511871_OQMD-EnID-336896.poscar,0.5059,P4/mmm
ID-5492320_OQMD-EnID-1104539.poscar,-0.204,Fm-3m
ID-5571943_OQMD-EnID-1223653.poscar,-0.0527,F-43m
ID-5575942_OQMD-EnID-1230625.poscar,-0.0217,P-6m2
ID-5731100_OQMD-EnID-1343202.poscar,-0.5976,P42/m
ID-5731145_OQMD-EnID-1343501.poscar,-0.5977,P42/m
ID-5731741_OQMD-EnID-1343848.poscar,-0.6306,P-1
ID-5731824_OQMD-EnID-1343394.poscar,-0.1822,Cmcm
ID-5815280_OQMD-EnID-1443264.poscar,-0.6348,P21/c
ID-5816360_OQMD-EnID-1443145.poscar,-0.2914,C2/m
ID-5837111_OQMD-EnID-1472901.poscar,-0.0896,Pmmn
ID-5837574_OQMD-EnID-1473352.poscar,-0.1841,P4/nmm
ID-5839804_OQMD-EnID-1474158.poscar,-0.1723,R3m
ID-6047341_OQMD-EnID-1753351.poscar,-0.2505,Cmca
ID-4076412_OQMD-EnID-13990.poscar,-0.2938,Pn-3m
ID-5610247_OQMD-EnID-1241562.poscar,0.1286,Fd-3m
ID-5956059_OQMD-EnID-1592362.poscar,1.0417,Fd-3m
ID-4123536_OQMD-EnID-303773.poscar,0.4396,I4/mmm
ID-4143435_OQMD-EnID-314315.poscar,0.3851,Fm-3m
ID-4150290_OQMD-EnID-320416.poscar,0.2232,Pm
ID-4167240_OQMD-EnID-344902.poscar,0.4711,Pm-3m
ID-6005166_OQMD-EnID-1603201.poscar,0.6866,P6/mmm
ID-4900560_OQMD-EnID-694477.poscar,-0.3084,P1
ID-4900599_OQMD-EnID-694478.poscar,-0.3055,P1
ID-5122071_OQMD-EnID-825089.poscar,-0.272,P1
ID-5122089_OQMD-EnID-825090.poscar,-0.2931,P1
ID-5122251_OQMD-EnID-825091.poscar,-0.3215,P1
ID-5577482_OQMD-EnID-1234111.poscar,-0.5421,P42/mnm
ID-5610269_OQMD-EnID-1241563.poscar,0.0032,Fd-3m
ID-5632078_OQMD-EnID-1280951.poscar,-0.252,Pa-3
ID-5731069_OQMD-EnID-1343363.poscar,-0.578,P21/c
ID-5731270_OQMD-EnID-1343253.poscar,-0.3696,Pbca
ID-5731274_OQMD-EnID-1343503.poscar,-0.5498,Pbcn
ID-5731325_OQMD-EnID-1344049.poscar,-0.5966,C2/m
ID-5744670_OQMD-EnID-1361061.poscar,0.0671,Fm-3m
ID-5745874_OQMD-EnID-1361129.poscar,0.0144,R-3m
ID-5763757_OQMD-EnID-1375928.poscar,-0.6009,P63mc
ID-5811489_OQMD-EnID-1440173.poscar,-0.578,P-3m1
ID-5811790_OQMD-EnID-1441341.poscar,0.2956,I4/mmm
ID-5811830_OQMD-EnID-1444251.poscar,-0.0869,P2/m
ID-5812012_OQMD-EnID-1443932.poscar,-0.1299,Cmmm
ID-5813025_OQMD-EnID-1439711.poscar,-0.5883,Pnnm
ID-5813418_OQMD-EnID-1441152.poscar,0.391,P4/nmm
ID-5813511_OQMD-EnID-1442563.poscar,-0.5894,P3m1
ID-5813514_OQMD-EnID-1442052.poscar,0.143,Cmcm
ID-5813522_OQMD-EnID-1442806.poscar,0.0226,Pn-3m
ID-5813557_OQMD-EnID-1441829.poscar,0.1751,P63/mmc
ID-5813753_OQMD-EnID-1443192.poscar,0.0959,Cmcm
ID-5816875_OQMD-EnID-1439858.poscar,-0.5838,Pnma
ID-5817177_OQMD-EnID-1441461.poscar,-0.5013,P1
ID-5817199_OQMD-EnID-1440296.poscar,-0.6004,P-1
ID-5817289_OQMD-EnID-1441614.poscar,-0.554,P212121
ID-5817304_OQMD-EnID-1441638.poscar,-0.5485,P41212
ID-5817417_OQMD-EnID-1441669.poscar,-0.4397,P21/m
ID-5817922_OQMD-EnID-1444378.poscar,-0.5746,I4/m
ID-5947010_OQMD-EnID-1589759.poscar,1.1867,Fd-3m
ID-4812534_OQMD-EnID-428189.poscar,-0.3676,R-3c
ID-4112556_OQMD-EnID-299332.poscar,0.6812,I4/mmm
ID-4131060_OQMD-EnID-309874.poscar,0.7177,Fm-3m
ID-4161408_OQMD-EnID-324857.poscar,0.6086,P63/mmc
ID-4798716_OQMD-EnID-349343.poscar,0.9616,Pm-3m
ID-4857573_OQMD-EnID-690790.poscar,-0.3165,C2/m
ID-4905849_OQMD-EnID-694986.poscar,-0.0398,C2
ID-4905891_OQMD-EnID-694985.poscar,-0.2012,C2
ID-5121978_OQMD-EnID-825008.poscar,-0.3234,C2
ID-5122035_OQMD-EnID-825036.poscar,-0.2159,P1
ID-5122041_OQMD-EnID-825037.poscar,-0.1962,P1
ID-4294329_OQMD-EnID-353254.poscar,0.2067,Pm-3m
ID-5511188_OQMD-EnID-1110209.poscar,-0.6273,P1
ID-5800380_OQMD-EnID-1373937.poscar,-0.6444,Cmmm
ID-5815359_OQMD-EnID-1444569.poscar,-0.6413,Cmmm
ID-6035887_OQMD-EnID-1739257.poscar,-0.49,Pm
ID-6035894_OQMD-EnID-1739272.poscar,-0.5308,C2/c
ID-6041250_OQMD-EnID-1741062.poscar,-0.4754,C2/m
ID-5728840_OQMD-EnID-1338395.poscar,-0.1497,C2/m
ID-5736407_OQMD-EnID-1343162.poscar,-0.3845,P2/c
ID-5801782_OQMD-EnID-1376430.poscar,-0.344,P1
ID-4900383_OQMD-EnID-694436.poscar,-0.272,Cm
ID-4900494_OQMD-EnID-694435.poscar,-0.3114,P1
ID-4887756_OQMD-EnID-358583.poscar,-0.0509,P4/mmm
ID-4062345_OQMD-EnID-5611.poscar,0.1629,P4/mmm
ID-4062927_OQMD-EnID-7540.poscar,-0.196,I4/mmm
ID-4064544_OQMD-EnID-13989.poscar,-0.2038,Fm-3m
ID-4067757_OQMD-EnID-4684.poscar,-0.6494,P42/mmc
ID-4384482_OQMD-EnID-305354.poscar,0.1629,Pm-3m
ID-4499589_OQMD-EnID-326438.poscar,-0.1942,R-3m
ID-4511871_OQMD-EnID-336896.poscar,0.5059,P4/mmm
ID-5492320_OQMD-EnID-1104539.poscar,-0.204,Fm-3m
ID-5571943_OQMD-EnID-1223653.poscar,-0.0527,F-43m
ID-5575942_OQMD-EnID-1230625.poscar,-0.0217,P-6m2
ID-5731100_OQMD-EnID-1343202.poscar,-0.5976,P42/m
ID-5731145_OQMD-EnID-1343501.poscar,-0.5977,P42/m
ID-5731741_OQMD-EnID-1343848.poscar,-0.6306,P-1
ID-5731824_OQMD-EnID-1343394.poscar,-0.1822,Cmcm
ID-5815280_OQMD-EnID-1443264.poscar,-0.6348,P21/c
ID-5816360_OQMD-EnID-1443145.poscar,-0.2914,C2/m
ID-5837111_OQMD-EnID-1472901.poscar,-0.0896,Pmmn
ID-5837574_OQMD-EnID-1473352.poscar,-0.1841,P4/nmm
ID-5839804_OQMD-EnID-1474158.poscar,-0.1723,R3m
ID-6047341_OQMD-EnID-1753351.poscar,-0.2505,Cmca
ID-4076412_OQMD-EnID-13990.poscar,-0.2938,Pn-3m
ID-5610247_OQMD-EnID-1241562.poscar,0.1286,Fd-3m
ID-5956059_OQMD-EnID-1592362.poscar,1.0417,Fd-3m
ID-4123536_OQMD-EnID-303773.poscar,0.4396,I4/mmm
ID-4143435_OQMD-EnID-314315.poscar,0.3851,Fm-3m
ID-4150290_OQMD-EnID-320416.poscar,0.2232,Pm
ID-4167240_OQMD-EnID-344902.poscar,0.4711,Pm-3m
ID-6005166_OQMD-EnID-1603201.poscar,0.6866,P6/mmm
ID-4900560_OQMD-EnID-694477.poscar,-0.3084,P1
ID-4900599_OQMD-EnID-694478.poscar,-0.3055,P1
ID-5122071_OQMD-EnID-825089.poscar,-0.272,P1
ID-5122089_OQMD-EnID-825090.poscar,-0.2931,P1
ID-5122251_OQMD-EnID-825091.poscar,-0.3215,P1
ID-5577482_OQMD-EnID-1234111.poscar,-0.5421,P42/mnm
ID-5610269_OQMD-EnID-1241563.poscar,0.0032,Fd-3m
ID-5632078_OQMD-EnID-1280951.poscar,-0.252,Pa-3
ID-5731069_OQMD-EnID-1343363.poscar,-0.578,P21/c
ID-5731270_OQMD-EnID-1343253.poscar,-0.3696,Pbca
ID-5731274_OQMD-EnID-1343503.poscar,-0.5498,Pbcn
ID-5731325_OQMD-EnID-1344049.poscar,-0.5966,C2/m
ID-5744670_OQMD-EnID-1361061.poscar,0.0671,Fm-3m
ID-5745874_OQMD-EnID-1361129.poscar,0.0144,R-3m
ID-5763757_OQMD-EnID-1375928.poscar,-0.6009,P63mc
ID-5811489_OQMD-EnID-1440173.poscar,-0.578,P-3m1
ID-5811790_OQMD-EnID-1441341.poscar,0.2956,I4/mmm
ID-5811830_OQMD-EnID-1444251.poscar,-0.0869,P2/m
ID-5812012_OQMD-EnID-1443932.poscar,-0.1299,Cmmm
ID-5813025_OQMD-EnID-1439711.poscar,-0.5883,Pnnm
ID-5813418_OQMD-EnID-1441152.poscar,0.391,P4/nmm
ID-5813511_OQMD-EnID-1442563.poscar,-0.5894,P3m1
ID-5813514_OQMD-EnID-1442052.poscar,0.143,Cmcm
ID-5813522_OQMD-EnID-1442806.poscar,0.0226,Pn-3m
ID-5813557_OQMD-EnID-1441829.poscar,0.1751,P63/mmc
ID-5813753_OQMD-EnID-1443192.poscar,0.0959,Cmcm
ID-5816875_OQMD-EnID-1439858.poscar,-0.5838,Pnma
ID-5817177_OQMD-EnID-1441461.poscar,-0.5013,P1
ID-5817199_OQMD-EnID-1440296.poscar,-0.6004,P-1
ID-5817289_OQMD-EnID-1441614.poscar,-0.554,P212121
