filename, _oqmd_delta_e, _oqmd_spacegroup 
ID-5122206_OQMD-EnID-825021.poscar,-1.0674,P1
ID-5122299_OQMD-EnID-825020.poscar,-1.0716,P1
ID-4304403_OQMD-EnID-354234.poscar,0.3514,Pm-3m
ID-4838631_OQMD-EnID-678214.poscar,-0.5167,R-3
ID-4091901_OQMD-EnID-1619.poscar,-1.2655,C2/c
ID-4092249_OQMD-EnID-4426.poscar,-1.2655,C2/c
ID-5728945_OQMD-EnID-1338394.poscar,-0.6316,Cm
ID-5732119_OQMD-EnID-1343161.poscar,-1.1059,P2/c
ID-4900377_OQMD-EnID-694416.poscar,-0.8332,Cm
ID-4900602_OQMD-EnID-694415.poscar,-0.8473,P1
ID-6058470_OQMD-EnID-1758935.poscar,-1.1885,Pccm
ID-4890966_OQMD-EnID-359563.poscar,0.1231,P4/mmm
ID-5632401_OQMD-EnID-1281336.poscar,-0.7605,Fd-3m
ID-5632402_OQMD-EnID-1281429.poscar,-0.7609,Fd-3m
ID-4482246_OQMD-EnID-307132.poscar,0.8923,Pm-3m
ID-4505613_OQMD-EnID-328216.poscar,0.3447,R-3m
ID-4516695_OQMD-EnID-338674.poscar,1.3034,P4/mmm
ID-5494094_OQMD-EnID-1106317.poscar,1.098,Fm-3m
ID-5571939_OQMD-EnID-1223649.poscar,0.3296,F-43m
ID-5575938_OQMD-EnID-1230621.poscar,0.4449,P-6m2
ID-5763050_OQMD-EnID-1243569.poscar,1.0228,P63/mmc
ID-5763051_OQMD-EnID-1243570.poscar,0.801,P63/mmc
ID-5595278_OQMD-EnID-1236819.poscar,2.0385,Fd-3m
ID-5963526_OQMD-EnID-1594549.poscar,1.8164,Fd-3m
ID-4114095_OQMD-EnID-299968.poscar,0.7238,I4/mmm
ID-4132782_OQMD-EnID-310510.poscar,0.7234,Fm-3m
ID-4159146_OQMD-EnID-323958.poscar,0.7352,P63/mmc
ID-4173672_OQMD-EnID-348444.poscar,1.4098,Pm-3m
ID-6005229_OQMD-EnID-1603229.poscar,1.2956,P6/mmm
ID-4900701_OQMD-EnID-694457.poscar,-1.0384,P1
ID-4900764_OQMD-EnID-694458.poscar,-0.9732,P1
ID-5122380_OQMD-EnID-825064.poscar,-1.0592,P1
ID-5122890_OQMD-EnID-825062.poscar,-0.9665,P1
ID-5122893_OQMD-EnID-825063.poscar,-1.0579,P1
ID-4076259_OQMD-EnID-2971.poscar,-1.1608,P42/mnm
ID-4812798_OQMD-EnID-1234107.poscar,-1.1614,P42/mnm
ID-5595273_OQMD-EnID-1236820.poscar,-0.5848,Fd-3m
ID-5632069_OQMD-EnID-1281024.poscar,-1.0817,Pa-3
ID-5780014_OQMD-EnID-1434912.poscar,-0.768,C2/m
ID-5811570_OQMD-EnID-1440476.poscar,-0.953,Fm-3m
ID-5817035_OQMD-EnID-1441208.poscar,-1.1287,Pbcn
ID-5817097_OQMD-EnID-1441013.poscar,-1.1245,P21/c
ID-5947077_OQMD-EnID-1589788.poscar,1.4994,Fd-3m
ID-6059093_OQMD-EnID-1745293.poscar,-0.5746,P3121
ID-4812585_OQMD-EnID-428185.poscar,0.3626,R-3c
ID-4121220_OQMD-EnID-302874.poscar,0.2425,I4/mmm
ID-4141251_OQMD-EnID-313416.poscar,0.2563,Fm-3m
ID-4151931_OQMD-EnID-321052.poscar,0.0545,P63/mmc
ID-4168374_OQMD-EnID-345538.poscar,0.7866,Pm-3m
ID-4857579_OQMD-EnID-690794.poscar,-1.0741,C2/m
ID-4905861_OQMD-EnID-694993.poscar,-1.2007,C2
ID-4906023_OQMD-EnID-694994.poscar,-1.0512,C2
ID-5122032_OQMD-EnID-825000.poscar,-1.0683,C2
ID-5122206_OQMD-EnID-825021.poscar,-1.0674,P1
ID-5122299_OQMD-EnID-825020.poscar,-1.0716,P1
ID-4304403_OQMD-EnID-354234.poscar,0.3514,Pm-3m
ID-4838631_OQMD-EnID-678214.poscar,-0.5167,R-3
ID-4091901_OQMD-EnID-1619.poscar,-1.2655,C2/c
ID-4092249_OQMD-EnID-4426.poscar,-1.2655,C2/c
ID-5728945_OQMD-EnID-1338394.poscar,-0.6316,Cm
ID-5732119_OQMD-EnID-1343161.poscar,-1.1059,P2/c
ID-4900377_OQMD-EnID-694416.poscar,-0.8332,Cm
ID-4900602_OQMD-EnID-694415.poscar,-0.8473,P1
ID-6058470_OQMD-EnID-1758935.poscar,-1.1885,Pccm
ID-4890966_OQMD-EnID-359563.poscar,0.1231,P4/mmm
ID-5632401_OQMD-EnID-1281336.poscar,-0.7605,Fd-3m
ID-5632402_OQMD-EnID-1281429.poscar,-0.7609,Fd-3m
ID-4482246_OQMD-EnID-307132.poscar,0.8923,Pm-3m
ID-4505613_OQMD-EnID-328216.poscar,0.3447,R-3m
ID-4516695_OQMD-EnID-338674.poscar,1.3034,P4/mmm
ID-5494094_OQMD-EnID-1106317.poscar,1.098,Fm-3m
ID-5571939_OQMD-EnID-1223649.poscar,0.3296,F-43m
ID-5575938_OQMD-EnID-1230621.poscar,0.4449,P-6m2
ID-5763050_OQMD-EnID-1243569.poscar,1.0228,P63/mmc
ID-5763051_OQMD-EnID-1243570.poscar,0.801,P63/mmc
ID-5595278_OQMD-EnID-1236819.poscar,2.0385,Fd-3m
ID-5963526_OQMD-EnID-1594549.poscar,1.8164,Fd-3m
ID-4114095_OQMD-EnID-299968.poscar,0.7238,I4/mmm
ID-4132782_OQMD-EnID-310510.poscar,0.7234,Fm-3m
ID-4159146_OQMD-EnID-323958.poscar,0.7352,P63/mmc
ID-4173672_OQMD-EnID-348444.poscar,1.4098,Pm-3m
ID-6005229_OQMD-EnID-1603229.poscar,1.2956,P6/mmm
ID-4900701_OQMD-EnID-694457.poscar,-1.0384,P1
ID-4900764_OQMD-EnID-694458.poscar,-0.9732,P1
ID-5122380_OQMD-EnID-825064.poscar,-1.0592,P1
ID-5122890_OQMD-EnID-825062.poscar,-0.9665,P1
ID-5122893_OQMD-EnID-825063.poscar,-1.0579,P1
ID-4076259_OQMD-EnID-2971.poscar,-1.1608,P42/mnm
ID-4812798_OQMD-EnID-1234107.poscar,-1.1614,P42/mnm
ID-5595273_OQMD-EnID-1236820.poscar,-0.5848,Fd-3m
ID-5632069_OQMD-EnID-1281024.poscar,-1.0817,Pa-3
ID-5780014_OQMD-EnID-1434912.poscar,-0.768,C2/m
ID-5811570_OQMD-EnID-1440476.poscar,-0.953,Fm-3m
ID-5817035_OQMD-EnID-1441208.poscar,-1.1287,Pbcn
ID-5817097_OQMD-EnID-1441013.poscar,-1.1245,P21/c
ID-5947077_OQMD-EnID-1589788.poscar,1.4994,Fd-3m
ID-6059093_OQMD-EnID-1745293.poscar,-0.5746,P3121
ID-4812585_OQMD-EnID-428185.poscar,0.3626,R-3c
ID-4121220_OQMD-EnID-302874.poscar,0.2425,I4/mmm
ID-4141251_OQMD-EnID-313416.poscar,0.2563,Fm-3m
ID-4151931_OQMD-EnID-321052.poscar,0.0545,P63/mmc
ID-4168374_OQMD-EnID-345538.poscar,0.7866,Pm-3m
ID-4857579_OQMD-EnID-690794.poscar,-1.0741,C2/m
ID-4905861_OQMD-EnID-694993.poscar,-1.2007,C2
ID-4906023_OQMD-EnID-694994.poscar,-1.0512,C2
ID-5122032_OQMD-EnID-825000.poscar,-1.0683,C2
ID-5122206_OQMD-EnID-825021.poscar,-1.0674,P1
ID-5122299_OQMD-EnID-825020.poscar,-1.0716,P1
ID-4304403_OQMD-EnID-354234.poscar,0.3514,Pm-3m
ID-4838631_OQMD-EnID-678214.poscar,-0.5167,R-3
ID-4091901_OQMD-EnID-1619.poscar,-1.2655,C2/c
ID-4092249_OQMD-EnID-4426.poscar,-1.2655,C2/c
ID-5728945_OQMD-EnID-1338394.poscar,-0.6316,Cm
ID-5732119_OQMD-EnID-1343161.poscar,-1.1059,P2/c
ID-4900377_OQMD-EnID-694416.poscar,-0.8332,Cm
ID-4900602_OQMD-EnID-694415.poscar,-0.8473,P1
ID-6058470_OQMD-EnID-1758935.poscar,-1.1885,Pccm
ID-4890966_OQMD-EnID-359563.poscar,0.1231,P4/mmm
ID-5632401_OQMD-EnID-1281336.poscar,-0.7605,Fd-3m
ID-5632402_OQMD-EnID-1281429.poscar,-0.7609,Fd-3m
ID-4482246_OQMD-EnID-307132.poscar,0.8923,Pm-3m
ID-4505613_OQMD-EnID-328216.poscar,0.3447,R-3m
ID-4516695_OQMD-EnID-338674.poscar,1.3034,P4/mmm
ID-5494094_OQMD-EnID-1106317.poscar,1.098,Fm-3m
ID-5571939_OQMD-EnID-1223649.poscar,0.3296,F-43m
ID-5575938_OQMD-EnID-1230621.poscar,0.4449,P-6m2
ID-5763050_OQMD-EnID-1243569.poscar,1.0228,P63/mmc
ID-5763051_OQMD-EnID-1243570.poscar,0.801,P63/mmc
ID-5595278_OQMD-EnID-1236819.poscar,2.0385,Fd-3m
ID-5963526_OQMD-EnID-1594549.poscar,1.8164,Fd-3m
ID-4114095_OQMD-EnID-299968.poscar,0.7238,I4/mmm
ID-4132782_OQMD-EnID-310510.poscar,0.7234,Fm-3m
ID-4159146_OQMD-EnID-323958.poscar,0.7352,P63/mmc
ID-4173672_OQMD-EnID-348444.poscar,1.4098,Pm-3m
ID-6005229_OQMD-EnID-1603229.poscar,1.2956,P6/mmm
ID-4900701_OQMD-EnID-694457.poscar,-1.0384,P1
ID-4900764_OQMD-EnID-694458.poscar,-0.9732,P1
ID-5122380_OQMD-EnID-825064.poscar,-1.0592,P1
ID-5122890_OQMD-EnID-825062.poscar,-0.9665,P1
ID-5122893_OQMD-EnID-825063.poscar,-1.0579,P1
ID-4076259_OQMD-EnID-2971.poscar,-1.1608,P42/mnm
ID-4812798_OQMD-EnID-1234107.poscar,-1.1614,P42/mnm
ID-5595273_OQMD-EnID-1236820.poscar,-0.5848,Fd-3m
ID-5632069_OQMD-EnID-1281024.poscar,-1.0817,Pa-3
ID-5780014_OQMD-EnID-1434912.poscar,-0.768,C2/m
ID-5811570_OQMD-EnID-1440476.poscar,-0.953,Fm-3m
ID-5817035_OQMD-EnID-1441208.poscar,-1.1287,Pbcn
ID-5817097_OQMD-EnID-1441013.poscar,-1.1245,P21/c
ID-5947077_OQMD-EnID-1589788.poscar,1.4994,Fd-3m
ID-6059093_OQMD-EnID-1745293.poscar,-0.5746,P3121
ID-4812585_OQMD-EnID-428185.poscar,0.3626,R-3c
ID-4121220_OQMD-EnID-302874.poscar,0.2425,I4/mmm
ID-4141251_OQMD-EnID-313416.poscar,0.2563,Fm-3m
ID-4151931_OQMD-EnID-321052.poscar,0.0545,P63/mmc
ID-4168374_OQMD-EnID-345538.poscar,0.7866,Pm-3m
ID-4857579_OQMD-EnID-690794.poscar,-1.0741,C2/m
ID-4905861_OQMD-EnID-694993.poscar,-1.2007,C2
ID-4906023_OQMD-EnID-694994.poscar,-1.0512,C2
ID-5122032_OQMD-EnID-825000.poscar,-1.0683,C2
ID-5122206_OQMD-EnID-825021.poscar,-1.0674,P1
ID-5122299_OQMD-EnID-825020.poscar,-1.0716,P1
ID-4304403_OQMD-EnID-354234.poscar,0.3514,Pm-3m
ID-4838631_OQMD-EnID-678214.poscar,-0.5167,R-3
ID-4091901_OQMD-EnID-1619.poscar,-1.2655,C2/c
ID-4092249_OQMD-EnID-4426.poscar,-1.2655,C2/c
ID-5728945_OQMD-EnID-1338394.poscar,-0.6316,Cm
ID-5732119_OQMD-EnID-1343161.poscar,-1.1059,P2/c
ID-4900377_OQMD-EnID-694416.poscar,-0.8332,Cm
ID-4900602_OQMD-EnID-694415.poscar,-0.8473,P1
ID-6058470_OQMD-EnID-1758935.poscar,-1.1885,Pccm
ID-4890966_OQMD-EnID-359563.poscar,0.1231,P4/mmm
ID-5632401_OQMD-EnID-1281336.poscar,-0.7605,Fd-3m
ID-5632402_OQMD-EnID-1281429.poscar,-0.7609,Fd-3m
