filename, _oqmd_delta_e, _oqmd_spacegroup 
ID-4157037_OQMD-EnID-323092.poscar,-1.7266,P63/mmc
ID-4797300_OQMD-EnID-347578.poscar,-1.674,Pm-3m
ID-4071606_OQMD-EnID-20291.poscar,-3.6632,P-3m1
ID-4082763_OQMD-EnID-5385.poscar,-3.6892,I213
ID-4285533_OQMD-EnID-351278.poscar,-2.7659,Pm-3m
ID-4509105_OQMD-EnID-6432.poscar,-3.6679,C2/m
ID-5013186_OQMD-EnID-7283.poscar,-3.701,Ia-3
ID-5731390_OQMD-EnID-1343676.poscar,-3.6022,Pnma
ID-5812823_OQMD-EnID-1442713.poscar,-3.4935,P321
ID-4885779_OQMD-EnID-356607.poscar,-2.971,P4/mmm
ID-4064187_OQMD-EnID-13998.poscar,-2.9746,Fm-3m
ID-4473840_OQMD-EnID-306301.poscar,-2.414,Pm-3m
ID-4502334_OQMD-EnID-327385.poscar,-2.9727,R-3m
ID-4514403_OQMD-EnID-337843.poscar,-2.4069,P4/mmm
ID-5493266_OQMD-EnID-1105486.poscar,-2.9742,Fm-3m
ID-5571957_OQMD-EnID-1223667.poscar,-2.8201,F-43m
ID-5575956_OQMD-EnID-1230639.poscar,-2.712,P-6m2
ID-6033237_OQMD-EnID-1733406.poscar,-3.0244,P4/nmm
ID-6035091_OQMD-EnID-1739202.poscar,-3.0267,Cmca
ID-5598028_OQMD-EnID-1239758.poscar,-1.0232,Fd-3m
ID-5960482_OQMD-EnID-1593497.poscar,0.4705,Fd-3m
ID-4119156_OQMD-EnID-302008.poscar,-0.1123,I4/mmm
ID-4139094_OQMD-EnID-312550.poscar,0.1699,Fm-3m
ID-4155054_OQMD-EnID-322286.poscar,-0.7942,P63/mmc
ID-4170699_OQMD-EnID-346772.poscar,-0.0549,Pm-3m
ID-5577495_OQMD-EnID-1234125.poscar,-2.7356,P42/mnm
ID-5598022_OQMD-EnID-1239759.poscar,-2.3914,Fd-3m
ID-5763453_OQMD-EnID-1375188.poscar,-3.1769,C2/m
ID-5947053_OQMD-EnID-1589774.poscar,-0.974,Fd-3m
ID-4812384_OQMD-EnID-428203.poscar,-2.3118,R-3c
ID-5456394_OQMD-EnID-92562.poscar,-2.2583,R3m
ID-4117062_OQMD-EnID-301202.poscar,-1.6677,I4/mmm
ID-4137018_OQMD-EnID-311744.poscar,-1.7786,Fm-3m
ID-4157037_OQMD-EnID-323092.poscar,-1.7266,P63/mmc
ID-4797300_OQMD-EnID-347578.poscar,-1.674,Pm-3m
ID-4071606_OQMD-EnID-20291.poscar,-3.6632,P-3m1
ID-4082763_OQMD-EnID-5385.poscar,-3.6892,I213
ID-4285533_OQMD-EnID-351278.poscar,-2.7659,Pm-3m
ID-4509105_OQMD-EnID-6432.poscar,-3.6679,C2/m
ID-5013186_OQMD-EnID-7283.poscar,-3.701,Ia-3
ID-5731390_OQMD-EnID-1343676.poscar,-3.6022,Pnma
ID-5812823_OQMD-EnID-1442713.poscar,-3.4935,P321
ID-4885779_OQMD-EnID-356607.poscar,-2.971,P4/mmm
ID-4064187_OQMD-EnID-13998.poscar,-2.9746,Fm-3m
ID-4473840_OQMD-EnID-306301.poscar,-2.414,Pm-3m
ID-4502334_OQMD-EnID-327385.poscar,-2.9727,R-3m
ID-4514403_OQMD-EnID-337843.poscar,-2.4069,P4/mmm
ID-5493266_OQMD-EnID-1105486.poscar,-2.9742,Fm-3m
ID-5571957_OQMD-EnID-1223667.poscar,-2.8201,F-43m
ID-5575956_OQMD-EnID-1230639.poscar,-2.712,P-6m2
ID-6033237_OQMD-EnID-1733406.poscar,-3.0244,P4/nmm
ID-6035091_OQMD-EnID-1739202.poscar,-3.0267,Cmca
ID-5598028_OQMD-EnID-1239758.poscar,-1.0232,Fd-3m
ID-5960482_OQMD-EnID-1593497.poscar,0.4705,Fd-3m
ID-4119156_OQMD-EnID-302008.poscar,-0.1123,I4/mmm
ID-4139094_OQMD-EnID-312550.poscar,0.1699,Fm-3m
ID-4155054_OQMD-EnID-322286.poscar,-0.7942,P63/mmc
ID-4170699_OQMD-EnID-346772.poscar,-0.0549,Pm-3m
ID-5577495_OQMD-EnID-1234125.poscar,-2.7356,P42/mnm
ID-5598022_OQMD-EnID-1239759.poscar,-2.3914,Fd-3m
ID-5763453_OQMD-EnID-1375188.poscar,-3.1769,C2/m
ID-5947053_OQMD-EnID-1589774.poscar,-0.974,Fd-3m
ID-4812384_OQMD-EnID-428203.poscar,-2.3118,R-3c
ID-5456394_OQMD-EnID-92562.poscar,-2.2583,R3m
ID-4117062_OQMD-EnID-301202.poscar,-1.6677,I4/mmm
ID-4137018_OQMD-EnID-311744.poscar,-1.7786,Fm-3m
ID-4157037_OQMD-EnID-323092.poscar,-1.7266,P63/mmc
ID-4797300_OQMD-EnID-347578.poscar,-1.674,Pm-3m
ID-4071606_OQMD-EnID-20291.poscar,-3.6632,P-3m1
ID-4082763_OQMD-EnID-5385.poscar,-3.6892,I213
ID-4285533_OQMD-EnID-351278.poscar,-2.7659,Pm-3m
ID-4509105_OQMD-EnID-6432.poscar,-3.6679,C2/m
ID-5013186_OQMD-EnID-7283.poscar,-3.701,Ia-3
ID-5731390_OQMD-EnID-1343676.poscar,-3.6022,Pnma
ID-5812823_OQMD-EnID-1442713.poscar,-3.4935,P321
ID-4885779_OQMD-EnID-356607.poscar,-2.971,P4/mmm
