filename, _oqmd_delta_e, _oqmd_spacegroup 
ID-4891017_OQMD-EnID-359566.poscar,-2.5797,P4/mmm
ID-6005845_OQMD-EnID-1603212.poscar,0.702,P6/mmm
ID-4788693_OQMD-EnID-15703.poscar,-3.1866,R-3
ID-4373757_OQMD-EnID-304629.poscar,-2.3472,Pm-3m
ID-4497765_OQMD-EnID-325713.poscar,-2.8732,R-3m
ID-4509882_OQMD-EnID-336171.poscar,-2.3348,P4/mmm
ID-4803144_OQMD-EnID-647033.poscar,-2.8718,Fm-3m
ID-5491602_OQMD-EnID-1103815.poscar,-2.8736,Fm-3m
ID-5570175_OQMD-EnID-1219156.poscar,-2.6836,F-43m
ID-5574227_OQMD-EnID-1228835.poscar,-2.6072,P-6m2
ID-5762106_OQMD-EnID-1243234.poscar,-2.8346,P63/mmc
ID-5762331_OQMD-EnID-1243233.poscar,-2.6257,P63/mmc
ID-4094040_OQMD-EnID-21471.poscar,-2.5889,Cmmm
ID-4814364_OQMD-EnID-662729.poscar,-2.8022,Fm-3m
ID-5578599_OQMD-EnID-673412.poscar,-2.8019,Fm-3m
ID-5578634_OQMD-EnID-686445.poscar,-2.8028,Fm-3m
ID-5594449_OQMD-EnID-1236493.poscar,-2.285,Fd-3m
ID-5731797_OQMD-EnID-1343412.poscar,-2.9958,Pc
ID-5731858_OQMD-EnID-1343652.poscar,-2.7665,P4/nmm
ID-5816856_OQMD-EnID-1439746.poscar,-2.8038,Fm-3m
ID-5837289_OQMD-EnID-1472965.poscar,-2.4603,P-3m1
ID-5838040_OQMD-EnID-1473751.poscar,-2.5967,P42/mnm
ID-5838983_OQMD-EnID-1472951.poscar,-2.8095,Pnnm
ID-5847705_OQMD-EnID-1473309.poscar,-2.8453,Pnma
ID-5848446_OQMD-EnID-1472684.poscar,-2.8178,Pnma
ID-5947035_OQMD-EnID-1589770.poscar,-1.0076,Fd-3m
ID-4117299_OQMD-EnID-301302.poscar,-1.5772,I4/mmm
ID-4137318_OQMD-EnID-311844.poscar,-1.7366,Fm-3m
ID-4146561_OQMD-EnID-318903.poscar,-1.6555,P63/mmc
ID-4164624_OQMD-EnID-343389.poscar,-1.5839,Pm-3m
ID-4879413_OQMD-EnID-15704.poscar,-3.0415,P-1
ID-5576886_OQMD-EnID-1232321.poscar,-1.835,P42/mnm
ID-5594396_OQMD-EnID-1236494.poscar,-0.9581,Fd-3m
ID-5959675_OQMD-EnID-1593194.poscar,0.4096,Fd-3m
ID-4072305_OQMD-EnID-19840.poscar,-3.493,P-3m1
ID-4305309_OQMD-EnID-354237.poscar,-2.6042,Pm-3m
ID-4508889_OQMD-EnID-20302.poscar,-3.4949,C2/m
ID-4811793_OQMD-EnID-426399.poscar,-3.4665,R-3c
ID-4840749_OQMD-EnID-678196.poscar,-3.466,R-3
ID-5024397_OQMD-EnID-16544.poscar,-3.5204,Ia-3
ID-5731414_OQMD-EnID-1343290.poscar,-3.4299,Pnma
ID-5812950_OQMD-EnID-1442706.poscar,-3.3004,P321
ID-4126773_OQMD-EnID-308361.poscar,0.1104,Fm-3m
ID-4155312_OQMD-EnID-322386.poscar,-0.786,P63/mmc
ID-4170864_OQMD-EnID-346872.poscar,-0.1235,Pm-3m
ID-4518918_OQMD-EnID-297830.poscar,-0.1231,I4/mmm
ID-4891017_OQMD-EnID-359566.poscar,-2.5797,P4/mmm
ID-6005845_OQMD-EnID-1603212.poscar,0.702,P6/mmm
ID-4788693_OQMD-EnID-15703.poscar,-3.1866,R-3
ID-4373757_OQMD-EnID-304629.poscar,-2.3472,Pm-3m
ID-4497765_OQMD-EnID-325713.poscar,-2.8732,R-3m
ID-4509882_OQMD-EnID-336171.poscar,-2.3348,P4/mmm
ID-4803144_OQMD-EnID-647033.poscar,-2.8718,Fm-3m
ID-5491602_OQMD-EnID-1103815.poscar,-2.8736,Fm-3m
ID-5570175_OQMD-EnID-1219156.poscar,-2.6836,F-43m
ID-5574227_OQMD-EnID-1228835.poscar,-2.6072,P-6m2
ID-5762106_OQMD-EnID-1243234.poscar,-2.8346,P63/mmc
ID-5762331_OQMD-EnID-1243233.poscar,-2.6257,P63/mmc
ID-4094040_OQMD-EnID-21471.poscar,-2.5889,Cmmm
ID-4814364_OQMD-EnID-662729.poscar,-2.8022,Fm-3m
ID-5578599_OQMD-EnID-673412.poscar,-2.8019,Fm-3m
ID-5578634_OQMD-EnID-686445.poscar,-2.8028,Fm-3m
ID-5594449_OQMD-EnID-1236493.poscar,-2.285,Fd-3m
ID-5731797_OQMD-EnID-1343412.poscar,-2.9958,Pc
ID-5731858_OQMD-EnID-1343652.poscar,-2.7665,P4/nmm
ID-5816856_OQMD-EnID-1439746.poscar,-2.8038,Fm-3m
ID-5837289_OQMD-EnID-1472965.poscar,-2.4603,P-3m1
ID-5838040_OQMD-EnID-1473751.poscar,-2.5967,P42/mnm
ID-5838983_OQMD-EnID-1472951.poscar,-2.8095,Pnnm
ID-5847705_OQMD-EnID-1473309.poscar,-2.8453,Pnma
ID-5848446_OQMD-EnID-1472684.poscar,-2.8178,Pnma
ID-5947035_OQMD-EnID-1589770.poscar,-1.0076,Fd-3m
ID-4117299_OQMD-EnID-301302.poscar,-1.5772,I4/mmm
ID-4137318_OQMD-EnID-311844.poscar,-1.7366,Fm-3m
ID-4146561_OQMD-EnID-318903.poscar,-1.6555,P63/mmc
ID-4164624_OQMD-EnID-343389.poscar,-1.5839,Pm-3m
ID-4879413_OQMD-EnID-15704.poscar,-3.0415,P-1
ID-5576886_OQMD-EnID-1232321.poscar,-1.835,P42/mnm
ID-5594396_OQMD-EnID-1236494.poscar,-0.9581,Fd-3m
ID-5959675_OQMD-EnID-1593194.poscar,0.4096,Fd-3m
ID-4072305_OQMD-EnID-19840.poscar,-3.493,P-3m1
ID-4305309_OQMD-EnID-354237.poscar,-2.6042,Pm-3m
ID-4508889_OQMD-EnID-20302.poscar,-3.4949,C2/m
ID-4811793_OQMD-EnID-426399.poscar,-3.4665,R-3c
ID-4840749_OQMD-EnID-678196.poscar,-3.466,R-3
ID-5024397_OQMD-EnID-16544.poscar,-3.5204,Ia-3
ID-5731414_OQMD-EnID-1343290.poscar,-3.4299,Pnma
ID-5812950_OQMD-EnID-1442706.poscar,-3.3004,P321
ID-4126773_OQMD-EnID-308361.poscar,0.1104,Fm-3m
ID-4155312_OQMD-EnID-322386.poscar,-0.786,P63/mmc
ID-4170864_OQMD-EnID-346872.poscar,-0.1235,Pm-3m
ID-4518918_OQMD-EnID-297830.poscar,-0.1231,I4/mmm
ID-4891017_OQMD-EnID-359566.poscar,-2.5797,P4/mmm
ID-6005845_OQMD-EnID-1603212.poscar,0.702,P6/mmm
ID-4788693_OQMD-EnID-15703.poscar,-3.1866,R-3
ID-4373757_OQMD-EnID-304629.poscar,-2.3472,Pm-3m
ID-4497765_OQMD-EnID-325713.poscar,-2.8732,R-3m
ID-4509882_OQMD-EnID-336171.poscar,-2.3348,P4/mmm
ID-4803144_OQMD-EnID-647033.poscar,-2.8718,Fm-3m
ID-5491602_OQMD-EnID-1103815.poscar,-2.8736,Fm-3m
ID-5570175_OQMD-EnID-1219156.poscar,-2.6836,F-43m
ID-5574227_OQMD-EnID-1228835.poscar,-2.6072,P-6m2
ID-5762106_OQMD-EnID-1243234.poscar,-2.8346,P63/mmc
ID-5762331_OQMD-EnID-1243233.poscar,-2.6257,P63/mmc
ID-4094040_OQMD-EnID-21471.poscar,-2.5889,Cmmm
ID-4814364_OQMD-EnID-662729.poscar,-2.8022,Fm-3m
ID-5578599_OQMD-EnID-673412.poscar,-2.8019,Fm-3m
ID-5578634_OQMD-EnID-686445.poscar,-2.8028,Fm-3m
ID-5594449_OQMD-EnID-1236493.poscar,-2.285,Fd-3m
ID-5731797_OQMD-EnID-1343412.poscar,-2.9958,Pc
ID-5731858_OQMD-EnID-1343652.poscar,-2.7665,P4/nmm
ID-5816856_OQMD-EnID-1439746.poscar,-2.8038,Fm-3m
ID-5837289_OQMD-EnID-1472965.poscar,-2.4603,P-3m1
ID-5838040_OQMD-EnID-1473751.poscar,-2.5967,P42/mnm
ID-5838983_OQMD-EnID-1472951.poscar,-2.8095,Pnnm
ID-5847705_OQMD-EnID-1473309.poscar,-2.8453,Pnma
ID-5848446_OQMD-EnID-1472684.poscar,-2.8178,Pnma
ID-5947035_OQMD-EnID-1589770.poscar,-1.0076,Fd-3m
ID-4117299_OQMD-EnID-301302.poscar,-1.5772,I4/mmm
ID-4137318_OQMD-EnID-311844.poscar,-1.7366,Fm-3m
ID-4146561_OQMD-EnID-318903.poscar,-1.6555,P63/mmc
ID-4164624_OQMD-EnID-343389.poscar,-1.5839,Pm-3m
ID-4879413_OQMD-EnID-15704.poscar,-3.0415,P-1
ID-5576886_OQMD-EnID-1232321.poscar,-1.835,P42/mnm
ID-5594396_OQMD-EnID-1236494.poscar,-0.9581,Fd-3m
ID-5959675_OQMD-EnID-1593194.poscar,0.4096,Fd-3m
ID-4072305_OQMD-EnID-19840.poscar,-3.493,P-3m1
ID-4305309_OQMD-EnID-354237.poscar,-2.6042,Pm-3m
ID-4508889_OQMD-EnID-20302.poscar,-3.4949,C2/m
ID-4811793_OQMD-EnID-426399.poscar,-3.4665,R-3c
ID-4840749_OQMD-EnID-678196.poscar,-3.466,R-3
ID-5024397_OQMD-EnID-16544.poscar,-3.5204,Ia-3
ID-5731414_OQMD-EnID-1343290.poscar,-3.4299,Pnma
ID-5812950_OQMD-EnID-1442706.poscar,-3.3004,P321
ID-4126773_OQMD-EnID-308361.poscar,0.1104,Fm-3m
ID-4155312_OQMD-EnID-322386.poscar,-0.786,P63/mmc
ID-4170864_OQMD-EnID-346872.poscar,-0.1235,Pm-3m
ID-4518918_OQMD-EnID-297830.poscar,-0.1231,I4/mmm
ID-4891017_OQMD-EnID-359566.poscar,-2.5797,P4/mmm
ID-6005845_OQMD-EnID-1603212.poscar,0.702,P6/mmm
ID-4788693_OQMD-EnID-15703.poscar,-3.1866,R-3
