filename, _oqmd_delta_e, _oqmd_spacegroup 
ID-5760871_OQMD-EnID-1243200.poscar,0.4812,P63/mmc
ID-4085856_OQMD-EnID-11845.poscar,-0.5345,P-1
ID-4868673_OQMD-EnID-58420.poscar,-0.5506,P21/c
ID-5594363_OQMD-EnID-1236459.poscar,-0.0773,Fd-3m
ID-5947026_OQMD-EnID-1589766.poscar,1.3266,Fd-3m
ID-4113486_OQMD-EnID-299711.poscar,0.5272,I4/mmm
ID-4132170_OQMD-EnID-310253.poscar,0.5444,Fm-3m
ID-4149504_OQMD-EnID-320097.poscar,0.2559,P63/mmc
ID-4166709_OQMD-EnID-344583.poscar,0.8151,Pm-3m
ID-4817328_OQMD-EnID-69588.poscar,-0.4258,P-1
ID-4817490_OQMD-EnID-117411.poscar,-0.4297,P-1
ID-5577257_OQMD-EnID-1233410.poscar,0.1706,P42/mnm
ID-5594385_OQMD-EnID-1236460.poscar,-0.2151,Fd-3m
ID-5958599_OQMD-EnID-1592891.poscar,1.2217,Fd-3m
ID-4812735_OQMD-EnID-427488.poscar,0.06,R-3c
ID-4873752_OQMD-EnID-40391.poscar,-0.5913,P21/c
ID-4111794_OQMD-EnID-299013.poscar,0.5974,I4/mmm
ID-4129959_OQMD-EnID-309555.poscar,0.7833,Fm-3m
ID-4151280_OQMD-EnID-320795.poscar,0.5138,P63/mmc
ID-4795491_OQMD-EnID-345281.poscar,0.7948,Pm-3m
ID-6005888_OQMD-EnID-1603208.poscar,0.7227,P6/mmm
ID-4381407_OQMD-EnID-305205.poscar,0.716,Pm-3m
ID-4499208_OQMD-EnID-326289.poscar,0.5327,R-3m
ID-4511472_OQMD-EnID-336747.poscar,0.7551,P4/mmm
ID-5492172_OQMD-EnID-1104391.poscar,0.5174,Fm-3m
ID-5571244_OQMD-EnID-1222953.poscar,0.6588,F-43m
ID-5575259_OQMD-EnID-1229924.poscar,0.5534,P-6m2
ID-5760869_OQMD-EnID-1243199.poscar,0.6682,P63/mmc
ID-5760871_OQMD-EnID-1243200.poscar,0.4812,P63/mmc
ID-4085856_OQMD-EnID-11845.poscar,-0.5345,P-1
ID-4868673_OQMD-EnID-58420.poscar,-0.5506,P21/c
ID-5594363_OQMD-EnID-1236459.poscar,-0.0773,Fd-3m
ID-5947026_OQMD-EnID-1589766.poscar,1.3266,Fd-3m
ID-4113486_OQMD-EnID-299711.poscar,0.5272,I4/mmm
ID-4132170_OQMD-EnID-310253.poscar,0.5444,Fm-3m
ID-4149504_OQMD-EnID-320097.poscar,0.2559,P63/mmc
ID-4166709_OQMD-EnID-344583.poscar,0.8151,Pm-3m
ID-4817328_OQMD-EnID-69588.poscar,-0.4258,P-1
ID-4817490_OQMD-EnID-117411.poscar,-0.4297,P-1
ID-5577257_OQMD-EnID-1233410.poscar,0.1706,P42/mnm
ID-5594385_OQMD-EnID-1236460.poscar,-0.2151,Fd-3m
ID-5958599_OQMD-EnID-1592891.poscar,1.2217,Fd-3m
ID-4812735_OQMD-EnID-427488.poscar,0.06,R-3c
ID-4873752_OQMD-EnID-40391.poscar,-0.5913,P21/c
ID-4111794_OQMD-EnID-299013.poscar,0.5974,I4/mmm
ID-4129959_OQMD-EnID-309555.poscar,0.7833,Fm-3m
ID-4151280_OQMD-EnID-320795.poscar,0.5138,P63/mmc
ID-4795491_OQMD-EnID-345281.poscar,0.7948,Pm-3m
ID-6005888_OQMD-EnID-1603208.poscar,0.7227,P6/mmm
