filename, _oqmd_delta_e, _oqmd_spacegroup 
ID-6005947_OQMD-EnID-1603193.poscar,0.3178,P6/mmm
ID-4082808_OQMD-EnID-5727.poscar,-0.4768,P21/m
ID-4065495_OQMD-EnID-30892.poscar,-1.0605,I4/mmm
ID-4810362_OQMD-EnID-115589.poscar,-1.0607,I4/mmm
ID-5577487_OQMD-EnID-1234116.poscar,-1.0101,P42/mnm
ID-5946972_OQMD-EnID-1589750.poscar,0.1642,Fd-3m
ID-4815897_OQMD-EnID-428194.poscar,-1.0053,R-3c
ID-4829226_OQMD-EnID-1872.poscar,-0.6213,P21/m
ID-4124379_OQMD-EnID-304086.poscar,0.9766,I4/mmm
ID-4144254_OQMD-EnID-314628.poscar,0.9502,Fm-3m
ID-4155546_OQMD-EnID-322485.poscar,0.0843,P63/mmc
ID-4171026_OQMD-EnID-346971.poscar,0.9561,Pm-3m
ID-4817487_OQMD-EnID-646270.poscar,-0.8733,P21/c
ID-4817529_OQMD-EnID-115592.poscar,-0.8772,P21/c
ID-4336437_OQMD-EnID-353003.poscar,0.1235,Pm-3m
ID-4821576_OQMD-EnID-6404.poscar,-1.1373,I-43d
ID-4846350_OQMD-EnID-678224.poscar,-0.364,R-3
ID-5895071_OQMD-EnID-1520059.poscar,-0.5922,Immm
ID-4887504_OQMD-EnID-358332.poscar,-0.1551,P4/mmm
ID-4069305_OQMD-EnID-4778.poscar,-1.2022,Immm
ID-4487985_OQMD-EnID-307738.poscar,-0.5991,Pm-3m
ID-4518381_OQMD-EnID-339280.poscar,-0.4746,P4/mmm
ID-5494697_OQMD-EnID-1106923.poscar,-0.6183,Fm-3m
ID-5571948_OQMD-EnID-1223658.poscar,-0.5188,F-43m
ID-5575947_OQMD-EnID-1230630.poscar,-0.5747,P-6m2
ID-5577862_OQMD-EnID-1235060.poscar,-0.6173,R-3m
ID-4065372_OQMD-EnID-13996.poscar,-1.0475,Fm-3m
ID-4790241_OQMD-EnID-68823.poscar,-1.0476,Fm-3m
ID-5731179_OQMD-EnID-1343440.poscar,-1.0407,R-3m
ID-5731240_OQMD-EnID-1343639.poscar,-1.0186,Pnma
ID-5731337_OQMD-EnID-1343685.poscar,-0.8599,Pn-3m
ID-5731535_OQMD-EnID-1343399.poscar,-1.0447,R3
ID-5731712_OQMD-EnID-1343256.poscar,-1.0511,R-3m
ID-5731954_OQMD-EnID-1344055.poscar,-1.035,Fdd2
ID-5811986_OQMD-EnID-1440139.poscar,-1.0287,P-3m1
ID-5813266_OQMD-EnID-1440205.poscar,-0.9092,P63/mmc
ID-5813312_OQMD-EnID-1439942.poscar,-1.0407,C2/m
ID-5813792_OQMD-EnID-1443220.poscar,-0.9122,Cmcm
ID-5837591_OQMD-EnID-1473109.poscar,-0.8692,Fd-3m
ID-5838030_OQMD-EnID-1473765.poscar,-1.0393,P63mc
ID-5838372_OQMD-EnID-1474052.poscar,-0.9155,Ibam
ID-5839363_OQMD-EnID-1473710.poscar,-1.0341,Pnnm
ID-5840895_OQMD-EnID-1472957.poscar,-0.9281,Ibam
ID-5841132_OQMD-EnID-1474098.poscar,-1.0181,P21
ID-5841502_OQMD-EnID-1473820.poscar,-1.0453,P42/nmc
ID-5841783_OQMD-EnID-1473796.poscar,-1.029,P42/mnm
ID-5846249_OQMD-EnID-1472579.poscar,-0.996,P21/c
ID-5849265_OQMD-EnID-1474064.poscar,-1.0109,P212121
ID-5953110_OQMD-EnID-1591684.poscar,0.2902,Fd-3m
ID-4117530_OQMD-EnID-301401.poscar,-0.1283,I4/mmm
ID-4137567_OQMD-EnID-311943.poscar,-0.1051,Fm-3m
ID-4162215_OQMD-EnID-325170.poscar,-0.7008,P63/mmc
ID-4799028_OQMD-EnID-349656.poscar,-0.205,Pm-3m
ID-5782272_OQMD-EnID-1372673.poscar,-0.8348,P63/mcm
ID-6005947_OQMD-EnID-1603193.poscar,0.3178,P6/mmm
ID-4082808_OQMD-EnID-5727.poscar,-0.4768,P21/m
ID-4065495_OQMD-EnID-30892.poscar,-1.0605,I4/mmm
ID-4810362_OQMD-EnID-115589.poscar,-1.0607,I4/mmm
ID-5577487_OQMD-EnID-1234116.poscar,-1.0101,P42/mnm
ID-5946972_OQMD-EnID-1589750.poscar,0.1642,Fd-3m
ID-4815897_OQMD-EnID-428194.poscar,-1.0053,R-3c
ID-4829226_OQMD-EnID-1872.poscar,-0.6213,P21/m
ID-4124379_OQMD-EnID-304086.poscar,0.9766,I4/mmm
ID-4144254_OQMD-EnID-314628.poscar,0.9502,Fm-3m
ID-4155546_OQMD-EnID-322485.poscar,0.0843,P63/mmc
ID-4171026_OQMD-EnID-346971.poscar,0.9561,Pm-3m
ID-4817487_OQMD-EnID-646270.poscar,-0.8733,P21/c
ID-4817529_OQMD-EnID-115592.poscar,-0.8772,P21/c
ID-4336437_OQMD-EnID-353003.poscar,0.1235,Pm-3m
ID-4821576_OQMD-EnID-6404.poscar,-1.1373,I-43d
ID-4846350_OQMD-EnID-678224.poscar,-0.364,R-3
ID-5895071_OQMD-EnID-1520059.poscar,-0.5922,Immm
ID-4887504_OQMD-EnID-358332.poscar,-0.1551,P4/mmm
ID-4069305_OQMD-EnID-4778.poscar,-1.2022,Immm
ID-4487985_OQMD-EnID-307738.poscar,-0.5991,Pm-3m
ID-4518381_OQMD-EnID-339280.poscar,-0.4746,P4/mmm
ID-5494697_OQMD-EnID-1106923.poscar,-0.6183,Fm-3m
ID-5571948_OQMD-EnID-1223658.poscar,-0.5188,F-43m
ID-5575947_OQMD-EnID-1230630.poscar,-0.5747,P-6m2
ID-5577862_OQMD-EnID-1235060.poscar,-0.6173,R-3m
ID-4065372_OQMD-EnID-13996.poscar,-1.0475,Fm-3m
ID-4790241_OQMD-EnID-68823.poscar,-1.0476,Fm-3m
ID-5731179_OQMD-EnID-1343440.poscar,-1.0407,R-3m
ID-5731240_OQMD-EnID-1343639.poscar,-1.0186,Pnma
ID-5731337_OQMD-EnID-1343685.poscar,-0.8599,Pn-3m
ID-5731535_OQMD-EnID-1343399.poscar,-1.0447,R3
ID-5731712_OQMD-EnID-1343256.poscar,-1.0511,R-3m
ID-5731954_OQMD-EnID-1344055.poscar,-1.035,Fdd2
ID-5811986_OQMD-EnID-1440139.poscar,-1.0287,P-3m1
ID-5813266_OQMD-EnID-1440205.poscar,-0.9092,P63/mmc
ID-5813312_OQMD-EnID-1439942.poscar,-1.0407,C2/m
ID-5813792_OQMD-EnID-1443220.poscar,-0.9122,Cmcm
ID-5837591_OQMD-EnID-1473109.poscar,-0.8692,Fd-3m
ID-5838030_OQMD-EnID-1473765.poscar,-1.0393,P63mc
ID-5838372_OQMD-EnID-1474052.poscar,-0.9155,Ibam
ID-5839363_OQMD-EnID-1473710.poscar,-1.0341,Pnnm
ID-5840895_OQMD-EnID-1472957.poscar,-0.9281,Ibam
ID-5841132_OQMD-EnID-1474098.poscar,-1.0181,P21
ID-5841502_OQMD-EnID-1473820.poscar,-1.0453,P42/nmc
ID-5841783_OQMD-EnID-1473796.poscar,-1.029,P42/mnm
ID-5846249_OQMD-EnID-1472579.poscar,-0.996,P21/c
ID-5849265_OQMD-EnID-1474064.poscar,-1.0109,P212121
ID-5953110_OQMD-EnID-1591684.poscar,0.2902,Fd-3m
ID-4117530_OQMD-EnID-301401.poscar,-0.1283,I4/mmm
ID-4137567_OQMD-EnID-311943.poscar,-0.1051,Fm-3m
ID-4162215_OQMD-EnID-325170.poscar,-0.7008,P63/mmc
ID-4799028_OQMD-EnID-349656.poscar,-0.205,Pm-3m
ID-5782272_OQMD-EnID-1372673.poscar,-0.8348,P63/mcm
ID-6005947_OQMD-EnID-1603193.poscar,0.3178,P6/mmm
ID-4082808_OQMD-EnID-5727.poscar,-0.4768,P21/m
ID-4065495_OQMD-EnID-30892.poscar,-1.0605,I4/mmm
ID-4810362_OQMD-EnID-115589.poscar,-1.0607,I4/mmm
ID-5577487_OQMD-EnID-1234116.poscar,-1.0101,P42/mnm
ID-5946972_OQMD-EnID-1589750.poscar,0.1642,Fd-3m
ID-4815897_OQMD-EnID-428194.poscar,-1.0053,R-3c
ID-4829226_OQMD-EnID-1872.poscar,-0.6213,P21/m
ID-4124379_OQMD-EnID-304086.poscar,0.9766,I4/mmm
ID-4144254_OQMD-EnID-314628.poscar,0.9502,Fm-3m
ID-4155546_OQMD-EnID-322485.poscar,0.0843,P63/mmc
ID-4171026_OQMD-EnID-346971.poscar,0.9561,Pm-3m
ID-4817487_OQMD-EnID-646270.poscar,-0.8733,P21/c
ID-4817529_OQMD-EnID-115592.poscar,-0.8772,P21/c
ID-4336437_OQMD-EnID-353003.poscar,0.1235,Pm-3m
ID-4821576_OQMD-EnID-6404.poscar,-1.1373,I-43d
ID-4846350_OQMD-EnID-678224.poscar,-0.364,R-3
ID-5895071_OQMD-EnID-1520059.poscar,-0.5922,Immm
ID-4887504_OQMD-EnID-358332.poscar,-0.1551,P4/mmm
ID-4069305_OQMD-EnID-4778.poscar,-1.2022,Immm
ID-4487985_OQMD-EnID-307738.poscar,-0.5991,Pm-3m
ID-4518381_OQMD-EnID-339280.poscar,-0.4746,P4/mmm
ID-5494697_OQMD-EnID-1106923.poscar,-0.6183,Fm-3m
ID-5571948_OQMD-EnID-1223658.poscar,-0.5188,F-43m
ID-5575947_OQMD-EnID-1230630.poscar,-0.5747,P-6m2
ID-5577862_OQMD-EnID-1235060.poscar,-0.6173,R-3m
ID-4065372_OQMD-EnID-13996.poscar,-1.0475,Fm-3m
ID-4790241_OQMD-EnID-68823.poscar,-1.0476,Fm-3m
ID-5731179_OQMD-EnID-1343440.poscar,-1.0407,R-3m
ID-5731240_OQMD-EnID-1343639.poscar,-1.0186,Pnma
ID-5731337_OQMD-EnID-1343685.poscar,-0.8599,Pn-3m
ID-5731535_OQMD-EnID-1343399.poscar,-1.0447,R3
ID-5731712_OQMD-EnID-1343256.poscar,-1.0511,R-3m
ID-5731954_OQMD-EnID-1344055.poscar,-1.035,Fdd2
ID-5811986_OQMD-EnID-1440139.poscar,-1.0287,P-3m1
ID-5813266_OQMD-EnID-1440205.poscar,-0.9092,P63/mmc
ID-5813312_OQMD-EnID-1439942.poscar,-1.0407,C2/m
ID-5813792_OQMD-EnID-1443220.poscar,-0.9122,Cmcm
ID-5837591_OQMD-EnID-1473109.poscar,-0.8692,Fd-3m
ID-5838030_OQMD-EnID-1473765.poscar,-1.0393,P63mc
ID-5838372_OQMD-EnID-1474052.poscar,-0.9155,Ibam
ID-5839363_OQMD-EnID-1473710.poscar,-1.0341,Pnnm
ID-5840895_OQMD-EnID-1472957.poscar,-0.9281,Ibam
ID-5841132_OQMD-EnID-1474098.poscar,-1.0181,P21
ID-5841502_OQMD-EnID-1473820.poscar,-1.0453,P42/nmc
ID-5841783_OQMD-EnID-1473796.poscar,-1.029,P42/mnm
ID-5846249_OQMD-EnID-1472579.poscar,-0.996,P21/c
ID-5849265_OQMD-EnID-1474064.poscar,-1.0109,P212121
ID-5953110_OQMD-EnID-1591684.poscar,0.2902,Fd-3m
ID-4117530_OQMD-EnID-301401.poscar,-0.1283,I4/mmm
ID-4137567_OQMD-EnID-311943.poscar,-0.1051,Fm-3m
ID-4162215_OQMD-EnID-325170.poscar,-0.7008,P63/mmc
ID-4799028_OQMD-EnID-349656.poscar,-0.205,Pm-3m
ID-5782272_OQMD-EnID-1372673.poscar,-0.8348,P63/mcm
ID-6005947_OQMD-EnID-1603193.poscar,0.3178,P6/mmm
ID-4082808_OQMD-EnID-5727.poscar,-0.4768,P21/m
ID-4065495_OQMD-EnID-30892.poscar,-1.0605,I4/mmm
ID-4810362_OQMD-EnID-115589.poscar,-1.0607,I4/mmm
ID-5577487_OQMD-EnID-1234116.poscar,-1.0101,P42/mnm
ID-5946972_OQMD-EnID-1589750.poscar,0.1642,Fd-3m
ID-4815897_OQMD-EnID-428194.poscar,-1.0053,R-3c
ID-4829226_OQMD-EnID-1872.poscar,-0.6213,P21/m
ID-4124379_OQMD-EnID-304086.poscar,0.9766,I4/mmm
ID-4144254_OQMD-EnID-314628.poscar,0.9502,Fm-3m
ID-4155546_OQMD-EnID-322485.poscar,0.0843,P63/mmc
ID-4171026_OQMD-EnID-346971.poscar,0.9561,Pm-3m
ID-4817487_OQMD-EnID-646270.poscar,-0.8733,P21/c
ID-4817529_OQMD-EnID-115592.poscar,-0.8772,P21/c
ID-4336437_OQMD-EnID-353003.poscar,0.1235,Pm-3m
ID-4821576_OQMD-EnID-6404.poscar,-1.1373,I-43d
ID-4846350_OQMD-EnID-678224.poscar,-0.364,R-3
ID-5895071_OQMD-EnID-1520059.poscar,-0.5922,Immm
ID-4887504_OQMD-EnID-358332.poscar,-0.1551,P4/mmm
