filename, _oqmd_delta_e, _oqmd_spacegroup 
ID-4134363_OQMD-EnID-310989.poscar,0.6854,Fm-3m
ID-4149018_OQMD-EnID-319894.poscar,0.0944,P63/mmc
ID-4166361_OQMD-EnID-344380.poscar,0.9448,Pm-3m
ID-4877376_OQMD-EnID-3731.poscar,-0.6302,P-421c
ID-5731148_OQMD-EnID-1343780.poscar,-0.5855,P21/c
ID-5731159_OQMD-EnID-1344098.poscar,-0.3025,P21/m
ID-5731922_OQMD-EnID-1344017.poscar,-0.4493,R-3c
ID-5814988_OQMD-EnID-1441945.poscar,-0.578,Ama2
ID-4862046_OQMD-EnID-2770.poscar,-0.8038,P21/c
ID-6039270_OQMD-EnID-1739417.poscar,-0.5145,Cmc21
ID-4469247_OQMD-EnID-305924.poscar,0.58,Pm-3m
ID-4501392_OQMD-EnID-327008.poscar,0.3471,R-3m
ID-4513356_OQMD-EnID-337466.poscar,0.7483,P4/mmm
ID-5492887_OQMD-EnID-1105109.poscar,0.3697,Fm-3m
ID-5571955_OQMD-EnID-1223665.poscar,0.4583,F-43m
ID-5575954_OQMD-EnID-1230637.poscar,0.294,P-6m2
ID-5597796_OQMD-EnID-1239535.poscar,0.3261,Fd-3m
ID-5779399_OQMD-EnID-1434948.poscar,0.6866,Fm-3m
ID-5952295_OQMD-EnID-1591534.poscar,0.9971,Fd-3m
ID-4111326_OQMD-EnID-298812.poscar,0.5355,I4/mmm
ID-4129305_OQMD-EnID-309352.poscar,0.6219,Fm-3m
ID-4153191_OQMD-EnID-321531.poscar,0.3996,P63/mmc
ID-4796115_OQMD-EnID-346017.poscar,0.7677,Pm-3m
ID-6005115_OQMD-EnID-1603191.poscar,0.8266,P6/mmm
ID-4082679_OQMD-EnID-4506.poscar,-0.9111,P42/mbc
ID-4104345_OQMD-EnID-16878.poscar,-0.9387,Pmc21
ID-4856217_OQMD-EnID-16879.poscar,-0.9352,Pmc21
ID-4866315_OQMD-EnID-11202.poscar,-0.9531,Pbam
ID-5577494_OQMD-EnID-1234123.poscar,-0.5929,P42/mnm
ID-5597797_OQMD-EnID-1239536.poscar,-0.5373,Fd-3m
ID-5731071_OQMD-EnID-1343643.poscar,-0.9,P21/c
ID-5731275_OQMD-EnID-1343844.poscar,-0.8747,Pbcn
ID-5731472_OQMD-EnID-1344076.poscar,-0.928,Pbca
ID-5731795_OQMD-EnID-1343469.poscar,-0.8993,P21/c
ID-5811490_OQMD-EnID-1440475.poscar,-0.3196,Fm-3m
ID-5811783_OQMD-EnID-1440812.poscar,-0.4279,C2/m
ID-5813480_OQMD-EnID-1442049.poscar,0.0312,Cmcm
ID-5815740_OQMD-EnID-1440703.poscar,-0.5668,C2/m
ID-5816849_OQMD-EnID-1439861.poscar,-0.7951,Pnma
ID-5817237_OQMD-EnID-1441611.poscar,-0.934,P212121
ID-5817269_OQMD-EnID-1441636.poscar,-0.9194,P41212
ID-5817313_OQMD-EnID-1441666.poscar,-0.7589,P21/m
ID-5817919_OQMD-EnID-1444381.poscar,-0.7209,I4/m
ID-5837864_OQMD-EnID-1473717.poscar,-0.1105,R3m
ID-5838383_OQMD-EnID-1472730.poscar,-0.1107,P63/mmc
ID-5849251_OQMD-EnID-1473866.poscar,-0.7443,Pmn21
ID-5946970_OQMD-EnID-1589748.poscar,1.2962,Fd-3m
ID-6037021_OQMD-EnID-1739309.poscar,-0.9065,P1
ID-4812537_OQMD-EnID-428201.poscar,0.179,R-3c
ID-4115265_OQMD-EnID-300447.poscar,0.7745,I4/mmm
ID-4134363_OQMD-EnID-310989.poscar,0.6854,Fm-3m
ID-4149018_OQMD-EnID-319894.poscar,0.0944,P63/mmc
ID-4166361_OQMD-EnID-344380.poscar,0.9448,Pm-3m
ID-4877376_OQMD-EnID-3731.poscar,-0.6302,P-421c
ID-5731148_OQMD-EnID-1343780.poscar,-0.5855,P21/c
ID-5731159_OQMD-EnID-1344098.poscar,-0.3025,P21/m
ID-5731922_OQMD-EnID-1344017.poscar,-0.4493,R-3c
ID-5814988_OQMD-EnID-1441945.poscar,-0.578,Ama2
ID-4862046_OQMD-EnID-2770.poscar,-0.8038,P21/c
ID-6039270_OQMD-EnID-1739417.poscar,-0.5145,Cmc21
ID-4469247_OQMD-EnID-305924.poscar,0.58,Pm-3m
ID-4501392_OQMD-EnID-327008.poscar,0.3471,R-3m
ID-4513356_OQMD-EnID-337466.poscar,0.7483,P4/mmm
ID-5492887_OQMD-EnID-1105109.poscar,0.3697,Fm-3m
ID-5571955_OQMD-EnID-1223665.poscar,0.4583,F-43m
ID-5575954_OQMD-EnID-1230637.poscar,0.294,P-6m2
ID-5597796_OQMD-EnID-1239535.poscar,0.3261,Fd-3m
ID-5779399_OQMD-EnID-1434948.poscar,0.6866,Fm-3m
ID-5952295_OQMD-EnID-1591534.poscar,0.9971,Fd-3m
ID-4111326_OQMD-EnID-298812.poscar,0.5355,I4/mmm
ID-4129305_OQMD-EnID-309352.poscar,0.6219,Fm-3m
ID-4153191_OQMD-EnID-321531.poscar,0.3996,P63/mmc
ID-4796115_OQMD-EnID-346017.poscar,0.7677,Pm-3m
ID-6005115_OQMD-EnID-1603191.poscar,0.8266,P6/mmm
ID-4082679_OQMD-EnID-4506.poscar,-0.9111,P42/mbc
ID-4104345_OQMD-EnID-16878.poscar,-0.9387,Pmc21
ID-4856217_OQMD-EnID-16879.poscar,-0.9352,Pmc21
ID-4866315_OQMD-EnID-11202.poscar,-0.9531,Pbam
ID-5577494_OQMD-EnID-1234123.poscar,-0.5929,P42/mnm
ID-5597797_OQMD-EnID-1239536.poscar,-0.5373,Fd-3m
ID-5731071_OQMD-EnID-1343643.poscar,-0.9,P21/c
ID-5731275_OQMD-EnID-1343844.poscar,-0.8747,Pbcn
ID-5731472_OQMD-EnID-1344076.poscar,-0.928,Pbca
ID-5731795_OQMD-EnID-1343469.poscar,-0.8993,P21/c
ID-5811490_OQMD-EnID-1440475.poscar,-0.3196,Fm-3m
ID-5811783_OQMD-EnID-1440812.poscar,-0.4279,C2/m
ID-5813480_OQMD-EnID-1442049.poscar,0.0312,Cmcm
ID-5815740_OQMD-EnID-1440703.poscar,-0.5668,C2/m
ID-5816849_OQMD-EnID-1439861.poscar,-0.7951,Pnma
ID-5817237_OQMD-EnID-1441611.poscar,-0.934,P212121
ID-5817269_OQMD-EnID-1441636.poscar,-0.9194,P41212
ID-5817313_OQMD-EnID-1441666.poscar,-0.7589,P21/m
ID-5817919_OQMD-EnID-1444381.poscar,-0.7209,I4/m
ID-5837864_OQMD-EnID-1473717.poscar,-0.1105,R3m
ID-5838383_OQMD-EnID-1472730.poscar,-0.1107,P63/mmc
ID-5849251_OQMD-EnID-1473866.poscar,-0.7443,Pmn21
ID-5946970_OQMD-EnID-1589748.poscar,1.2962,Fd-3m
ID-6037021_OQMD-EnID-1739309.poscar,-0.9065,P1
ID-4812537_OQMD-EnID-428201.poscar,0.179,R-3c
ID-4115265_OQMD-EnID-300447.poscar,0.7745,I4/mmm
ID-4134363_OQMD-EnID-310989.poscar,0.6854,Fm-3m
ID-4149018_OQMD-EnID-319894.poscar,0.0944,P63/mmc
ID-4166361_OQMD-EnID-344380.poscar,0.9448,Pm-3m
ID-4877376_OQMD-EnID-3731.poscar,-0.6302,P-421c
ID-5731148_OQMD-EnID-1343780.poscar,-0.5855,P21/c
ID-5731159_OQMD-EnID-1344098.poscar,-0.3025,P21/m
ID-5731922_OQMD-EnID-1344017.poscar,-0.4493,R-3c
ID-5814988_OQMD-EnID-1441945.poscar,-0.578,Ama2
ID-4862046_OQMD-EnID-2770.poscar,-0.8038,P21/c
ID-6039270_OQMD-EnID-1739417.poscar,-0.5145,Cmc21
ID-4469247_OQMD-EnID-305924.poscar,0.58,Pm-3m
ID-4501392_OQMD-EnID-327008.poscar,0.3471,R-3m
ID-4513356_OQMD-EnID-337466.poscar,0.7483,P4/mmm
ID-5492887_OQMD-EnID-1105109.poscar,0.3697,Fm-3m
ID-5571955_OQMD-EnID-1223665.poscar,0.4583,F-43m
ID-5575954_OQMD-EnID-1230637.poscar,0.294,P-6m2
ID-5597796_OQMD-EnID-1239535.poscar,0.3261,Fd-3m
ID-5779399_OQMD-EnID-1434948.poscar,0.6866,Fm-3m
ID-5952295_OQMD-EnID-1591534.poscar,0.9971,Fd-3m
ID-4111326_OQMD-EnID-298812.poscar,0.5355,I4/mmm
ID-4129305_OQMD-EnID-309352.poscar,0.6219,Fm-3m
ID-4153191_OQMD-EnID-321531.poscar,0.3996,P63/mmc
ID-4796115_OQMD-EnID-346017.poscar,0.7677,Pm-3m
ID-6005115_OQMD-EnID-1603191.poscar,0.8266,P6/mmm
ID-4082679_OQMD-EnID-4506.poscar,-0.9111,P42/mbc
ID-4104345_OQMD-EnID-16878.poscar,-0.9387,Pmc21
ID-4856217_OQMD-EnID-16879.poscar,-0.9352,Pmc21
ID-4866315_OQMD-EnID-11202.poscar,-0.9531,Pbam
ID-5577494_OQMD-EnID-1234123.poscar,-0.5929,P42/mnm
ID-5597797_OQMD-EnID-1239536.poscar,-0.5373,Fd-3m
ID-5731071_OQMD-EnID-1343643.poscar,-0.9,P21/c
ID-5731275_OQMD-EnID-1343844.poscar,-0.8747,Pbcn
ID-5731472_OQMD-EnID-1344076.poscar,-0.928,Pbca
ID-5731795_OQMD-EnID-1343469.poscar,-0.8993,P21/c
ID-5811490_OQMD-EnID-1440475.poscar,-0.3196,Fm-3m
ID-5811783_OQMD-EnID-1440812.poscar,-0.4279,C2/m
ID-5813480_OQMD-EnID-1442049.poscar,0.0312,Cmcm
ID-5815740_OQMD-EnID-1440703.poscar,-0.5668,C2/m
ID-5816849_OQMD-EnID-1439861.poscar,-0.7951,Pnma
ID-5817237_OQMD-EnID-1441611.poscar,-0.934,P212121
ID-5817269_OQMD-EnID-1441636.poscar,-0.9194,P41212
ID-5817313_OQMD-EnID-1441666.poscar,-0.7589,P21/m
ID-5817919_OQMD-EnID-1444381.poscar,-0.7209,I4/m
ID-5837864_OQMD-EnID-1473717.poscar,-0.1105,R3m
ID-5838383_OQMD-EnID-1472730.poscar,-0.1107,P63/mmc
ID-5849251_OQMD-EnID-1473866.poscar,-0.7443,Pmn21
ID-5946970_OQMD-EnID-1589748.poscar,1.2962,Fd-3m
ID-6037021_OQMD-EnID-1739309.poscar,-0.9065,P1
ID-4812537_OQMD-EnID-428201.poscar,0.179,R-3c
ID-4115265_OQMD-EnID-300447.poscar,0.7745,I4/mmm
ID-4134363_OQMD-EnID-310989.poscar,0.6854,Fm-3m
ID-4149018_OQMD-EnID-319894.poscar,0.0944,P63/mmc
ID-4166361_OQMD-EnID-344380.poscar,0.9448,Pm-3m
ID-4877376_OQMD-EnID-3731.poscar,-0.6302,P-421c
ID-5731148_OQMD-EnID-1343780.poscar,-0.5855,P21/c
ID-5731159_OQMD-EnID-1344098.poscar,-0.3025,P21/m
ID-5731922_OQMD-EnID-1344017.poscar,-0.4493,R-3c
ID-5814988_OQMD-EnID-1441945.poscar,-0.578,Ama2
ID-4862046_OQMD-EnID-2770.poscar,-0.8038,P21/c
ID-6039270_OQMD-EnID-1739417.poscar,-0.5145,Cmc21
