filename, _oqmd_delta_e, _oqmd_spacegroup 
ID-5577064_OQMD-EnID-1232783.poscar,-1.9708,P42/mnm
ID-5598421_OQMD-EnID-1240340.poscar,-1.1044,Fd-3m
ID-5961925_OQMD-EnID-1593953.poscar,0.6156,Fd-3m
ID-4071213_OQMD-EnID-20296.poscar,-3.8227,P-3m1
ID-4082775_OQMD-EnID-5432.poscar,-3.8852,I213
ID-4303806_OQMD-EnID-354088.poscar,-2.9473,Pm-3m
ID-4508922_OQMD-EnID-26717.poscar,-3.8484,C2/m
ID-4811907_OQMD-EnID-426861.poscar,-3.8462,R-3c
ID-5000694_OQMD-EnID-5390.poscar,-3.8966,Ia-3
ID-5731388_OQMD-EnID-1343632.poscar,-3.7534,Pnma
ID-5731431_OQMD-EnID-1344095.poscar,-3.7104,Fddd
ID-5731432_OQMD-EnID-1343390.poscar,-3.7557,P21/c
ID-5731564_OQMD-EnID-1344033.poscar,-3.8447,P21/m
ID-5812951_OQMD-EnID-1442707.poscar,-3.6879,P321
ID-5813156_OQMD-EnID-1444193.poscar,-3.6848,P-62m
ID-5816096_OQMD-EnID-1440984.poscar,-3.7046,Fdd2
ID-5816217_OQMD-EnID-1440964.poscar,-3.8443,C2/c
ID-5816250_OQMD-EnID-1442523.poscar,-3.3852,Pn-3m
ID-5838760_OQMD-EnID-1473705.poscar,-3.6528,R-3m
ID-4110648_OQMD-EnID-298529.poscar,-0.1203,I4/mmm
ID-4128564_OQMD-EnID-309067.poscar,0.204,Fm-3m
ID-4148463_OQMD-EnID-319678.poscar,-0.8392,P63/mmc
ID-4165941_OQMD-EnID-344164.poscar,0.0244,Pm-3m
ID-4890858_OQMD-EnID-359417.poscar,-3.1539,P4/mmm
ID-6005582_OQMD-EnID-1603221.poscar,0.7883,P6/mmm
ID-4374183_OQMD-EnID-304956.poscar,-2.3357,Pm-3m
ID-4498572_OQMD-EnID-326040.poscar,-2.9967,R-3m
ID-4510779_OQMD-EnID-336498.poscar,-2.067,P4/mmm
ID-5491925_OQMD-EnID-1104142.poscar,-2.9966,Fm-3m
ID-5570618_OQMD-EnID-1222326.poscar,-2.9538,F-43m
ID-5574645_OQMD-EnID-1229297.poscar,-2.752,P-6m2
ID-5598412_OQMD-EnID-1240339.poscar,-2.5297,Fd-3m
ID-5760980_OQMD-EnID-1373154.poscar,-3.2999,C2/m
ID-5947065_OQMD-EnID-1589780.poscar,-0.8448,Fd-3m
ID-4110801_OQMD-EnID-298598.poscar,-1.7389,I4/mmm
ID-4128741_OQMD-EnID-309136.poscar,-1.7865,Fm-3m
ID-4148295_OQMD-EnID-319609.poscar,-1.7824,P63/mmc
ID-4165824_OQMD-EnID-344095.poscar,-1.7159,Pm-3m
ID-5577064_OQMD-EnID-1232783.poscar,-1.9708,P42/mnm
ID-5598421_OQMD-EnID-1240340.poscar,-1.1044,Fd-3m
ID-5961925_OQMD-EnID-1593953.poscar,0.6156,Fd-3m
ID-4071213_OQMD-EnID-20296.poscar,-3.8227,P-3m1
ID-4082775_OQMD-EnID-5432.poscar,-3.8852,I213
ID-4303806_OQMD-EnID-354088.poscar,-2.9473,Pm-3m
ID-4508922_OQMD-EnID-26717.poscar,-3.8484,C2/m
ID-4811907_OQMD-EnID-426861.poscar,-3.8462,R-3c
ID-5000694_OQMD-EnID-5390.poscar,-3.8966,Ia-3
ID-5731388_OQMD-EnID-1343632.poscar,-3.7534,Pnma
ID-5731431_OQMD-EnID-1344095.poscar,-3.7104,Fddd
ID-5731432_OQMD-EnID-1343390.poscar,-3.7557,P21/c
ID-5731564_OQMD-EnID-1344033.poscar,-3.8447,P21/m
ID-5812951_OQMD-EnID-1442707.poscar,-3.6879,P321
ID-5813156_OQMD-EnID-1444193.poscar,-3.6848,P-62m
ID-5816096_OQMD-EnID-1440984.poscar,-3.7046,Fdd2
ID-5816217_OQMD-EnID-1440964.poscar,-3.8443,C2/c
ID-5816250_OQMD-EnID-1442523.poscar,-3.3852,Pn-3m
ID-5838760_OQMD-EnID-1473705.poscar,-3.6528,R-3m
ID-4110648_OQMD-EnID-298529.poscar,-0.1203,I4/mmm
ID-4128564_OQMD-EnID-309067.poscar,0.204,Fm-3m
ID-4148463_OQMD-EnID-319678.poscar,-0.8392,P63/mmc
ID-4165941_OQMD-EnID-344164.poscar,0.0244,Pm-3m
ID-4890858_OQMD-EnID-359417.poscar,-3.1539,P4/mmm
ID-6005582_OQMD-EnID-1603221.poscar,0.7883,P6/mmm
ID-4374183_OQMD-EnID-304956.poscar,-2.3357,Pm-3m
ID-4498572_OQMD-EnID-326040.poscar,-2.9967,R-3m
ID-4510779_OQMD-EnID-336498.poscar,-2.067,P4/mmm
ID-5491925_OQMD-EnID-1104142.poscar,-2.9966,Fm-3m
ID-5570618_OQMD-EnID-1222326.poscar,-2.9538,F-43m
ID-5574645_OQMD-EnID-1229297.poscar,-2.752,P-6m2
ID-5598412_OQMD-EnID-1240339.poscar,-2.5297,Fd-3m
ID-5760980_OQMD-EnID-1373154.poscar,-3.2999,C2/m
ID-5947065_OQMD-EnID-1589780.poscar,-0.8448,Fd-3m
ID-4110801_OQMD-EnID-298598.poscar,-1.7389,I4/mmm
ID-4128741_OQMD-EnID-309136.poscar,-1.7865,Fm-3m
ID-4148295_OQMD-EnID-319609.poscar,-1.7824,P63/mmc
ID-4165824_OQMD-EnID-344095.poscar,-1.7159,Pm-3m
ID-5577064_OQMD-EnID-1232783.poscar,-1.9708,P42/mnm
ID-5598421_OQMD-EnID-1240340.poscar,-1.1044,Fd-3m
ID-5961925_OQMD-EnID-1593953.poscar,0.6156,Fd-3m
ID-4071213_OQMD-EnID-20296.poscar,-3.8227,P-3m1
ID-4082775_OQMD-EnID-5432.poscar,-3.8852,I213
ID-4303806_OQMD-EnID-354088.poscar,-2.9473,Pm-3m
ID-4508922_OQMD-EnID-26717.poscar,-3.8484,C2/m
ID-4811907_OQMD-EnID-426861.poscar,-3.8462,R-3c
ID-5000694_OQMD-EnID-5390.poscar,-3.8966,Ia-3
ID-5731388_OQMD-EnID-1343632.poscar,-3.7534,Pnma
ID-5731431_OQMD-EnID-1344095.poscar,-3.7104,Fddd
ID-5731432_OQMD-EnID-1343390.poscar,-3.7557,P21/c
ID-5731564_OQMD-EnID-1344033.poscar,-3.8447,P21/m
ID-5812951_OQMD-EnID-1442707.poscar,-3.6879,P321
ID-5813156_OQMD-EnID-1444193.poscar,-3.6848,P-62m
ID-5816096_OQMD-EnID-1440984.poscar,-3.7046,Fdd2
ID-5816217_OQMD-EnID-1440964.poscar,-3.8443,C2/c
ID-5816250_OQMD-EnID-1442523.poscar,-3.3852,Pn-3m
ID-5838760_OQMD-EnID-1473705.poscar,-3.6528,R-3m
ID-4110648_OQMD-EnID-298529.poscar,-0.1203,I4/mmm
ID-4128564_OQMD-EnID-309067.poscar,0.204,Fm-3m
ID-4148463_OQMD-EnID-319678.poscar,-0.8392,P63/mmc
ID-4165941_OQMD-EnID-344164.poscar,0.0244,Pm-3m
ID-4890858_OQMD-EnID-359417.poscar,-3.1539,P4/mmm
ID-6005582_OQMD-EnID-1603221.poscar,0.7883,P6/mmm
