filename, _oqmd_delta_e, _oqmd_spacegroup 
ID-4518333_OQMD-EnID-339262.poscar,0.2217,P4/mmm
ID-5494679_OQMD-EnID-1106905.poscar,-0.2489,Fm-3m
ID-5569432_OQMD-EnID-1218410.poscar,-0.2032,F-43m
ID-5573510_OQMD-EnID-1228090.poscar,-0.3139,P-6m2
ID-5762918_OQMD-EnID-1243547.poscar,-0.2001,P63/mmc
ID-5762957_OQMD-EnID-1243548.poscar,-0.3541,P63/mmc
ID-4854132_OQMD-EnID-2748.poscar,-1.3891,Pnma
ID-5595237_OQMD-EnID-1236798.poscar,-1.2115,Fd-3m
ID-5946969_OQMD-EnID-1589747.poscar,0.9426,Fd-3m
ID-6054248_OQMD-EnID-1757649.poscar,-1.3721,P21/m
ID-4111086_OQMD-EnID-298719.poscar,0.2607,I4/mmm
ID-4129074_OQMD-EnID-309257.poscar,0.3633,Fm-3m
ID-4162143_OQMD-EnID-325139.poscar,0.4271,P63/mmc
ID-4175772_OQMD-EnID-349625.poscar,0.5656,Pm-3m
ID-5576710_OQMD-EnID-1231576.poscar,-0.1531,P42/mnm
ID-5593540_OQMD-EnID-1250822.poscar,-0.5867,P21
ID-5594367_OQMD-EnID-1251444.poscar,-0.5638,C2/m
ID-5595238_OQMD-EnID-1236799.poscar,0.479,Fd-3m
ID-5603076_OQMD-EnID-1253311.poscar,-0.2001,P-3m1
ID-5952078_OQMD-EnID-1591459.poscar,0.7615,Fd-3m
ID-4292379_OQMD-EnID-353027.poscar,-0.5212,Pm-3m
ID-4812348_OQMD-EnID-425654.poscar,-1.2985,R-3c
ID-4818678_OQMD-EnID-5363.poscar,-1.4357,P21/c
ID-4821501_OQMD-EnID-2070.poscar,-1.4267,Fd-3m
ID-4821975_OQMD-EnID-671418.poscar,-1.4461,P21/c
ID-5731366_OQMD-EnID-1343306.poscar,-1.3897,Pccn
ID-5837144_OQMD-EnID-1474254.poscar,-0.894,R-3m
ID-4861554_OQMD-EnID-2627.poscar,-1.3569,P41212
ID-5731074_OQMD-EnID-1343552.poscar,-1.2679,C2/c
ID-5731400_OQMD-EnID-1343650.poscar,-1.1959,Fdd2
ID-5731547_OQMD-EnID-1343845.poscar,-1.19,P1
ID-6037730_OQMD-EnID-1739434.poscar,-1.0352,Pmmn
ID-4124310_OQMD-EnID-304055.poscar,0.3485,I4/mmm
ID-4144179_OQMD-EnID-314597.poscar,0.2507,Fm-3m
ID-4148784_OQMD-EnID-319799.poscar,0.1155,P63/mmc
ID-4166181_OQMD-EnID-344285.poscar,0.5281,Pm-3m
ID-5610827_OQMD-EnID-1251664.poscar,-0.3861,Cmc21
ID-4887006_OQMD-EnID-358356.poscar,-0.4583,P4/mmm
ID-6005114_OQMD-EnID-1603190.poscar,0.5688,P6/mmm
ID-5524101_OQMD-EnID-1201995.poscar,0.1034,I4/mmm
ID-5609589_OQMD-EnID-1258452.poscar,0.1748,Cmca
ID-6039396_OQMD-EnID-1732736.poscar,-1.2525,P1
ID-4487820_OQMD-EnID-307720.poscar,0.0261,Pm-3m
ID-4508115_OQMD-EnID-328804.poscar,-0.3121,R-3m
ID-4518333_OQMD-EnID-339262.poscar,0.2217,P4/mmm
ID-5494679_OQMD-EnID-1106905.poscar,-0.2489,Fm-3m
ID-5569432_OQMD-EnID-1218410.poscar,-0.2032,F-43m
ID-5573510_OQMD-EnID-1228090.poscar,-0.3139,P-6m2
ID-5762918_OQMD-EnID-1243547.poscar,-0.2001,P63/mmc
ID-5762957_OQMD-EnID-1243548.poscar,-0.3541,P63/mmc
ID-4854132_OQMD-EnID-2748.poscar,-1.3891,Pnma
ID-5595237_OQMD-EnID-1236798.poscar,-1.2115,Fd-3m
ID-5946969_OQMD-EnID-1589747.poscar,0.9426,Fd-3m
ID-6054248_OQMD-EnID-1757649.poscar,-1.3721,P21/m
ID-4111086_OQMD-EnID-298719.poscar,0.2607,I4/mmm
ID-4129074_OQMD-EnID-309257.poscar,0.3633,Fm-3m
ID-4162143_OQMD-EnID-325139.poscar,0.4271,P63/mmc
ID-4175772_OQMD-EnID-349625.poscar,0.5656,Pm-3m
ID-5576710_OQMD-EnID-1231576.poscar,-0.1531,P42/mnm
ID-5593540_OQMD-EnID-1250822.poscar,-0.5867,P21
ID-5594367_OQMD-EnID-1251444.poscar,-0.5638,C2/m
ID-5595238_OQMD-EnID-1236799.poscar,0.479,Fd-3m
ID-5603076_OQMD-EnID-1253311.poscar,-0.2001,P-3m1
ID-5952078_OQMD-EnID-1591459.poscar,0.7615,Fd-3m
ID-4292379_OQMD-EnID-353027.poscar,-0.5212,Pm-3m
ID-4812348_OQMD-EnID-425654.poscar,-1.2985,R-3c
ID-4818678_OQMD-EnID-5363.poscar,-1.4357,P21/c
ID-4821501_OQMD-EnID-2070.poscar,-1.4267,Fd-3m
ID-4821975_OQMD-EnID-671418.poscar,-1.4461,P21/c
ID-5731366_OQMD-EnID-1343306.poscar,-1.3897,Pccn
ID-5837144_OQMD-EnID-1474254.poscar,-0.894,R-3m
ID-4861554_OQMD-EnID-2627.poscar,-1.3569,P41212
ID-5731074_OQMD-EnID-1343552.poscar,-1.2679,C2/c
ID-5731400_OQMD-EnID-1343650.poscar,-1.1959,Fdd2
ID-5731547_OQMD-EnID-1343845.poscar,-1.19,P1
ID-6037730_OQMD-EnID-1739434.poscar,-1.0352,Pmmn
ID-4124310_OQMD-EnID-304055.poscar,0.3485,I4/mmm
ID-4144179_OQMD-EnID-314597.poscar,0.2507,Fm-3m
ID-4148784_OQMD-EnID-319799.poscar,0.1155,P63/mmc
ID-4166181_OQMD-EnID-344285.poscar,0.5281,Pm-3m
ID-5610827_OQMD-EnID-1251664.poscar,-0.3861,Cmc21
ID-4887006_OQMD-EnID-358356.poscar,-0.4583,P4/mmm
ID-6005114_OQMD-EnID-1603190.poscar,0.5688,P6/mmm
ID-5524101_OQMD-EnID-1201995.poscar,0.1034,I4/mmm
ID-5609589_OQMD-EnID-1258452.poscar,0.1748,Cmca
ID-6039396_OQMD-EnID-1732736.poscar,-1.2525,P1
ID-4487820_OQMD-EnID-307720.poscar,0.0261,Pm-3m
ID-4508115_OQMD-EnID-328804.poscar,-0.3121,R-3m
ID-4518333_OQMD-EnID-339262.poscar,0.2217,P4/mmm
ID-5494679_OQMD-EnID-1106905.poscar,-0.2489,Fm-3m
ID-5569432_OQMD-EnID-1218410.poscar,-0.2032,F-43m
ID-5573510_OQMD-EnID-1228090.poscar,-0.3139,P-6m2
ID-5762918_OQMD-EnID-1243547.poscar,-0.2001,P63/mmc
ID-5762957_OQMD-EnID-1243548.poscar,-0.3541,P63/mmc
ID-4854132_OQMD-EnID-2748.poscar,-1.3891,Pnma
ID-5595237_OQMD-EnID-1236798.poscar,-1.2115,Fd-3m
ID-5946969_OQMD-EnID-1589747.poscar,0.9426,Fd-3m
ID-6054248_OQMD-EnID-1757649.poscar,-1.3721,P21/m
ID-4111086_OQMD-EnID-298719.poscar,0.2607,I4/mmm
ID-4129074_OQMD-EnID-309257.poscar,0.3633,Fm-3m
ID-4162143_OQMD-EnID-325139.poscar,0.4271,P63/mmc
ID-4175772_OQMD-EnID-349625.poscar,0.5656,Pm-3m
ID-5576710_OQMD-EnID-1231576.poscar,-0.1531,P42/mnm
ID-5593540_OQMD-EnID-1250822.poscar,-0.5867,P21
ID-5594367_OQMD-EnID-1251444.poscar,-0.5638,C2/m
ID-5595238_OQMD-EnID-1236799.poscar,0.479,Fd-3m
ID-5603076_OQMD-EnID-1253311.poscar,-0.2001,P-3m1
ID-5952078_OQMD-EnID-1591459.poscar,0.7615,Fd-3m
ID-4292379_OQMD-EnID-353027.poscar,-0.5212,Pm-3m
ID-4812348_OQMD-EnID-425654.poscar,-1.2985,R-3c
ID-4818678_OQMD-EnID-5363.poscar,-1.4357,P21/c
ID-4821501_OQMD-EnID-2070.poscar,-1.4267,Fd-3m
ID-4821975_OQMD-EnID-671418.poscar,-1.4461,P21/c
ID-5731366_OQMD-EnID-1343306.poscar,-1.3897,Pccn
ID-5837144_OQMD-EnID-1474254.poscar,-0.894,R-3m
ID-4861554_OQMD-EnID-2627.poscar,-1.3569,P41212
ID-5731074_OQMD-EnID-1343552.poscar,-1.2679,C2/c
ID-5731400_OQMD-EnID-1343650.poscar,-1.1959,Fdd2
ID-5731547_OQMD-EnID-1343845.poscar,-1.19,P1
ID-6037730_OQMD-EnID-1739434.poscar,-1.0352,Pmmn
ID-4124310_OQMD-EnID-304055.poscar,0.3485,I4/mmm
ID-4144179_OQMD-EnID-314597.poscar,0.2507,Fm-3m
ID-4148784_OQMD-EnID-319799.poscar,0.1155,P63/mmc
ID-4166181_OQMD-EnID-344285.poscar,0.5281,Pm-3m
ID-5610827_OQMD-EnID-1251664.poscar,-0.3861,Cmc21
ID-4887006_OQMD-EnID-358356.poscar,-0.4583,P4/mmm
ID-6005114_OQMD-EnID-1603190.poscar,0.5688,P6/mmm
ID-5524101_OQMD-EnID-1201995.poscar,0.1034,I4/mmm
ID-5609589_OQMD-EnID-1258452.poscar,0.1748,Cmca
ID-6039396_OQMD-EnID-1732736.poscar,-1.2525,P1
