filename, _oqmd_delta_e, _oqmd_spacegroup 
ID-4162134_OQMD-EnID-325136.poscar,-0.8088,P63/mmc
ID-4175763_OQMD-EnID-349622.poscar,-0.0998,Pm-3m
ID-4883661_OQMD-EnID-357223.poscar,-2.6463,P4/mmm
ID-6005717_OQMD-EnID-1603214.poscar,0.7334,P6/mmm
ID-4510353_OQMD-EnID-336336.poscar,-2.3861,P4/mmm
ID-4791897_OQMD-EnID-304794.poscar,-2.4029,Pm-3m
ID-5491765_OQMD-EnID-1103980.poscar,-2.9407,Fm-3m
ID-5571828_OQMD-EnID-1223538.poscar,-2.7607,F-43m
ID-5575828_OQMD-EnID-1230509.poscar,-2.6847,P-6m2
ID-5577852_OQMD-EnID-1235050.poscar,-2.9389,R-3m
ID-6033232_OQMD-EnID-1733401.poscar,-2.9578,P4/nmm
ID-4076535_OQMD-EnID-11596.poscar,-3.1225,C2/m
ID-5601452_OQMD-EnID-1241317.poscar,-2.3437,Fd-3m
ID-5947038_OQMD-EnID-1589772.poscar,-1.0012,Fd-3m
ID-4124301_OQMD-EnID-304052.poscar,-1.6311,I4/mmm
ID-4144170_OQMD-EnID-314594.poscar,-1.7646,Fm-3m
ID-4147443_OQMD-EnID-319257.poscar,-1.6988,P63/mmc
ID-4165224_OQMD-EnID-343743.poscar,-1.6366,Pm-3m
ID-5577435_OQMD-EnID-1233995.poscar,-1.8864,P42/mnm
ID-5601453_OQMD-EnID-1241318.poscar,-0.9923,Fd-3m
ID-5960101_OQMD-EnID-1593345.poscar,0.4242,Fd-3m
ID-4071444_OQMD-EnID-5470.poscar,-3.5901,P-3m1
ID-4103466_OQMD-EnID-5146.poscar,-3.4065,C2
ID-4288260_OQMD-EnID-351894.poscar,-2.6924,Pm-3m
ID-4508898_OQMD-EnID-20304.poscar,-3.5934,C2/m
ID-4812498_OQMD-EnID-428073.poscar,-3.5674,R-3c
ID-5025489_OQMD-EnID-30801.poscar,-3.6204,Ia-3
ID-5731417_OQMD-EnID-1343974.poscar,-3.5279,Pnma
ID-5731624_OQMD-EnID-1343549.poscar,-3.6194,I213
ID-5813214_OQMD-EnID-1444202.poscar,-3.404,P321
ID-4127682_OQMD-EnID-308715.poscar,0.1459,Fm-3m
ID-4162134_OQMD-EnID-325136.poscar,-0.8088,P63/mmc
ID-4175763_OQMD-EnID-349622.poscar,-0.0998,Pm-3m
ID-4883661_OQMD-EnID-357223.poscar,-2.6463,P4/mmm
ID-6005717_OQMD-EnID-1603214.poscar,0.7334,P6/mmm
ID-4510353_OQMD-EnID-336336.poscar,-2.3861,P4/mmm
ID-4791897_OQMD-EnID-304794.poscar,-2.4029,Pm-3m
ID-5491765_OQMD-EnID-1103980.poscar,-2.9407,Fm-3m
ID-5571828_OQMD-EnID-1223538.poscar,-2.7607,F-43m
ID-5575828_OQMD-EnID-1230509.poscar,-2.6847,P-6m2
ID-5577852_OQMD-EnID-1235050.poscar,-2.9389,R-3m
ID-6033232_OQMD-EnID-1733401.poscar,-2.9578,P4/nmm
ID-4076535_OQMD-EnID-11596.poscar,-3.1225,C2/m
ID-5601452_OQMD-EnID-1241317.poscar,-2.3437,Fd-3m
ID-5947038_OQMD-EnID-1589772.poscar,-1.0012,Fd-3m
ID-4124301_OQMD-EnID-304052.poscar,-1.6311,I4/mmm
ID-4144170_OQMD-EnID-314594.poscar,-1.7646,Fm-3m
ID-4147443_OQMD-EnID-319257.poscar,-1.6988,P63/mmc
ID-4165224_OQMD-EnID-343743.poscar,-1.6366,Pm-3m
ID-5577435_OQMD-EnID-1233995.poscar,-1.8864,P42/mnm
ID-5601453_OQMD-EnID-1241318.poscar,-0.9923,Fd-3m
ID-5960101_OQMD-EnID-1593345.poscar,0.4242,Fd-3m
ID-4071444_OQMD-EnID-5470.poscar,-3.5901,P-3m1
ID-4103466_OQMD-EnID-5146.poscar,-3.4065,C2
ID-4288260_OQMD-EnID-351894.poscar,-2.6924,Pm-3m
ID-4508898_OQMD-EnID-20304.poscar,-3.5934,C2/m
ID-4812498_OQMD-EnID-428073.poscar,-3.5674,R-3c
ID-5025489_OQMD-EnID-30801.poscar,-3.6204,Ia-3
ID-5731417_OQMD-EnID-1343974.poscar,-3.5279,Pnma
ID-5731624_OQMD-EnID-1343549.poscar,-3.6194,I213
ID-5813214_OQMD-EnID-1444202.poscar,-3.404,P321
ID-4127682_OQMD-EnID-308715.poscar,0.1459,Fm-3m
ID-4162134_OQMD-EnID-325136.poscar,-0.8088,P63/mmc
ID-4175763_OQMD-EnID-349622.poscar,-0.0998,Pm-3m
ID-4883661_OQMD-EnID-357223.poscar,-2.6463,P4/mmm
ID-6005717_OQMD-EnID-1603214.poscar,0.7334,P6/mmm
