filename, _oqmd_delta_e, _oqmd_spacegroup 
ID-4799016_OQMD-EnID-349645.poscar,-0.0678,Pm-3m
ID-6004809_OQMD-EnID-1603187.poscar,0.2354,P6/mmm
ID-4966683_OQMD-EnID-711585.poscar,-0.7157,P1
ID-4096170_OQMD-EnID-11349.poscar,-1.0097,Pa-3
ID-4958040_OQMD-EnID-711589.poscar,-0.3711,P-1
ID-5577507_OQMD-EnID-1234141.poscar,-0.5017,P42/mnm
ID-5777591_OQMD-EnID-1416519.poscar,-0.4614,Fm-3m
ID-5946963_OQMD-EnID-1589744.poscar,0.5599,Fd-3m
ID-4811400_OQMD-EnID-428219.poscar,-0.7838,R-3c
ID-4124355_OQMD-EnID-304075.poscar,0.0408,I4/mmm
ID-4144227_OQMD-EnID-314617.poscar,0.4786,Fm-3m
ID-4151142_OQMD-EnID-320741.poscar,0.4238,P63/mmc
ID-4167825_OQMD-EnID-345227.poscar,0.4902,Pm-3m
ID-4956882_OQMD-EnID-711588.poscar,0.4159,Pm-3m
ID-4957893_OQMD-EnID-711586.poscar,-0.6597,C2/m
ID-4279944_OQMD-EnID-351220.poscar,-0.4427,Pm-3m
ID-5629796_OQMD-EnID-1278179.poscar,-0.9817,R-3
ID-4957938_OQMD-EnID-711590.poscar,-0.191,Pmm2
ID-4958562_OQMD-EnID-711591.poscar,-0.509,P1
ID-5729014_OQMD-EnID-1338407.poscar,-0.1668,C2/m
ID-5733740_OQMD-EnID-1343174.poscar,-0.5494,P-1
ID-5758039_OQMD-EnID-1373165.poscar,-0.5437,P2/m
ID-4957338_OQMD-EnID-711584.poscar,-0.683,P4/mmm
ID-4881918_OQMD-EnID-356549.poscar,-0.8636,P4/mmm
ID-4061643_OQMD-EnID-20684.poscar,-0.9322,Pm-3m
ID-4062099_OQMD-EnID-20685.poscar,-1.642,F-43m
ID-4062234_OQMD-EnID-6958.poscar,-1.5037,Fm-3m
ID-4067442_OQMD-EnID-4908.poscar,-1.6489,P63mc
ID-4487925_OQMD-EnID-307732.poscar,-0.9345,Pm-3m
ID-4508145_OQMD-EnID-328816.poscar,-1.5028,R-3m
ID-4518363_OQMD-EnID-339274.poscar,-0.6852,P4/mmm
ID-4790109_OQMD-EnID-117131.poscar,-0.9341,Pm-3m
ID-4814103_OQMD-EnID-116025.poscar,-1.4257,Cmc21
ID-5494691_OQMD-EnID-1106917.poscar,-1.5057,Fm-3m
ID-5571973_OQMD-EnID-1223683.poscar,-1.6445,F-43m
ID-5575972_OQMD-EnID-1230655.poscar,-1.3186,P-6m2
ID-5731742_OQMD-EnID-1343724.poscar,-1.489,C2/c
ID-5731761_OQMD-EnID-1343728.poscar,-1.2503,P4/nmm
ID-5731775_OQMD-EnID-1343668.poscar,-1.3323,P42/mmc
ID-5731881_OQMD-EnID-1343236.poscar,-1.5044,P3121
ID-5811499_OQMD-EnID-1442030.poscar,-1.5056,Immm
ID-5811505_OQMD-EnID-1444341.poscar,-1.5026,C2/m
ID-5812310_OQMD-EnID-1443821.poscar,-1.573,P63/mmc
ID-5814717_OQMD-EnID-1439997.poscar,-1.504,Pnma
ID-5815405_OQMD-EnID-1442249.poscar,-1.6236,P42/mnm
ID-5817762_OQMD-EnID-1443987.poscar,-1.5854,Pm-3n
ID-5837942_OQMD-EnID-1472687.poscar,-1.5054,R3m
ID-5838047_OQMD-EnID-1472817.poscar,-1.4316,R3m
ID-5839444_OQMD-EnID-1473257.poscar,-1.5043,Pmmn
ID-5849789_OQMD-EnID-1474198.poscar,-1.4417,Cmcm
ID-5853836_OQMD-EnID-1479504.poscar,-1.3068,P42/m
ID-5854308_OQMD-EnID-1479511.poscar,-1.3068,P42/m
ID-5777185_OQMD-EnID-1416520.poscar,-0.3586,Fm-3m
ID-5951306_OQMD-EnID-1591230.poscar,0.093,Fd-3m
ID-4113363_OQMD-EnID-299657.poscar,-0.1729,I4/mmm
ID-4162188_OQMD-EnID-325159.poscar,-0.1293,P63/mmc
ID-4792494_OQMD-EnID-310199.poscar,0.066,Fm-3m
ID-4799016_OQMD-EnID-349645.poscar,-0.0678,Pm-3m
ID-6004809_OQMD-EnID-1603187.poscar,0.2354,P6/mmm
ID-4966683_OQMD-EnID-711585.poscar,-0.7157,P1
ID-4096170_OQMD-EnID-11349.poscar,-1.0097,Pa-3
ID-4958040_OQMD-EnID-711589.poscar,-0.3711,P-1
ID-5577507_OQMD-EnID-1234141.poscar,-0.5017,P42/mnm
ID-5777591_OQMD-EnID-1416519.poscar,-0.4614,Fm-3m
ID-5946963_OQMD-EnID-1589744.poscar,0.5599,Fd-3m
ID-4811400_OQMD-EnID-428219.poscar,-0.7838,R-3c
ID-4124355_OQMD-EnID-304075.poscar,0.0408,I4/mmm
ID-4144227_OQMD-EnID-314617.poscar,0.4786,Fm-3m
ID-4151142_OQMD-EnID-320741.poscar,0.4238,P63/mmc
ID-4167825_OQMD-EnID-345227.poscar,0.4902,Pm-3m
ID-4956882_OQMD-EnID-711588.poscar,0.4159,Pm-3m
ID-4957893_OQMD-EnID-711586.poscar,-0.6597,C2/m
ID-4279944_OQMD-EnID-351220.poscar,-0.4427,Pm-3m
ID-5629796_OQMD-EnID-1278179.poscar,-0.9817,R-3
ID-4957938_OQMD-EnID-711590.poscar,-0.191,Pmm2
ID-4958562_OQMD-EnID-711591.poscar,-0.509,P1
ID-5729014_OQMD-EnID-1338407.poscar,-0.1668,C2/m
ID-5733740_OQMD-EnID-1343174.poscar,-0.5494,P-1
ID-5758039_OQMD-EnID-1373165.poscar,-0.5437,P2/m
ID-4957338_OQMD-EnID-711584.poscar,-0.683,P4/mmm
ID-4881918_OQMD-EnID-356549.poscar,-0.8636,P4/mmm
ID-4061643_OQMD-EnID-20684.poscar,-0.9322,Pm-3m
ID-4062099_OQMD-EnID-20685.poscar,-1.642,F-43m
ID-4062234_OQMD-EnID-6958.poscar,-1.5037,Fm-3m
ID-4067442_OQMD-EnID-4908.poscar,-1.6489,P63mc
ID-4487925_OQMD-EnID-307732.poscar,-0.9345,Pm-3m
ID-4508145_OQMD-EnID-328816.poscar,-1.5028,R-3m
ID-4518363_OQMD-EnID-339274.poscar,-0.6852,P4/mmm
ID-4790109_OQMD-EnID-117131.poscar,-0.9341,Pm-3m
ID-4814103_OQMD-EnID-116025.poscar,-1.4257,Cmc21
ID-5494691_OQMD-EnID-1106917.poscar,-1.5057,Fm-3m
ID-5571973_OQMD-EnID-1223683.poscar,-1.6445,F-43m
ID-5575972_OQMD-EnID-1230655.poscar,-1.3186,P-6m2
ID-5731742_OQMD-EnID-1343724.poscar,-1.489,C2/c
ID-5731761_OQMD-EnID-1343728.poscar,-1.2503,P4/nmm
ID-5731775_OQMD-EnID-1343668.poscar,-1.3323,P42/mmc
ID-5731881_OQMD-EnID-1343236.poscar,-1.5044,P3121
ID-5811499_OQMD-EnID-1442030.poscar,-1.5056,Immm
ID-5811505_OQMD-EnID-1444341.poscar,-1.5026,C2/m
ID-5812310_OQMD-EnID-1443821.poscar,-1.573,P63/mmc
ID-5814717_OQMD-EnID-1439997.poscar,-1.504,Pnma
ID-5815405_OQMD-EnID-1442249.poscar,-1.6236,P42/mnm
ID-5817762_OQMD-EnID-1443987.poscar,-1.5854,Pm-3n
ID-5837942_OQMD-EnID-1472687.poscar,-1.5054,R3m
ID-5838047_OQMD-EnID-1472817.poscar,-1.4316,R3m
ID-5839444_OQMD-EnID-1473257.poscar,-1.5043,Pmmn
ID-5849789_OQMD-EnID-1474198.poscar,-1.4417,Cmcm
ID-5853836_OQMD-EnID-1479504.poscar,-1.3068,P42/m
ID-5854308_OQMD-EnID-1479511.poscar,-1.3068,P42/m
ID-5777185_OQMD-EnID-1416520.poscar,-0.3586,Fm-3m
ID-5951306_OQMD-EnID-1591230.poscar,0.093,Fd-3m
ID-4113363_OQMD-EnID-299657.poscar,-0.1729,I4/mmm
ID-4162188_OQMD-EnID-325159.poscar,-0.1293,P63/mmc
ID-4792494_OQMD-EnID-310199.poscar,0.066,Fm-3m
ID-4799016_OQMD-EnID-349645.poscar,-0.0678,Pm-3m
ID-6004809_OQMD-EnID-1603187.poscar,0.2354,P6/mmm
ID-4966683_OQMD-EnID-711585.poscar,-0.7157,P1
ID-4096170_OQMD-EnID-11349.poscar,-1.0097,Pa-3
ID-4958040_OQMD-EnID-711589.poscar,-0.3711,P-1
ID-5577507_OQMD-EnID-1234141.poscar,-0.5017,P42/mnm
ID-5777591_OQMD-EnID-1416519.poscar,-0.4614,Fm-3m
ID-5946963_OQMD-EnID-1589744.poscar,0.5599,Fd-3m
ID-4811400_OQMD-EnID-428219.poscar,-0.7838,R-3c
ID-4124355_OQMD-EnID-304075.poscar,0.0408,I4/mmm
ID-4144227_OQMD-EnID-314617.poscar,0.4786,Fm-3m
ID-4151142_OQMD-EnID-320741.poscar,0.4238,P63/mmc
ID-4167825_OQMD-EnID-345227.poscar,0.4902,Pm-3m
ID-4956882_OQMD-EnID-711588.poscar,0.4159,Pm-3m
ID-4957893_OQMD-EnID-711586.poscar,-0.6597,C2/m
ID-4279944_OQMD-EnID-351220.poscar,-0.4427,Pm-3m
ID-5629796_OQMD-EnID-1278179.poscar,-0.9817,R-3
ID-4957938_OQMD-EnID-711590.poscar,-0.191,Pmm2
ID-4958562_OQMD-EnID-711591.poscar,-0.509,P1
ID-5729014_OQMD-EnID-1338407.poscar,-0.1668,C2/m
ID-5733740_OQMD-EnID-1343174.poscar,-0.5494,P-1
ID-5758039_OQMD-EnID-1373165.poscar,-0.5437,P2/m
ID-4957338_OQMD-EnID-711584.poscar,-0.683,P4/mmm
ID-4881918_OQMD-EnID-356549.poscar,-0.8636,P4/mmm
ID-4061643_OQMD-EnID-20684.poscar,-0.9322,Pm-3m
ID-4062099_OQMD-EnID-20685.poscar,-1.642,F-43m
ID-4062234_OQMD-EnID-6958.poscar,-1.5037,Fm-3m
ID-4067442_OQMD-EnID-4908.poscar,-1.6489,P63mc
ID-4487925_OQMD-EnID-307732.poscar,-0.9345,Pm-3m
ID-4508145_OQMD-EnID-328816.poscar,-1.5028,R-3m
ID-4518363_OQMD-EnID-339274.poscar,-0.6852,P4/mmm
ID-4790109_OQMD-EnID-117131.poscar,-0.9341,Pm-3m
ID-4814103_OQMD-EnID-116025.poscar,-1.4257,Cmc21
ID-5494691_OQMD-EnID-1106917.poscar,-1.5057,Fm-3m
ID-5571973_OQMD-EnID-1223683.poscar,-1.6445,F-43m
ID-5575972_OQMD-EnID-1230655.poscar,-1.3186,P-6m2
ID-5731742_OQMD-EnID-1343724.poscar,-1.489,C2/c
ID-5731761_OQMD-EnID-1343728.poscar,-1.2503,P4/nmm
ID-5731775_OQMD-EnID-1343668.poscar,-1.3323,P42/mmc
ID-5731881_OQMD-EnID-1343236.poscar,-1.5044,P3121
ID-5811499_OQMD-EnID-1442030.poscar,-1.5056,Immm
ID-5811505_OQMD-EnID-1444341.poscar,-1.5026,C2/m
ID-5812310_OQMD-EnID-1443821.poscar,-1.573,P63/mmc
ID-5814717_OQMD-EnID-1439997.poscar,-1.504,Pnma
ID-5815405_OQMD-EnID-1442249.poscar,-1.6236,P42/mnm
ID-5817762_OQMD-EnID-1443987.poscar,-1.5854,Pm-3n
ID-5837942_OQMD-EnID-1472687.poscar,-1.5054,R3m
ID-5838047_OQMD-EnID-1472817.poscar,-1.4316,R3m
ID-5839444_OQMD-EnID-1473257.poscar,-1.5043,Pmmn
ID-5849789_OQMD-EnID-1474198.poscar,-1.4417,Cmcm
ID-5853836_OQMD-EnID-1479504.poscar,-1.3068,P42/m
ID-5854308_OQMD-EnID-1479511.poscar,-1.3068,P42/m
ID-5777185_OQMD-EnID-1416520.poscar,-0.3586,Fm-3m
ID-5951306_OQMD-EnID-1591230.poscar,0.093,Fd-3m
ID-4113363_OQMD-EnID-299657.poscar,-0.1729,I4/mmm
ID-4162188_OQMD-EnID-325159.poscar,-0.1293,P63/mmc
ID-4792494_OQMD-EnID-310199.poscar,0.066,Fm-3m
ID-4799016_OQMD-EnID-349645.poscar,-0.0678,Pm-3m
ID-6004809_OQMD-EnID-1603187.poscar,0.2354,P6/mmm
ID-4966683_OQMD-EnID-711585.poscar,-0.7157,P1
ID-4096170_OQMD-EnID-11349.poscar,-1.0097,Pa-3
ID-4958040_OQMD-EnID-711589.poscar,-0.3711,P-1
ID-5577507_OQMD-EnID-1234141.poscar,-0.5017,P42/mnm
ID-5777591_OQMD-EnID-1416519.poscar,-0.4614,Fm-3m
ID-5946963_OQMD-EnID-1589744.poscar,0.5599,Fd-3m
ID-4811400_OQMD-EnID-428219.poscar,-0.7838,R-3c
ID-4124355_OQMD-EnID-304075.poscar,0.0408,I4/mmm
ID-4144227_OQMD-EnID-314617.poscar,0.4786,Fm-3m
ID-4151142_OQMD-EnID-320741.poscar,0.4238,P63/mmc
ID-4167825_OQMD-EnID-345227.poscar,0.4902,Pm-3m
ID-4956882_OQMD-EnID-711588.poscar,0.4159,Pm-3m
ID-4957893_OQMD-EnID-711586.poscar,-0.6597,C2/m
ID-4279944_OQMD-EnID-351220.poscar,-0.4427,Pm-3m
ID-5629796_OQMD-EnID-1278179.poscar,-0.9817,R-3
ID-4957938_OQMD-EnID-711590.poscar,-0.191,Pmm2
ID-4958562_OQMD-EnID-711591.poscar,-0.509,P1
ID-5729014_OQMD-EnID-1338407.poscar,-0.1668,C2/m
ID-5733740_OQMD-EnID-1343174.poscar,-0.5494,P-1
ID-5758039_OQMD-EnID-1373165.poscar,-0.5437,P2/m
ID-4957338_OQMD-EnID-711584.poscar,-0.683,P4/mmm
ID-4881918_OQMD-EnID-356549.poscar,-0.8636,P4/mmm
